"","mRNA","GO","Term","Annotated","Significant","Expected","Fisher","ontology","sig.prop"
"39","evm.TU.chromosome_1.1151","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Biological Processes",0.0326530612244898
"40","evm.TU.chromosome_1.864","GO:0030278","regulation of ossification",193,3,1.69,0.0345,"Biological Processes",0.0155440414507772
"41","evm.TU.chromosome_1.864","GO:0007178","cell surface receptor protein serine/threonine kina...",297,4,2.6,0.0345,"Biological Processes",0.0134680134680135
"42","evm.TU.chromosome_1.988","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Biological Processes",0.0103061533798121
"43","evm.TU.chromosome_1.988","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Biological Processes",0.0326530612244898
"44","evm.TU.chromosome_1.1609","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Biological Processes",0.0326530612244898
"45","evm.TU.chromosome_1.1607","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Biological Processes",0.0326530612244898
"46","evm.TU.chromosome_1.644","GO:0006777","Mo-molybdopterin cofactor biosynthetic process",9,2,0.08,0.0026,"Biological Processes",0.222222222222222
"47","evm.TU.chromosome_1.644","GO:0006777","Mo-molybdopterin cofactor biosynthetic process",9,2,0.08,0.0026,"Biological Processes",0.222222222222222
"48","evm.TU.chromosome_1.481","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Biological Processes",0.0326530612244898
"49","evm.TU.chromosome_1.224","GO:0034587","piRNA processing",19,2,0.17,0.0118,"Biological Processes",0.105263157894737
"50","evm.TU.chromosome_2.2077","GO:0001502","cartilage condensation",27,2,0.24,0.0232,"Biological Processes",0.0740740740740741
"51","evm.TU.chromosome_2.1821","GO:0001502","cartilage condensation",27,2,0.24,0.0232,"Biological Processes",0.0740740740740741
"52","evm.TU.chromosome_2.1823","GO:0001502","cartilage condensation",27,2,0.24,0.0232,"Biological Processes",0.0740740740740741
"53","evm.TU.chromosome_2.1207","GO:0050773","regulation of dendrite development",98,3,0.86,0.0354,"Biological Processes",0.0306122448979592
"54","evm.TU.chromosome_2.1910","GO:0006425","glutaminyl-tRNA aminoacylation",2,1,0.02,0.0174,"Biological Processes",0.5
"55","evm.TU.chromosome_2.1910","GO:0006425","glutaminyl-tRNA aminoacylation",2,1,0.02,0.0174,"Biological Processes",0.5
"56","evm.TU.chromosome_2.1994","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Biological Processes",0.0103061533798121
"57","evm.TU.chromosome_2.1994","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Biological Processes",0.0326530612244898
"58","evm.TU.chromosome_2.59","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Biological Processes",0.0103061533798121
"59","evm.TU.chromosome_2.214","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Biological Processes",0.0326530612244898
"60","evm.TU.chromosome_2.583","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Biological Processes",0.0103061533798121
"61","evm.TU.chromosome_2.621","GO:0000387","spliceosomal snRNP assembly",35,3,0.31,0.0169,"Biological Processes",0.0857142857142857
"62","evm.TU.chromosome_2.621","GO:0000387","spliceosomal snRNP assembly",35,3,0.31,0.0169,"Biological Processes",0.0857142857142857
"63","evm.TU.chromosome_2.2086","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Biological Processes",0.0103061533798121
"64","evm.TU.chromosome_2.2086","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Biological Processes",0.0326530612244898
"65","evm.TU.chromosome_2.2087","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Biological Processes",0.0326530612244898
"66","evm.TU.chromosome_2.1925","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Biological Processes",0.0103061533798121
"67","evm.TU.chromosome_2.393","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Biological Processes",0.0103061533798121
"68","evm.TU.chromosome_2.390","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Biological Processes",0.0103061533798121
"69","evm.TU.chromosome_2.394","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Biological Processes",0.0103061533798121
"70","evm.TU.chromosome_2.1262","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Biological Processes",0.0103061533798121
"71","evm.TU.chromosome_2.346","GO:0072734","cellular response to staurosporine",4,1,0.04,0.0346,"Biological Processes",0.25
"72","evm.TU.chromosome_2.1103","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Biological Processes",0.0326530612244898
"73","evm.TU.chromosome_2.48","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Biological Processes",0.0103061533798121
"74","evm.TU.chromosome_2.1217","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Biological Processes",0.0103061533798121
"75","evm.TU.chromosome_2.1860","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Biological Processes",0.0326530612244898
"76","evm.TU.chromosome_2.510","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Biological Processes",0.0103061533798121
"77","evm.TU.chromosome_2.510","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Biological Processes",0.0326530612244898
"78","evm.TU.chromosome_2.17","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Biological Processes",0.0326530612244898
"79","evm.TU.chromosome_2.1575","GO:0071340","skeletal muscle acetylcholine-gated channel cluster...",20,2,0.18,0.0131,"Biological Processes",0.1
"80","evm.TU.chromosome_2.597","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Biological Processes",0.0103061533798121
"81","evm.TU.chromosome_2.657","GO:0034587","piRNA processing",19,2,0.17,0.0118,"Biological Processes",0.105263157894737
"82","evm.TU.chromosome_2.657","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Biological Processes",0.0326530612244898
"83","evm.TU.chromosome_2.651","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Biological Processes",0.0103061533798121
"84","evm.TU.chromosome_2.61","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Biological Processes",0.0103061533798121
"85","evm.TU.chromosome_2.1275","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Biological Processes",0.0326530612244898
"86","evm.TU.chromosome_2.981","GO:0051289","protein homotetramerization",64,3,0.56,0.0186,"Biological Processes",0.046875
"87","evm.TU.chromosome_2.543","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Biological Processes",0.0103061533798121
"88","evm.TU.chromosome_2.250","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Biological Processes",0.0103061533798121
"89","evm.TU.chromosome_2.1711","GO:0071340","skeletal muscle acetylcholine-gated channel cluster...",20,2,0.18,0.0131,"Biological Processes",0.1
"90","evm.TU.chromosome_2.1719","GO:0071340","skeletal muscle acetylcholine-gated channel cluster...",20,2,0.18,0.0131,"Biological Processes",0.1
"91","evm.TU.chromosome_2.578","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Biological Processes",0.0326530612244898
"92","evm.TU.chromosome_2.269","GO:0000387","spliceosomal snRNP assembly",35,3,0.31,0.0169,"Biological Processes",0.0857142857142857
"93","evm.TU.chromosome_2.1886","GO:0071356","cellular response to tumor necrosis factor",111,3,0.97,0.0281,"Biological Processes",0.027027027027027
"94","evm.TU.chromosome_2.1886","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Biological Processes",0.0326530612244898
"95","evm.TU.chromosome_2.639","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Biological Processes",0.0103061533798121
"96","evm.TU.chromosome_2.2094","GO:0048010","vascular endothelial growth factor receptor signali...",45,3,0.39,0.0071,"Biological Processes",0.0666666666666667
"97","evm.TU.chromosome_2.1356","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Biological Processes",0.0326530612244898
"98","evm.TU.chromosome_2.1878","GO:0051289","protein homotetramerization",64,3,0.56,0.0186,"Biological Processes",0.046875
"99","evm.TU.chromosome_2.387","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Biological Processes",0.0103061533798121
"100","evm.TU.chromosome_2.388","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Biological Processes",0.0103061533798121
"101","evm.TU.chromosome_2.389","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Biological Processes",0.0103061533798121
"102","evm.TU.chromosome_2.49","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Biological Processes",0.0103061533798121
"103","evm.TU.chromosome_2.771","GO:0001502","cartilage condensation",27,2,0.24,0.0232,"Biological Processes",0.0740740740740741
"104","evm.TU.chromosome_2.771","GO:0071479","cellular response to ionizing radiation",59,3,0.52,0.0263,"Biological Processes",0.0508474576271186
"105","evm.TU.chromosome_2.771","GO:0071356","cellular response to tumor necrosis factor",111,3,0.97,0.0281,"Biological Processes",0.027027027027027
"106","evm.TU.chromosome_2.771","GO:0014835","myoblast differentiation involved in skeletal muscl...",2,1,0.02,0.0174,"Biological Processes",0.5
"107","evm.TU.chromosome_2.771","GO:0090336","positive regulation of brown fat cell differentiati...",2,1,0.02,0.0174,"Biological Processes",0.5
"108","evm.TU.chromosome_2.771","GO:0010759","positive regulation of macrophage chemotaxis",2,1,0.02,0.0174,"Biological Processes",0.5
"109","evm.TU.chromosome_2.771","GO:0045663","positive regulation of myoblast differentiation",2,1,0.02,0.0174,"Biological Processes",0.5
"110","evm.TU.chromosome_2.771","GO:1901741","positive regulation of myoblast fusion",2,1,0.02,0.0174,"Biological Processes",0.5
"111","evm.TU.chromosome_2.771","GO:0010831","positive regulation of myotube differentiation",4,1,0.04,0.0346,"Biological Processes",0.25
"112","evm.TU.chromosome_2.771","GO:0030278","regulation of ossification",193,3,1.69,0.0345,"Biological Processes",0.0155440414507772
"113","evm.TU.chromosome_2.771","GO:0090400","stress-induced premature senescence",3,1,0.03,0.026,"Biological Processes",0.333333333333333
"114","evm.TU.chromosome_2.771","GO:0007178","cell surface receptor protein serine/threonine kina...",297,4,2.6,0.0345,"Biological Processes",0.0134680134680135
"115","evm.TU.chromosome_2.771","GO:0048010","vascular endothelial growth factor receptor signali...",45,3,0.39,0.0071,"Biological Processes",0.0666666666666667
"116","evm.TU.chromosome_2.1560","GO:0071340","skeletal muscle acetylcholine-gated channel cluster...",20,2,0.18,0.0131,"Biological Processes",0.1
"117","evm.TU.chromosome_2.88","GO:0061472","karyomere membrane fusion",3,1,0.03,0.026,"Biological Processes",0.333333333333333
"118","evm.TU.chromosome_2.88","GO:0007344","pronuclear fusion",4,1,0.04,0.0346,"Biological Processes",0.25
"119","evm.TU.chromosome_2.644","GO:0070842","aggresome assembly",3,1,0.03,0.026,"Biological Processes",0.333333333333333
"120","evm.TU.chromosome_2.644","GO:0070846","Hsp90 deacetylation",1,1,0.01,0.0088,"Biological Processes",1
"121","evm.TU.chromosome_2.644","GO:0010727","negative regulation of hydrogen peroxide metabolic ...",2,1,0.02,0.0174,"Biological Processes",0.5
"122","evm.TU.chromosome_2.644","GO:0034983","peptidyl-lysine deacetylation",4,1,0.04,0.0346,"Biological Processes",0.25
"123","evm.TU.chromosome_2.644","GO:0070845","polyubiquitinated misfolded protein transport",1,1,0.01,0.0088,"Biological Processes",1
"124","evm.TU.chromosome_2.644","GO:0090035","positive regulation of chaperone-mediated protein c...",3,1,0.03,0.026,"Biological Processes",0.333333333333333
"125","evm.TU.chromosome_2.644","GO:1901300","positive regulation of hydrogen peroxide-mediated p...",3,1,0.03,0.026,"Biological Processes",0.333333333333333
"126","evm.TU.chromosome_2.644","GO:0006515","protein quality control for misfolded or incomplete...",14,2,0.12,0.0065,"Biological Processes",0.142857142857143
"127","evm.TU.chromosome_2.644","GO:0090042","tubulin deacetylation",4,1,0.04,0.0346,"Biological Processes",0.25
"128","evm.TU.chromosome_2.1197","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Biological Processes",0.0103061533798121
"129","evm.TU.chromosome_3.1503","GO:0051289","protein homotetramerization",64,3,0.56,0.0186,"Biological Processes",0.046875
"130","evm.TU.chromosome_3.1502","GO:0051289","protein homotetramerization",64,3,0.56,0.0186,"Biological Processes",0.046875
"131","evm.TU.chromosome_3.1747.1.5f168bba","GO:0051289","protein homotetramerization",64,3,0.56,0.0186,"Biological Processes",0.046875
"132","evm.TU.chromosome_3.1745","GO:0051289","protein homotetramerization",64,3,0.56,0.0186,"Biological Processes",0.046875
"133","evm.TU.chromosome_3.818","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Biological Processes",0.0103061533798121
"134","evm.TU.chromosome_3.356","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Biological Processes",0.0103061533798121
"135","evm.TU.chromosome_3.51","GO:0050773","regulation of dendrite development",98,3,0.86,0.0354,"Biological Processes",0.0306122448979592
"136","evm.TU.chromosome_3.782","GO:0048010","vascular endothelial growth factor receptor signali...",45,3,0.39,0.0071,"Biological Processes",0.0666666666666667
"137","evm.TU.chromosome_3.441","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Biological Processes",0.0103061533798121
"138","evm.TU.chromosome_3.969","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Biological Processes",0.0103061533798121
"139","evm.TU.chromosome_3.969","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Biological Processes",0.0326530612244898
"140","evm.TU.chromosome_3.750.2.5f15dcc8","GO:0051289","protein homotetramerization",64,3,0.56,0.0186,"Biological Processes",0.046875
"141","evm.TU.chromosome_3.1739","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Biological Processes",0.0103061533798121
"142","evm.TU.chromosome_3.1739","GO:0071356","cellular response to tumor necrosis factor",111,3,0.97,0.0281,"Biological Processes",0.027027027027027
"143","evm.TU.chromosome_3.946","GO:0006515","protein quality control for misfolded or incomplete...",14,2,0.12,0.0065,"Biological Processes",0.142857142857143
"144","evm.TU.chromosome_3.61","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Biological Processes",0.0103061533798121
"145","evm.TU.chromosome_3.61","GO:0071340","skeletal muscle acetylcholine-gated channel cluster...",20,2,0.18,0.0131,"Biological Processes",0.1
"146","evm.TU.chromosome_3.203","GO:0006515","protein quality control for misfolded or incomplete...",14,2,0.12,0.0065,"Biological Processes",0.142857142857143
"147","evm.TU.chromosome_3.1357","GO:0034587","piRNA processing",19,2,0.17,0.0118,"Biological Processes",0.105263157894737
"148","evm.TU.chromosome_3.1357","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Biological Processes",0.0326530612244898
"149","evm.TU.chromosome_3.1264","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Biological Processes",0.0103061533798121
"150","evm.TU.chromosome_3.1265","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Biological Processes",0.0103061533798121
"151","evm.TU.chromosome_3.1266","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Biological Processes",0.0103061533798121
"152","evm.TU.chromosome_3.180","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Biological Processes",0.0103061533798121
"153","evm.TU.chromosome_3.180","GO:0034587","piRNA processing",19,2,0.17,0.0118,"Biological Processes",0.105263157894737
"154","evm.TU.chromosome_3.180","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Biological Processes",0.0326530612244898
"155","evm.TU.chromosome_3.1599","GO:0071356","cellular response to tumor necrosis factor",111,3,0.97,0.0281,"Biological Processes",0.027027027027027
"156","evm.TU.chromosome_3.1599","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Biological Processes",0.0326530612244898
"157","evm.TU.chromosome_3.972","GO:0071479","cellular response to ionizing radiation",59,3,0.52,0.0263,"Biological Processes",0.0508474576271186
"158","evm.TU.chromosome_3.1036","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Biological Processes",0.0326530612244898
"159","evm.TU.chromosome_3.344","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Biological Processes",0.0103061533798121
"160","evm.TU.chromosome_3.87","GO:0001502","cartilage condensation",27,2,0.24,0.0232,"Biological Processes",0.0740740740740741
"161","evm.TU.chromosome_3.1444","GO:0051289","protein homotetramerization",64,3,0.56,0.0186,"Biological Processes",0.046875
"162","evm.TU.chromosome_3.1660","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Biological Processes",0.0326530612244898
"163","evm.TU.chromosome_3.1661","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Biological Processes",0.0326530612244898
"164","evm.TU.chromosome_3.1559","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Biological Processes",0.0326530612244898
"165","evm.TU.chromosome_3.1081","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Biological Processes",0.0103061533798121
"166","evm.TU.chromosome_3.1081","GO:0071340","skeletal muscle acetylcholine-gated channel cluster...",20,2,0.18,0.0131,"Biological Processes",0.1
"167","evm.TU.chromosome_3.1089","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Biological Processes",0.0103061533798121
"168","evm.TU.chromosome_3.1089","GO:0071340","skeletal muscle acetylcholine-gated channel cluster...",20,2,0.18,0.0131,"Biological Processes",0.1
"169","evm.TU.chromosome_3.1878","GO:0051289","protein homotetramerization",64,3,0.56,0.0186,"Biological Processes",0.046875
"170","evm.TU.chromosome_3.311","GO:0046330","positive regulation of JNK cascade",66,3,0.58,0.0202,"Biological Processes",0.0454545454545455
"171","evm.TU.chromosome_3.465","GO:0006515","protein quality control for misfolded or incomplete...",14,2,0.12,0.0065,"Biological Processes",0.142857142857143
"172","evm.TU.chromosome_3.1246","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Biological Processes",0.0103061533798121
"173","evm.TU.chromosome_3.1246","GO:0050773","regulation of dendrite development",98,3,0.86,0.0354,"Biological Processes",0.0306122448979592
"174","evm.TU.chromosome_3.966","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Biological Processes",0.0103061533798121
"175","evm.TU.chromosome_3.966","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Biological Processes",0.0326530612244898
"176","evm.TU.chromosome_3.1722_evm.TU.chromosome_3.1743","GO:0051289","protein homotetramerization",64,3,0.56,0.0186,"Biological Processes",0.046875
"177","evm.TU.chromosome_3.797","GO:0000387","spliceosomal snRNP assembly",35,3,0.31,0.0169,"Biological Processes",0.0857142857142857
"178","evm.TU.chromosome_3.1489","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Biological Processes",0.0326530612244898
"179","evm.TU.chromosome_3.2023","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Biological Processes",0.0103061533798121
"180","evm.TU.chromosome_3.1981","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Biological Processes",0.0103061533798121
"181","evm.TU.chromosome_3.1978","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Biological Processes",0.0103061533798121
"182","evm.TU.chromosome_3.217","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Biological Processes",0.0103061533798121
"183","evm.TU.chromosome_3.217","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Biological Processes",0.0103061533798121
"184","evm.TU.chromosome_3.214","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Biological Processes",0.0103061533798121
"185","evm.TU.chromosome_3.2030","GO:0001502","cartilage condensation",27,2,0.24,0.0232,"Biological Processes",0.0740740740740741
"186","evm.TU.chromosome_3.46","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Biological Processes",0.0103061533798121
"187","evm.TU.chromosome_3.142","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Biological Processes",0.0103061533798121
"188","evm.TU.chromosome_3.142","GO:0034587","piRNA processing",19,2,0.17,0.0118,"Biological Processes",0.105263157894737
"189","evm.TU.chromosome_3.142","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Biological Processes",0.0326530612244898
"190","evm.TU.chromosome_3.96","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Biological Processes",0.0103061533798121
"191","evm.TU.chromosome_3.96","GO:0046330","positive regulation of JNK cascade",66,3,0.58,0.0202,"Biological Processes",0.0454545454545455
"192","evm.TU.chromosome_3.231","GO:0010756","positive regulation of plasminogen activation",4,1,0.04,0.0346,"Biological Processes",0.25
"193","evm.TU.chromosome_3.237","GO:0071340","skeletal muscle acetylcholine-gated channel cluster...",20,2,0.18,0.0131,"Biological Processes",0.1
"194","evm.TU.chromosome_3.88","GO:0001502","cartilage condensation",27,2,0.24,0.0232,"Biological Processes",0.0740740740740741
"195","evm.TU.chromosome_3.1790","GO:0034587","piRNA processing",19,2,0.17,0.0118,"Biological Processes",0.105263157894737
"196","evm.TU.chromosome_3.1790","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Biological Processes",0.0326530612244898
"197","evm.TU.chromosome_4.1883","GO:0046330","positive regulation of JNK cascade",66,3,0.58,0.0202,"Biological Processes",0.0454545454545455
"198","evm.TU.chromosome_4.767","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Biological Processes",0.0326530612244898
"199","evm.TU.chromosome_4.694","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Biological Processes",0.0103061533798121
"200","evm.TU.chromosome_4.694","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Biological Processes",0.0326530612244898
"201","evm.TU.chromosome_4.1839","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Biological Processes",0.0103061533798121
"202","evm.TU.chromosome_4.1839","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Biological Processes",0.0103061533798121
"203","evm.TU.chromosome_4.2340","GO:0001502","cartilage condensation",27,2,0.24,0.0232,"Biological Processes",0.0740740740740741
"204","evm.TU.chromosome_4.1254.1.5f15e49f","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Biological Processes",0.0103061533798121
"205","evm.TU.chromosome_4.1254.1.5f15e49f","GO:0034587","piRNA processing",19,2,0.17,0.0118,"Biological Processes",0.105263157894737
"206","evm.TU.chromosome_4.1254.1.5f15e49f","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Biological Processes",0.0326530612244898
"207","evm.TU.chromosome_4.1254","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Biological Processes",0.0103061533798121
"208","evm.TU.chromosome_4.1254","GO:0034587","piRNA processing",19,2,0.17,0.0118,"Biological Processes",0.105263157894737
"209","evm.TU.chromosome_4.1254","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Biological Processes",0.0326530612244898
"210","evm.TU.chromosome_4.1570","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Biological Processes",0.0326530612244898
"211","evm.TU.chromosome_4.1597","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Biological Processes",0.0326530612244898
