"","GO.ID","Term","Annotated","Significant","Expected","Fisher","ontology","mRNA"
"52","GO:0051092","positive regulation of NF-kappaB transcription fact...",104,1,0.02,0.02391,"Biological Processes","evm.TU.chromosome_6.1548"
"53","GO:0032869","cellular response to insulin stimulus",111,1,0.03,0.02551,"Biological Processes","evm.TU.chromosome_6.1548"
"54","GO:0050731","positive regulation of peptidyl-tyrosine phosphoryl...",112,1,0.03,0.02573,"Biological Processes","evm.TU.chromosome_6.1548"
"55","GO:0032755","positive regulation of interleukin-6 production",115,1,0.03,0.02642,"Biological Processes","evm.TU.chromosome_6.1548"
"56","GO:0007584","response to nutrient",131,1,0.03,0.03005,"Biological Processes","evm.TU.chromosome_6.1548"
"57","GO:0042755","eating behavior",132,1,0.03,0.03028,"Biological Processes","evm.TU.chromosome_6.1548"
"58","GO:0003085","negative regulation of systemic arterial blood pres...",146,1,0.03,0.03345,"Biological Processes","evm.TU.chromosome_6.1548"
"59","GO:0043123","positive regulation of canonical NF-kappaB signal t...",154,1,0.04,0.03526,"Biological Processes","evm.TU.chromosome_6.1548"
"60","GO:0070374","positive regulation of ERK1 and ERK2 cascade",164,1,0.04,0.03751,"Biological Processes","evm.TU.chromosome_6.1548"
"61","GO:0042593","glucose homeostasis",180,1,0.04,0.04111,"Biological Processes","evm.TU.chromosome_6.1548"
"62","GO:0007204","positive regulation of cytosolic calcium ion concen...",181,1,0.04,0.04134,"Biological Processes","evm.TU.chromosome_6.1548"
"63","GO:0005901","caveola",124,2,0.02,0.00016,"Cellular Components","evm.TU.chromosome_6.1548"
"64","GO:0005901","caveola",124,2,0.02,0.00016,"Cellular Components","evm.TU.chromosome_12.1648"
"65","GO:0031526","brush border membrane",57,1,0.01,0.01008,"Cellular Components","evm.TU.chromosome_6.1548"
"66","GO:0042383","sarcolemma",132,1,0.02,0.02325,"Cellular Components","evm.TU.chromosome_6.1548"
"67","GO:0009897","external side of plasma membrane",153,1,0.03,0.02691,"Cellular Components","evm.TU.chromosome_6.1548"
"68","GO:0031965","nuclear membrane",226,1,0.04,0.03958,"Cellular Components","evm.TU.chromosome_12.1648"
"69","GO:0070892","lipoteichoic acid immune receptor activity",1,1,0,0.00027,"Molecular Functions","evm.TU.chromosome_6.1548"
"70","GO:0070538","oleic acid binding",2,1,0,0.00053,"Molecular Functions","evm.TU.chromosome_6.1548"
"71","GO:0070053","thrombospondin receptor activity",3,1,0,8e-04,"Molecular Functions","evm.TU.chromosome_6.1548"
"72","GO:0008035","high-density lipoprotein particle binding",4,1,0,0.00107,"Molecular Functions","evm.TU.chromosome_6.1548"
"73","GO:0035325","Toll-like receptor binding",10,1,0,0.00267,"Molecular Functions","evm.TU.chromosome_6.1548"
"74","GO:0003884","D-amino-acid oxidase activity",10,1,0,0.00267,"Molecular Functions","evm.TU.chromosome_4.1032"
"75","GO:0003884","D-amino-acid oxidase activity",10,1,0,0.00267,"Molecular Functions","evm.TU.chromosome_4.1032"
"76","GO:0030169","low-density lipoprotein particle binding",11,1,0,0.00294,"Molecular Functions","evm.TU.chromosome_6.1548"
"77","GO:0050431","transforming growth factor beta binding",19,1,0.01,0.00507,"Molecular Functions","evm.TU.chromosome_6.1548"
"78","GO:0005041","low-density lipoprotein particle receptor activity",26,1,0.01,0.00693,"Molecular Functions","evm.TU.chromosome_6.1548"
"79","GO:0071949","FAD binding",32,1,0.01,0.00853,"Molecular Functions","evm.TU.chromosome_4.1032"
"80","GO:0071949","FAD binding",32,1,0.01,0.00853,"Molecular Functions","evm.TU.chromosome_4.1032"
