"","GO.ID","Term","Annotated","Significant","Expected","Fisher","ontology","mRNA"
"24","GO:0014054","positive regulation of gamma-aminobutyric acid secr...",24,1,0.02,0.01932,"Biological Processes","evm.TU.chromosome_12.2906"
"25","GO:0044070","regulation of monoatomic anion transport",27,1,0.02,0.02171,"Biological Processes","evm.TU.chromosome_11.903"
"26","GO:0009744","response to sucrose",29,1,0.02,0.0233,"Biological Processes","evm.TU.chromosome_12.2906"
"27","GO:0006032","chitin catabolic process",30,1,0.02,0.0241,"Biological Processes","evm.TU.chromosome_8.2410"
"28","GO:0060218","hematopoietic stem cell differentiation",35,1,0.03,0.02806,"Biological Processes","evm.TU.chromosome_14.5944"
"29","GO:0090073","positive regulation of protein homodimerization act...",35,1,0.03,0.02806,"Biological Processes","evm.TU.chromosome_11.2778"
"30","GO:0060346","bone trabecula formation",36,1,0.03,0.02885,"Biological Processes","evm.TU.chromosome_9.2114"
"31","GO:0006730","one-carbon metabolic process",37,1,0.03,0.02964,"Biological Processes","evm.TU.chromosome_11.903"
"32","GO:0008045","motor neuron axon guidance",44,1,0.04,0.03516,"Biological Processes","evm.TU.chromosome_7.857"
"33","GO:0035583","sequestering of TGFbeta in extracellular matrix",51,1,0.04,0.04064,"Biological Processes","evm.TU.chromosome_9.2114"
"34","GO:0000272","polysaccharide catabolic process",59,1,0.05,0.04688,"Biological Processes","evm.TU.chromosome_8.2410"
"35","GO:0035580","specific granule lumen",18,1,0.01,0.013,"Cellular Components","evm.TU.chromosome_12.835"
"36","GO:1904724","tertiary granule lumen",25,1,0.02,0.018,"Cellular Components","evm.TU.chromosome_12.835"
"37","GO:0001527","microfibril",53,1,0.04,0.037,"Cellular Components","evm.TU.chromosome_9.2114"
"38","GO:0035631","CD40 receptor complex",61,1,0.04,0.042,"Cellular Components","evm.TU.chromosome_14.5366"
"39","GO:0031419","cobalamin binding",24,2,0.02,0.00016,"Molecular Functions","evm.TU.chromosome_12.835"
"40","GO:0031419","cobalamin binding",24,2,0.02,0.00016,"Molecular Functions","evm.TU.chromosome_12.835"
"41","GO:0031419","cobalamin binding",24,2,0.02,0.00016,"Molecular Functions","evm.TU.chromosome_12.833"
"42","GO:0031419","cobalamin binding",24,2,0.02,0.00016,"Molecular Functions","evm.TU.chromosome_12.833"
"43","GO:0031996","thioesterase binding",99,2,0.08,0.00279,"Molecular Functions","evm.TU.chromosome_11.2778"
"44","GO:0031996","thioesterase binding",99,2,0.08,0.00279,"Molecular Functions","evm.TU.chromosome_14.5366"
"45","GO:0005164","tumor necrosis factor receptor binding",140,2,0.11,0.00548,"Molecular Functions","evm.TU.chromosome_11.2778"
"46","GO:0005164","tumor necrosis factor receptor binding",140,2,0.11,0.00548,"Molecular Functions","evm.TU.chromosome_14.5366"
"47","GO:0008270","zinc ion binding",1782,5,1.43,0.01039,"Molecular Functions","evm.TU.chromosome_4.1592"
"48","GO:0008270","zinc ion binding",1782,5,1.43,0.01039,"Molecular Functions","evm.TU.chromosome_4.1592"
"49","GO:0008270","zinc ion binding",1782,5,1.43,0.01039,"Molecular Functions","evm.TU.chromosome_11.2778"
"50","GO:0008270","zinc ion binding",1782,5,1.43,0.01039,"Molecular Functions","evm.TU.chromosome_11.2778"
"51","GO:0008270","zinc ion binding",1782,5,1.43,0.01039,"Molecular Functions","evm.TU.chromosome_11.903"
"52","GO:0008270","zinc ion binding",1782,5,1.43,0.01039,"Molecular Functions","evm.TU.chromosome_14.5366"
"53","GO:0008270","zinc ion binding",1782,5,1.43,0.01039,"Molecular Functions","evm.TU.chromosome_14.5366"
"54","GO:0008270","zinc ion binding",1782,5,1.43,0.01039,"Molecular Functions","evm.TU.chromosome_14.7156"
"55","GO:0030023","extracellular matrix constituent conferring elastic...",14,1,0.01,0.01118,"Molecular Functions","evm.TU.chromosome_9.2114"
"56","GO:0004842","ubiquitin-protein transferase activity",604,3,0.48,0.01142,"Molecular Functions","evm.TU.chromosome_4.1592"
"57","GO:0004842","ubiquitin-protein transferase activity",604,3,0.48,0.01142,"Molecular Functions","evm.TU.chromosome_11.2778"
"58","GO:0004842","ubiquitin-protein transferase activity",604,3,0.48,0.01142,"Molecular Functions","evm.TU.chromosome_14.7156"
"59","GO:0004842","ubiquitin-protein transferase activity",604,3,0.48,0.01142,"Molecular Functions","evm.TU.chromosome_14.7156"
"60","GO:0004089","carbonate dehydratase activity",17,1,0.01,0.01356,"Molecular Functions","evm.TU.chromosome_11.903"
"61","GO:0004089","carbonate dehydratase activity",17,1,0.01,0.01356,"Molecular Functions","evm.TU.chromosome_11.903"
"62","GO:0004563","beta-N-acetylhexosaminidase activity",20,1,0.02,0.01593,"Molecular Functions","evm.TU.chromosome_8.2410"
"63","GO:0004563","beta-N-acetylhexosaminidase activity",20,1,0.02,0.01593,"Molecular Functions","evm.TU.chromosome_8.2410"
"64","GO:0005332","gamma-aminobutyric acid:sodium:chloride symporter a...",23,1,0.02,0.0183,"Molecular Functions","evm.TU.chromosome_12.2906"
"65","GO:0005112","Notch binding",25,1,0.02,0.01988,"Molecular Functions","evm.TU.chromosome_14.5944"
"66","GO:0031625","ubiquitin protein ligase binding",324,2,0.26,0.02708,"Molecular Functions","evm.TU.chromosome_11.2778"
"67","GO:0031625","ubiquitin protein ligase binding",324,2,0.26,0.02708,"Molecular Functions","evm.TU.chromosome_14.5366"
"68","GO:0005328","neurotransmitter:sodium symporter activity",40,1,0.03,0.03162,"Molecular Functions","evm.TU.chromosome_12.2906"
"69","GO:0050699","WW domain binding",42,1,0.03,0.03318,"Molecular Functions","evm.TU.chromosome_11.2778"
