"","GO.ID","Term","Annotated","Significant","Expected","Fisher","ontology","mRNA"
"53","GO:0036128","CatSper complex",18,1,0.03,0.0263,"Cellular Components","evm.TU.chromosome_12.906"
"54","GO:0005838","proteasome regulatory particle",21,1,0.03,0.0306,"Cellular Components","evm.TU.chromosome_2.218"
"55","GO:0005881","cytoplasmic microtubule",22,1,0.03,0.0321,"Cellular Components","evm.TU.chromosome_9.2235"
"56","GO:0005771","multivesicular body",28,1,0.04,0.0406,"Cellular Components","evm.TU.chromosome_3.1678"
"57","GO:0000121","glycerol-1-phosphatase activity",2,1,0,0.0027,"Molecular Functions","evm.TU.chromosome_7.1323"
"58","GO:0043136","glycerol-3-phosphatase activity",2,1,0,0.0027,"Molecular Functions","evm.TU.chromosome_7.1323"
"59","GO:0005200","structural constituent of cytoskeleton",79,2,0.11,0.005,"Molecular Functions","evm.TU.chromosome_7.1243"
"60","GO:0005200","structural constituent of cytoskeleton",79,2,0.11,0.005,"Molecular Functions","evm.TU.chromosome_7.1243"
"61","GO:0005200","structural constituent of cytoskeleton",79,2,0.11,0.005,"Molecular Functions","evm.TU.chromosome_9.2235"
"62","GO:0005200","structural constituent of cytoskeleton",79,2,0.11,0.005,"Molecular Functions","evm.TU.chromosome_9.2235"
"63","GO:0019863","IgE binding",7,1,0.01,0.0093,"Molecular Functions","evm.TU.chromosome_8.2695"
"64","GO:0004725","protein tyrosine phosphatase activity",113,2,0.15,0.0099,"Molecular Functions","evm.TU.chromosome_3.624"
"65","GO:0004725","protein tyrosine phosphatase activity",113,2,0.15,0.0099,"Molecular Functions","evm.TU.chromosome_3.624"
"66","GO:0004725","protein tyrosine phosphatase activity",113,2,0.15,0.0099,"Molecular Functions","evm.TU.chromosome_3.1557"
"67","GO:0004725","protein tyrosine phosphatase activity",113,2,0.15,0.0099,"Molecular Functions","evm.TU.chromosome_3.1557"
"68","GO:0015386","potassium:proton antiporter activity",9,1,0.01,0.012,"Molecular Functions","evm.TU.chromosome_5.2273"
"69","GO:0008301","DNA binding, bending",13,1,0.02,0.0172,"Molecular Functions","evm.TU.chromosome_6.1006"
"70","GO:0015385","sodium:proton antiporter activity",14,1,0.02,0.0186,"Molecular Functions","evm.TU.chromosome_5.2273"
"71","GO:0043395","heparan sulfate proteoglycan binding",16,1,0.02,0.0212,"Molecular Functions","evm.TU.chromosome_3.624"
"72","GO:0008201","heparin binding",175,2,0.23,0.0227,"Molecular Functions","evm.TU.chromosome_3.624"
"73","GO:0008201","heparin binding",175,2,0.23,0.0227,"Molecular Functions","evm.TU.chromosome_3.1557"
"74","GO:0017025","TBP-class protein binding",19,1,0.03,0.0251,"Molecular Functions","evm.TU.chromosome_6.1006"
"75","GO:0003680","minor groove of adenine-thymine-rich DNA binding",20,1,0.03,0.0264,"Molecular Functions","evm.TU.chromosome_13.358"
"76","GO:0001733","galactosylceramide sulfotransferase activity",26,1,0.03,0.0342,"Molecular Functions","evm.TU.chromosome_3.611"
"77","GO:0001733","galactosylceramide sulfotransferase activity",26,1,0.03,0.0342,"Molecular Functions","evm.TU.chromosome_3.611"
"78","GO:0030246","carbohydrate binding",567,3,0.76,0.0389,"Molecular Functions","evm.TU.chromosome_2.641"
"79","GO:0030246","carbohydrate binding",567,3,0.76,0.0389,"Molecular Functions","evm.TU.chromosome_2.641"
"80","GO:0030246","carbohydrate binding",567,3,0.76,0.0389,"Molecular Functions","evm.TU.chromosome_8.2695"
"81","GO:0030246","carbohydrate binding",567,3,0.76,0.0389,"Molecular Functions","evm.TU.chromosome_13.2779"
"82","GO:0030246","carbohydrate binding",567,3,0.76,0.0389,"Molecular Functions","evm.TU.chromosome_13.2779"
