"","mRNA","GO","Term","Annotated","Significant","Expected","Fisher","ontology","sig.prop"
"19","evm.TU.chromosome_1.721","GO:0048010","vascular endothelial growth factor receptor signali...",45,2,0.32,0.0409,"Biological Processes",0.0444444444444444
"20","evm.TU.chromosome_1.1730_evm.TU.chromosome_1.1731","GO:0070262","peptidyl-serine dephosphorylation",5,1,0.04,0.0352,"Biological Processes",0.2
"21","evm.TU.chromosome_1.992","GO:0009617","response to bacterium",378,6,2.7,0.0176,"Biological Processes",0.0158730158730159
"22","evm.TU.chromosome_1.993","GO:0007283","spermatogenesis",245,8,1.75,0.0021,"Biological Processes",0.0326530612244898
"23","evm.TU.chromosome_1.1530","GO:0045892","negative regulation of DNA-templated transcription",550,7,3.92,0.0358,"Biological Processes",0.0127272727272727
"24","evm.TU.chromosome_1.1530","GO:0046330","positive regulation of JNK cascade",66,3,0.47,0.0117,"Biological Processes",0.0454545454545455
"25","evm.TU.chromosome_1.1530","GO:0045663","positive regulation of myoblast differentiation",2,1,0.01,0.0142,"Biological Processes",0.5
"26","evm.TU.chromosome_1.1763","GO:0045892","negative regulation of DNA-templated transcription",550,7,3.92,0.0358,"Biological Processes",0.0127272727272727
"27","evm.TU.chromosome_1.1891","GO:0007017","microtubule-based process",566,7,4.04,0.0226,"Biological Processes",0.0123674911660777
"28","evm.TU.chromosome_1.1891","GO:0007017","microtubule-based process",566,7,4.04,0.0226,"Biological Processes",0.0123674911660777
"29","evm.TU.chromosome_1.185","GO:0009617","response to bacterium",378,6,2.7,0.0176,"Biological Processes",0.0158730158730159
"30","evm.TU.chromosome_1.186","GO:0045892","negative regulation of DNA-templated transcription",550,7,3.92,0.0358,"Biological Processes",0.0127272727272727
"31","evm.TU.chromosome_1.926","GO:0009617","response to bacterium",378,6,2.7,0.0176,"Biological Processes",0.0158730158730159
"32","evm.TU.chromosome_1.1695","GO:0035118","embryonic pectoral fin morphogenesis",5,1,0.04,0.0352,"Biological Processes",0.2
"33","evm.TU.chromosome_1.1695","GO:0045743","positive regulation of fibroblast growth factor rec...",7,2,0.05,0.001,"Biological Processes",0.285714285714286
"34","evm.TU.chromosome_1.384","GO:0007283","spermatogenesis",245,8,1.75,0.0021,"Biological Processes",0.0326530612244898
"35","evm.TU.chromosome_1.386_evm.TU.chromosome_1.387","GO:0007283","spermatogenesis",245,8,1.75,0.0021,"Biological Processes",0.0326530612244898
"36","evm.TU.chromosome_1.1450","GO:0006555","methionine metabolic process",37,2,0.26,0.0281,"Biological Processes",0.0540540540540541
"37","evm.TU.chromosome_1.662","GO:0071356","cellular response to tumor necrosis factor",111,3,0.79,0.0192,"Biological Processes",0.027027027027027
"38","evm.TU.chromosome_1.662","GO:0007283","spermatogenesis",245,8,1.75,0.0021,"Biological Processes",0.0326530612244898
"39","evm.TU.chromosome_1.369","GO:0007283","spermatogenesis",245,8,1.75,0.0021,"Biological Processes",0.0326530612244898
"40","evm.TU.chromosome_1.1009","GO:0009617","response to bacterium",378,6,2.7,0.0176,"Biological Processes",0.0158730158730159
"41","evm.TU.chromosome_1.161","GO:0045892","negative regulation of DNA-templated transcription",550,7,3.92,0.0358,"Biological Processes",0.0127272727272727
"42","evm.TU.chromosome_1.161","GO:0051092","positive regulation of NF-kappaB transcription fact...",104,3,0.74,0.0384,"Biological Processes",0.0288461538461538
"43","evm.TU.chromosome_1.1465","GO:0007283","spermatogenesis",245,8,1.75,0.0021,"Biological Processes",0.0326530612244898
"44","evm.TU.chromosome_1.1151","GO:0007283","spermatogenesis",245,8,1.75,0.0021,"Biological Processes",0.0326530612244898
"45","evm.TU.chromosome_1.864","GO:0030278","regulation of ossification",193,3,1.38,0.0281,"Biological Processes",0.0155440414507772
"46","evm.TU.chromosome_1.864","GO:0007178","cell surface receptor protein serine/threonine kina...",297,3,2.12,0.0283,"Biological Processes",0.0101010101010101
"47","evm.TU.chromosome_1.869","GO:2000379","positive regulation of reactive oxygen species meta...",37,2,0.26,0.0286,"Biological Processes",0.0540540540540541
"48","evm.TU.chromosome_1.988","GO:0007283","spermatogenesis",245,8,1.75,0.0021,"Biological Processes",0.0326530612244898
"49","evm.TU.chromosome_1.568","GO:1905050","positive regulation of metallopeptidase activity",5,1,0.04,0.0352,"Biological Processes",0.2
"50","evm.TU.chromosome_1.1609","GO:0007283","spermatogenesis",245,8,1.75,0.0021,"Biological Processes",0.0326530612244898
"51","evm.TU.chromosome_1.1607","GO:0007017","microtubule-based process",566,7,4.04,0.0226,"Biological Processes",0.0123674911660777
"52","evm.TU.chromosome_1.1607","GO:0007283","spermatogenesis",245,8,1.75,0.0021,"Biological Processes",0.0326530612244898
"53","evm.TU.chromosome_1.645","GO:0007017","microtubule-based process",566,7,4.04,0.0226,"Biological Processes",0.0123674911660777
"54","evm.TU.chromosome_1.645","GO:0007017","microtubule-based process",566,7,4.04,0.0226,"Biological Processes",0.0123674911660777
"55","evm.TU.chromosome_1.1109","GO:0045892","negative regulation of DNA-templated transcription",550,7,3.92,0.0358,"Biological Processes",0.0127272727272727
"56","evm.TU.chromosome_1.481","GO:0007283","spermatogenesis",245,8,1.75,0.0021,"Biological Processes",0.0326530612244898
"57","evm.TU.chromosome_1.224","GO:0034587","piRNA processing",19,2,0.14,0.008,"Biological Processes",0.105263157894737
"58","evm.TU.chromosome_1.221","GO:0009617","response to bacterium",378,6,2.7,0.0176,"Biological Processes",0.0158730158730159
"59","evm.TU.chromosome_1.1182","GO:0045892","negative regulation of DNA-templated transcription",550,7,3.92,0.0358,"Biological Processes",0.0127272727272727
"60","evm.TU.chromosome_2.753","GO:0045892","negative regulation of DNA-templated transcription",550,7,3.92,0.0358,"Biological Processes",0.0127272727272727
"61","evm.TU.chromosome_2.755","GO:0045892","negative regulation of DNA-templated transcription",550,7,3.92,0.0358,"Biological Processes",0.0127272727272727
"62","evm.TU.chromosome_2.165_evm.TU.chromosome_2.166","GO:0051092","positive regulation of NF-kappaB transcription fact...",104,3,0.74,0.0384,"Biological Processes",0.0288461538461538
"63","evm.TU.chromosome_2.242","GO:0051092","positive regulation of NF-kappaB transcription fact...",104,3,0.74,0.0384,"Biological Processes",0.0288461538461538
"64","evm.TU.chromosome_2.1910","GO:0006425","glutaminyl-tRNA aminoacylation",2,1,0.01,0.0142,"Biological Processes",0.5
"65","evm.TU.chromosome_2.1910","GO:0045892","negative regulation of DNA-templated transcription",550,7,3.92,0.0358,"Biological Processes",0.0127272727272727
"66","evm.TU.chromosome_2.1910","GO:0006425","glutaminyl-tRNA aminoacylation",2,1,0.01,0.0142,"Biological Processes",0.5
"67","evm.TU.chromosome_2.344","GO:0009617","response to bacterium",378,6,2.7,0.0176,"Biological Processes",0.0158730158730159
"68","evm.TU.chromosome_2.1994","GO:0007283","spermatogenesis",245,8,1.75,0.0021,"Biological Processes",0.0326530612244898
"69","evm.TU.chromosome_2.69","GO:0045892","negative regulation of DNA-templated transcription",550,7,3.92,0.0358,"Biological Processes",0.0127272727272727
"70","evm.TU.chromosome_2.214","GO:0007283","spermatogenesis",245,8,1.75,0.0021,"Biological Processes",0.0326530612244898
"71","evm.TU.chromosome_2.621","GO:0000387","spliceosomal snRNP assembly",35,3,0.25,0.0114,"Biological Processes",0.0857142857142857
"72","evm.TU.chromosome_2.621","GO:0000387","spliceosomal snRNP assembly",35,3,0.25,0.0114,"Biological Processes",0.0857142857142857
"73","evm.TU.chromosome_2.2086","GO:0007283","spermatogenesis",245,8,1.75,0.0021,"Biological Processes",0.0326530612244898
"74","evm.TU.chromosome_2.2087","GO:0007283","spermatogenesis",245,8,1.75,0.0021,"Biological Processes",0.0326530612244898
"75","evm.TU.chromosome_2.855","GO:0045892","negative regulation of DNA-templated transcription",550,7,3.92,0.0358,"Biological Processes",0.0127272727272727
"76","evm.TU.chromosome_2.1034","GO:0000272","polysaccharide catabolic process",59,6,0.42,3.9e-06,"Biological Processes",0.101694915254237
"77","evm.TU.chromosome_2.674","GO:0000272","polysaccharide catabolic process",59,6,0.42,3.9e-06,"Biological Processes",0.101694915254237
"78","evm.TU.chromosome_2.346","GO:0072734","cellular response to staurosporine",4,1,0.03,0.0282,"Biological Processes",0.25
"79","evm.TU.chromosome_2.1103","GO:0007283","spermatogenesis",245,8,1.75,0.0021,"Biological Processes",0.0326530612244898
"80","evm.TU.chromosome_2.756","GO:0045892","negative regulation of DNA-templated transcription",550,7,3.92,0.0358,"Biological Processes",0.0127272727272727
"81","evm.TU.chromosome_2.1217","GO:0045892","negative regulation of DNA-templated transcription",550,7,3.92,0.0358,"Biological Processes",0.0127272727272727
"82","evm.TU.chromosome_2.1487","GO:0051092","positive regulation of NF-kappaB transcription fact...",104,3,0.74,0.0384,"Biological Processes",0.0288461538461538
"83","evm.TU.chromosome_2.1638","GO:0045892","negative regulation of DNA-templated transcription",550,7,3.92,0.0358,"Biological Processes",0.0127272727272727
"84","evm.TU.chromosome_2.1860","GO:0007283","spermatogenesis",245,8,1.75,0.0021,"Biological Processes",0.0326530612244898
"85","evm.TU.chromosome_2.510","GO:0045892","negative regulation of DNA-templated transcription",550,7,3.92,0.0358,"Biological Processes",0.0127272727272727
"86","evm.TU.chromosome_2.510","GO:0007283","spermatogenesis",245,8,1.75,0.0021,"Biological Processes",0.0326530612244898
"87","evm.TU.chromosome_2.17","GO:0007283","spermatogenesis",245,8,1.75,0.0021,"Biological Processes",0.0326530612244898
"88","evm.TU.chromosome_2.760","GO:0045892","negative regulation of DNA-templated transcription",550,7,3.92,0.0358,"Biological Processes",0.0127272727272727
"89","evm.TU.chromosome_2.761","GO:0045892","negative regulation of DNA-templated transcription",550,7,3.92,0.0358,"Biological Processes",0.0127272727272727
"90","evm.TU.chromosome_2.657","GO:0034587","piRNA processing",19,2,0.14,0.008,"Biological Processes",0.105263157894737
"91","evm.TU.chromosome_2.657","GO:0007283","spermatogenesis",245,8,1.75,0.0021,"Biological Processes",0.0326530612244898
"92","evm.TU.chromosome_2.164","GO:0051092","positive regulation of NF-kappaB transcription fact...",104,3,0.74,0.0384,"Biological Processes",0.0288461538461538
"93","evm.TU.chromosome_2.1333","GO:0045892","negative regulation of DNA-templated transcription",550,7,3.92,0.0358,"Biological Processes",0.0127272727272727
"94","evm.TU.chromosome_2.1275","GO:0007283","spermatogenesis",245,8,1.75,0.0021,"Biological Processes",0.0326530612244898
"95","evm.TU.chromosome_2.981","GO:0051289","protein homotetramerization",64,3,0.46,0.0108,"Biological Processes",0.046875
"96","evm.TU.chromosome_2.353","GO:0045892","negative regulation of DNA-templated transcription",550,7,3.92,0.0358,"Biological Processes",0.0127272727272727
"97","evm.TU.chromosome_2.353","GO:0045892","negative regulation of DNA-templated transcription",550,7,3.92,0.0358,"Biological Processes",0.0127272727272727
"98","evm.TU.chromosome_2.578","GO:0007283","spermatogenesis",245,8,1.75,0.0021,"Biological Processes",0.0326530612244898
"99","evm.TU.chromosome_2.269","GO:0000387","spliceosomal snRNP assembly",35,3,0.25,0.0114,"Biological Processes",0.0857142857142857
"100","evm.TU.chromosome_2.1886","GO:0071356","cellular response to tumor necrosis factor",111,3,0.79,0.0192,"Biological Processes",0.027027027027027
"101","evm.TU.chromosome_2.1886","GO:0007283","spermatogenesis",245,8,1.75,0.0021,"Biological Processes",0.0326530612244898
"102","evm.TU.chromosome_2.2094","GO:0048010","vascular endothelial growth factor receptor signali...",45,2,0.32,0.0409,"Biological Processes",0.0444444444444444
"103","evm.TU.chromosome_2.2093","GO:0045892","negative regulation of DNA-templated transcription",550,7,3.92,0.0358,"Biological Processes",0.0127272727272727
"104","evm.TU.chromosome_2.1357","GO:0045892","negative regulation of DNA-templated transcription",550,7,3.92,0.0358,"Biological Processes",0.0127272727272727
"105","evm.TU.chromosome_2.1356","GO:0007283","spermatogenesis",245,8,1.75,0.0021,"Biological Processes",0.0326530612244898
"106","evm.TU.chromosome_2.1355","GO:0045892","negative regulation of DNA-templated transcription",550,7,3.92,0.0358,"Biological Processes",0.0127272727272727
"107","evm.TU.chromosome_2.1354","GO:0045892","negative regulation of DNA-templated transcription",550,7,3.92,0.0358,"Biological Processes",0.0127272727272727
"108","evm.TU.chromosome_2.488","GO:0007017","microtubule-based process",566,7,4.04,0.0226,"Biological Processes",0.0123674911660777
"109","evm.TU.chromosome_2.488","GO:0007017","microtubule-based process",566,7,4.04,0.0226,"Biological Processes",0.0123674911660777
"110","evm.TU.chromosome_2.1878","GO:0051289","protein homotetramerization",64,3,0.46,0.0108,"Biological Processes",0.046875
"111","evm.TU.chromosome_2.389","GO:0045892","negative regulation of DNA-templated transcription",550,7,3.92,0.0358,"Biological Processes",0.0127272727272727
"112","evm.TU.chromosome_2.528","GO:0007017","microtubule-based process",566,7,4.04,0.0226,"Biological Processes",0.0123674911660777
"113","evm.TU.chromosome_2.771","GO:0071479","cellular response to ionizing radiation",59,3,0.42,0.0179,"Biological Processes",0.0508474576271186
"114","evm.TU.chromosome_2.771","GO:0071223","cellular response to lipoteichoic acid",6,1,0.04,0.0421,"Biological Processes",0.166666666666667
"115","evm.TU.chromosome_2.771","GO:0071356","cellular response to tumor necrosis factor",111,3,0.79,0.0192,"Biological Processes",0.027027027027027
"116","evm.TU.chromosome_2.771","GO:0014835","myoblast differentiation involved in skeletal muscl...",2,1,0.01,0.0142,"Biological Processes",0.5
"117","evm.TU.chromosome_2.771","GO:0090336","positive regulation of brown fat cell differentiati...",2,1,0.01,0.0142,"Biological Processes",0.5
"118","evm.TU.chromosome_2.771","GO:0045648","positive regulation of erythrocyte differentiation",6,1,0.04,0.0421,"Biological Processes",0.166666666666667
"119","evm.TU.chromosome_2.771","GO:0010759","positive regulation of macrophage chemotaxis",2,1,0.01,0.0142,"Biological Processes",0.5
"120","evm.TU.chromosome_2.771","GO:1905050","positive regulation of metallopeptidase activity",5,1,0.04,0.0352,"Biological Processes",0.2
"121","evm.TU.chromosome_2.771","GO:0045663","positive regulation of myoblast differentiation",2,1,0.01,0.0142,"Biological Processes",0.5
"122","evm.TU.chromosome_2.771","GO:1901741","positive regulation of myoblast fusion",2,1,0.01,0.0142,"Biological Processes",0.5
"123","evm.TU.chromosome_2.771","GO:0010831","positive regulation of myotube differentiation",4,1,0.03,0.0282,"Biological Processes",0.25
"124","evm.TU.chromosome_2.771","GO:2000379","positive regulation of reactive oxygen species meta...",37,2,0.26,0.0286,"Biological Processes",0.0540540540540541
"125","evm.TU.chromosome_2.771","GO:0030278","regulation of ossification",193,3,1.38,0.0281,"Biological Processes",0.0155440414507772
"126","evm.TU.chromosome_2.771","GO:0090400","stress-induced premature senescence",3,1,0.02,0.0213,"Biological Processes",0.333333333333333
"127","evm.TU.chromosome_2.771","GO:0007178","cell surface receptor protein serine/threonine kina...",297,3,2.12,0.0283,"Biological Processes",0.0101010101010101
"128","evm.TU.chromosome_2.771","GO:0048010","vascular endothelial growth factor receptor signali...",45,2,0.32,0.0409,"Biological Processes",0.0444444444444444
"129","evm.TU.chromosome_2.232","GO:0045892","negative regulation of DNA-templated transcription",550,7,3.92,0.0358,"Biological Processes",0.0127272727272727
"130","evm.TU.chromosome_2.752","GO:0045892","negative regulation of DNA-templated transcription",550,7,3.92,0.0358,"Biological Processes",0.0127272727272727
"131","evm.TU.chromosome_2.88","GO:0061472","karyomere membrane fusion",3,1,0.02,0.0213,"Biological Processes",0.333333333333333
"132","evm.TU.chromosome_2.88","GO:0007344","pronuclear fusion",4,1,0.03,0.0282,"Biological Processes",0.25
"133","evm.TU.chromosome_2.644","GO:0070842","aggresome assembly",3,1,0.02,0.0213,"Biological Processes",0.333333333333333
"134","evm.TU.chromosome_2.644","GO:0070846","Hsp90 deacetylation",1,1,0.01,0.0071,"Biological Processes",1
"135","evm.TU.chromosome_2.644","GO:0010727","negative regulation of hydrogen peroxide metabolic ...",2,1,0.01,0.0142,"Biological Processes",0.5
"136","evm.TU.chromosome_2.644","GO:0043242","negative regulation of protein-containing complex d...",42,2,0.3,0.0418,"Biological Processes",0.0476190476190476
"137","evm.TU.chromosome_2.644","GO:0045892","negative regulation of DNA-templated transcription",550,7,3.92,0.0358,"Biological Processes",0.0127272727272727
"138","evm.TU.chromosome_2.644","GO:0061734","type 2 mitophagy",5,1,0.04,0.0352,"Biological Processes",0.2
"139","evm.TU.chromosome_2.644","GO:0034983","peptidyl-lysine deacetylation",4,1,0.03,0.0282,"Biological Processes",0.25
"140","evm.TU.chromosome_2.644","GO:0070845","polyubiquitinated misfolded protein transport",1,1,0.01,0.0071,"Biological Processes",1
"141","evm.TU.chromosome_2.644","GO:0090035","positive regulation of chaperone-mediated protein c...",3,1,0.02,0.0213,"Biological Processes",0.333333333333333
"142","evm.TU.chromosome_2.644","GO:1901300","positive regulation of hydrogen peroxide-mediated p...",3,1,0.02,0.0213,"Biological Processes",0.333333333333333
"143","evm.TU.chromosome_2.644","GO:0006515","protein quality control for misfolded or incomplete...",14,2,0.1,0.0043,"Biological Processes",0.142857142857143
"144","evm.TU.chromosome_2.644","GO:0090042","tubulin deacetylation",4,1,0.03,0.0282,"Biological Processes",0.25
"145","evm.TU.chromosome_2.1197","GO:0045892","negative regulation of DNA-templated transcription",550,7,3.92,0.0358,"Biological Processes",0.0127272727272727
"146","evm.TU.chromosome_3.1503","GO:0051289","protein homotetramerization",64,3,0.46,0.0108,"Biological Processes",0.046875
"147","evm.TU.chromosome_3.1502","GO:0051289","protein homotetramerization",64,3,0.46,0.0108,"Biological Processes",0.046875
"148","evm.TU.chromosome_3.1747.1.5f168bba","GO:0051289","protein homotetramerization",64,3,0.46,0.0108,"Biological Processes",0.046875
"149","evm.TU.chromosome_3.1745","GO:0051289","protein homotetramerization",64,3,0.46,0.0108,"Biological Processes",0.046875
"150","evm.TU.chromosome_3.1583","GO:0045892","negative regulation of DNA-templated transcription",550,7,3.92,0.0358,"Biological Processes",0.0127272727272727
"151","evm.TU.chromosome_3.782","GO:0048010","vascular endothelial growth factor receptor signali...",45,2,0.32,0.0409,"Biological Processes",0.0444444444444444
"152","evm.TU.chromosome_3.1988","GO:0019376","galactolipid catabolic process",4,1,0.03,0.0282,"Biological Processes",0.25
"153","evm.TU.chromosome_3.969","GO:0007283","spermatogenesis",245,8,1.75,0.0021,"Biological Processes",0.0326530612244898
"154","evm.TU.chromosome_3.750.2.5f15dcc8","GO:0051092","positive regulation of NF-kappaB transcription fact...",104,3,0.74,0.0384,"Biological Processes",0.0288461538461538
"155","evm.TU.chromosome_3.750.2.5f15dcc8","GO:0051289","protein homotetramerization",64,3,0.46,0.0108,"Biological Processes",0.046875
"156","evm.TU.chromosome_3.750","GO:0051092","positive regulation of NF-kappaB transcription fact...",104,3,0.74,0.0384,"Biological Processes",0.0288461538461538
"157","evm.TU.chromosome_3.750.1.5f15dcc7","GO:0051092","positive regulation of NF-kappaB transcription fact...",104,3,0.74,0.0384,"Biological Processes",0.0288461538461538
"158","evm.TU.chromosome_3.1739","GO:0071356","cellular response to tumor necrosis factor",111,3,0.79,0.0192,"Biological Processes",0.027027027027027
"159","evm.TU.chromosome_3.1739","GO:2000379","positive regulation of reactive oxygen species meta...",37,2,0.26,0.0286,"Biological Processes",0.0540540540540541
"160","evm.TU.chromosome_3.946","GO:0006515","protein quality control for misfolded or incomplete...",14,2,0.1,0.0043,"Biological Processes",0.142857142857143
"161","evm.TU.chromosome_3.1116","GO:0051092","positive regulation of NF-kappaB transcription fact...",104,3,0.74,0.0384,"Biological Processes",0.0288461538461538
"162","evm.TU.chromosome_3.1115","GO:0051092","positive regulation of NF-kappaB transcription fact...",104,3,0.74,0.0384,"Biological Processes",0.0288461538461538
"163","evm.TU.chromosome_3.203","GO:0006515","protein quality control for misfolded or incomplete...",14,2,0.1,0.0043,"Biological Processes",0.142857142857143
"164","evm.TU.chromosome_3.1763","GO:0045892","negative regulation of DNA-templated transcription",550,7,3.92,0.0358,"Biological Processes",0.0127272727272727
"165","evm.TU.chromosome_3.1958","GO:0019376","galactolipid catabolic process",4,1,0.03,0.0282,"Biological Processes",0.25
"166","evm.TU.chromosome_3.1959","GO:0019376","galactolipid catabolic process",4,1,0.03,0.0282,"Biological Processes",0.25
"167","evm.TU.chromosome_3.1357","GO:0034587","piRNA processing",19,2,0.14,0.008,"Biological Processes",0.105263157894737
"168","evm.TU.chromosome_3.1357","GO:0007283","spermatogenesis",245,8,1.75,0.0021,"Biological Processes",0.0326530612244898
"169","evm.TU.chromosome_3.180","GO:0034587","piRNA processing",19,2,0.14,0.008,"Biological Processes",0.105263157894737
"170","evm.TU.chromosome_3.180","GO:0007283","spermatogenesis",245,8,1.75,0.0021,"Biological Processes",0.0326530612244898
"171","evm.TU.chromosome_3.1758","GO:0045892","negative regulation of DNA-templated transcription",550,7,3.92,0.0358,"Biological Processes",0.0127272727272727
"172","evm.TU.chromosome_3.1599","GO:0071356","cellular response to tumor necrosis factor",111,3,0.79,0.0192,"Biological Processes",0.027027027027027
"173","evm.TU.chromosome_3.1599","GO:0007283","spermatogenesis",245,8,1.75,0.0021,"Biological Processes",0.0326530612244898
"174","evm.TU.chromosome_3.972","GO:0071479","cellular response to ionizing radiation",59,3,0.42,0.0179,"Biological Processes",0.0508474576271186
"175","evm.TU.chromosome_3.1036","GO:0007283","spermatogenesis",245,8,1.75,0.0021,"Biological Processes",0.0326530612244898
"176","evm.TU.chromosome_3.1307","GO:0045892","negative regulation of DNA-templated transcription",550,7,3.92,0.0358,"Biological Processes",0.0127272727272727
"177","evm.TU.chromosome_3.1307","GO:0045892","negative regulation of DNA-templated transcription",550,7,3.92,0.0358,"Biological Processes",0.0127272727272727
"178","evm.TU.chromosome_3.70","GO:0007017","microtubule-based process",566,7,4.04,0.0226,"Biological Processes",0.0123674911660777
"179","evm.TU.chromosome_3.1444","GO:0051289","protein homotetramerization",64,3,0.46,0.0108,"Biological Processes",0.046875
"180","evm.TU.chromosome_3.1445","GO:0045892","negative regulation of DNA-templated transcription",550,7,3.92,0.0358,"Biological Processes",0.0127272727272727
"181","evm.TU.chromosome_3.1660","GO:0007283","spermatogenesis",245,8,1.75,0.0021,"Biological Processes",0.0326530612244898
"182","evm.TU.chromosome_3.1661","GO:0007283","spermatogenesis",245,8,1.75,0.0021,"Biological Processes",0.0326530612244898
"183","evm.TU.chromosome_3.1559","GO:0007283","spermatogenesis",245,8,1.75,0.0021,"Biological Processes",0.0326530612244898
"184","evm.TU.chromosome_3.1878","GO:0051289","protein homotetramerization",64,3,0.46,0.0108,"Biological Processes",0.046875
"185","evm.TU.chromosome_3.311","GO:0046330","positive regulation of JNK cascade",66,3,0.47,0.0117,"Biological Processes",0.0454545454545455
"186","evm.TU.chromosome_3.1635","GO:0045892","negative regulation of DNA-templated transcription",550,7,3.92,0.0358,"Biological Processes",0.0127272727272727
"187","evm.TU.chromosome_3.465","GO:0006515","protein quality control for misfolded or incomplete...",14,2,0.1,0.0043,"Biological Processes",0.142857142857143
"188","evm.TU.chromosome_3.966","GO:0007283","spermatogenesis",245,8,1.75,0.0021,"Biological Processes",0.0326530612244898
"189","evm.TU.chromosome_3.1722_evm.TU.chromosome_3.1743","GO:0051289","protein homotetramerization",64,3,0.46,0.0108,"Biological Processes",0.046875
"190","evm.TU.chromosome_3.1058","GO:0045892","negative regulation of DNA-templated transcription",550,7,3.92,0.0358,"Biological Processes",0.0127272727272727
"191","evm.TU.chromosome_3.797","GO:0000387","spliceosomal snRNP assembly",35,3,0.25,0.0114,"Biological Processes",0.0857142857142857
"192","evm.TU.chromosome_3.1489","GO:0007283","spermatogenesis",245,8,1.75,0.0021,"Biological Processes",0.0326530612244898
"193","evm.TU.chromosome_3.142","GO:0034587","piRNA processing",19,2,0.14,0.008,"Biological Processes",0.105263157894737
"194","evm.TU.chromosome_3.142","GO:0007283","spermatogenesis",245,8,1.75,0.0021,"Biological Processes",0.0326530612244898
"195","evm.TU.chromosome_3.96","GO:0046330","positive regulation of JNK cascade",66,3,0.47,0.0117,"Biological Processes",0.0454545454545455
"196","evm.TU.chromosome_3.1718","GO:2000379","positive regulation of reactive oxygen species meta...",37,2,0.26,0.0286,"Biological Processes",0.0540540540540541
"197","evm.TU.chromosome_3.1071","GO:0051092","positive regulation of NF-kappaB transcription fact...",104,3,0.74,0.0384,"Biological Processes",0.0288461538461538
"198","evm.TU.chromosome_3.1790","GO:0034587","piRNA processing",19,2,0.14,0.008,"Biological Processes",0.105263157894737
"199","evm.TU.chromosome_3.1790","GO:0007283","spermatogenesis",245,8,1.75,0.0021,"Biological Processes",0.0326530612244898
"200","evm.TU.chromosome_3.1993","GO:0019376","galactolipid catabolic process",4,1,0.03,0.0282,"Biological Processes",0.25
"201","evm.TU.chromosome_4.1883","GO:0046330","positive regulation of JNK cascade",66,3,0.47,0.0117,"Biological Processes",0.0454545454545455
"202","evm.TU.chromosome_4.1883","GO:0051092","positive regulation of NF-kappaB transcription fact...",104,3,0.74,0.0384,"Biological Processes",0.0288461538461538
"203","evm.TU.chromosome_4.764","GO:0051092","positive regulation of NF-kappaB transcription fact...",104,3,0.74,0.0384,"Biological Processes",0.0288461538461538
"204","evm.TU.chromosome_4.767","GO:0007283","spermatogenesis",245,8,1.75,0.0021,"Biological Processes",0.0326530612244898
"205","evm.TU.chromosome_4.2153","GO:0045892","negative regulation of DNA-templated transcription",550,7,3.92,0.0358,"Biological Processes",0.0127272727272727
