"","X","miRNA","mRNA","PCC.cor","p_value","score","energy","query_start_end","subject_start_end","total_bp_shared","query_similar","subject_similar","AST.1065","AST.1147","AST.1412","AST.1560","AST.1567","AST.1617","AST.1722","AST.2000","AST.2007","AST.2302","AST.2360","AST.2398","AST.2404","AST.2412","AST.2512","AST.2523","AST.2563","AST.2729","AST.2755","DEG"
"13",247,"Cluster_2003","evm.TU.chromosome_6.75",-0.337956931430852,0.157023100506956,159,-24.93,"2 21","791 808",19,"78.95%","78.95%",869,3979,915,17,3732,434,1349,158,1828,1321,1104,3365,270,532,288,1001,155,179,113,"Y"
"14",248,"Cluster_3037","evm.TU.chromosome_6.75",-0.198673603353971,0.4148534094029,155,-22.46,"2 17","9 30",16,"81.25%","81.25%",869,3979,915,17,3732,434,1349,158,1828,1321,1104,3365,270,532,288,1001,155,179,113,"Y"
"15",289,"Cluster_1765","evm.TU.chromosome_14.3654",-0.198309740520969,0.415725963042395,171,-21.76,"2 20","604 625",18,"77.78%","88.89%",14,13,55,6,8,28,16,15,119,29,5,4,76,22,7,53,11,55,26,"Y"
"16",300,"Cluster_9205","evm.TU.chromosome_7.2768",-0.0308326569324309,0.900284886865309,159,-20.06,"2 16","88 109",14,"78.57%","92.86%",2709,5,812,39,25,505,125,40,114,316,10,211,79,1764,137,515,1444,21,162,"Y"
"17",309,"Cluster_3406","evm.TU.chromosome_9.2573",-0.0229356586910125,0.925745669154063,158,-20.98,"2 17","469 489",15,"80.00%","93.33%",315,1669,553,8,342,364,661,46,334,541,348,764,238,328,129,370,228,6,9,"Y"
"18",315,"Cluster_8986","evm.TU.chromosome_6.2732",-0.289319376531408,0.22959471511241,160,-20.06,"2 21","870 891",19,"68.42%","78.95%",670,453,407,29,82,354,491,74,468,663,233,317,846,596,110,450,629,64,29,"Y"
"19",319,"Cluster_1452","evm.TU.chromosome_13.1253",-0.192109215949555,0.430745491179909,168,-25.3,"2 21","543 564",19,"68.42%","89.47%",33,0,108,0,0,0,0,51,23,0,31,0,0,39,0,0,0,0,0,"Y"
"20",374,"Cluster_3730","evm.TU.chromosome_2.753",-0.319068541864083,0.183028578555824,159,-20.96,"2 21","675 697",20,"75.00%","75.00%",444,160,283,47,43,230,154,69,214,446,180,101,122,139,56,184,162,25,15,"Y"
"21",385,"Cluster_4646","evm.TU.chromosome_13.3218",0.0223513001460292,0.927632749215623,164,-20.06,"2 21","111 132",19,"73.68%","78.95%",59901,6042,15224,2277,2033,13380,11764,1609,33078,35379,2368,8391,14307,21979,3104,20406,6831,4700,2053,"Y"
"22",456,"Cluster_247","evm.TU.chromosome_14.5759",-0.121779518263351,0.619441012261245,148,-20.83,"2 19","667 690",19,"68.42%","78.95%",11,632,10,0,0,97,614,7,0,735,9,0,35,145,45,19,29,0,0,"Y"
"23",478,"Cluster_8986","evm.TU.chromosome_6.2479",0.227030708297251,0.34993959599339,166,-22.38,"2 21","126 146",19,"73.68%","89.47%",270,375,29,0,64,61,247,7,209,106,29,98,152,221,29,226,152,19,7,"Y"
"24",480,"Cluster_4425","evm.TU.chromosome_13.4146",0.0479538024988602,0.845434751763057,162,-21.85,"2 19","444 465",17,"70.59%","88.24%",13235,7623,8495,869,1642,8018,3947,3812,16348,11812,4771,5355,12977,10365,2452,10256,9017,2770,1876,"Y"
"25",498,"Cluster_1772","evm.TU.chromosome_9.700",-0.250221200140875,0.301511767087874,155,-22.62,"2 12","449 470",10,"100.00%","100.00%",49,9,4,21,0,27,0,0,0,18,31,0,39,54,10,91,72,17,6,"Y"
"26",523,"Cluster_3406","evm.TU.chromosome_3.1209",-0.0256613745311375,0.91694863252785,167,-23.31,"2 20","53 74",18,"77.78%","83.33%",7,27,32,0,0,54,6,7,77,45,48,11,65,48,9,28,88,4,0,"Y"
"27",524,"Cluster_4646","evm.TU.chromosome_3.1209",0.253104760560695,0.295789145190292,168,-20.14,"2 21","722 743",19,"73.68%","84.21%",7,27,32,0,0,54,6,7,77,45,48,11,65,48,9,28,88,4,0,"Y"
"28",605,"Cluster_1663","evm.TU.chromosome_12.3641",0.257791188463504,0.286630607641429,171,-22.61,"2 21","355 377",20,"80.00%","85.00%",19,0,22,0,0,29,0,0,11,13,6,0,4,13,3,2,5,9,0,"Y"
"29",606,"Cluster_9082","evm.TU.chromosome_12.3641",-0.0964424757338664,0.694495780061421,151,-20.79,"2 21","233 255",20,"70.00%","70.00%",19,0,22,0,0,29,0,0,11,13,6,0,4,13,3,2,5,9,0,"Y"
"30",607,"Cluster_4640","evm.TU.chromosome_7.2395",0.823000503472346,1.51023493399505e-05,162,-22.07,"2 20","1 23",20,"75.00%","80.00%",22,499,20,5,266,7,201,7,67,91,37,128,218,80,36,120,41,5,6,"Y"
"31",615,"Cluster_4425","evm.TU.chromosome_13.3114",-0.269955804393536,0.263679735352947,155,-20.33,"2 20","458 476",18,"77.78%","77.78%",204,63,0,0,0,345,133,0,4,0,0,0,11,0,5,0,4,0,25,"Y"
"32",621,"Cluster_1772","evm.TU.chromosome_4.568",0.291939619014223,0.225212600454604,170,-24.01,"2 21","683 703",19,"78.95%","89.47%",105,629,92,14,84,317,466,83,187,106,235,499,145,165,36,212,147,7,23,"Y"
"33",622,"Cluster_4696","evm.TU.chromosome_4.568",0.248433921509216,0.305092109651577,161,-21.25,"2 21","821 842",20,"75.00%","85.00%",105,629,92,14,84,317,466,83,187,106,235,499,145,165,36,212,147,7,23,"Y"
"34",640,"Cluster_8986","evm.TU.chromosome_11.1886",-0.135682158610681,0.579684558951114,173,-24.15,"2 18","631 652",16,"87.50%","93.75%",0,0,3,0,0,62,304,75,1,0,0,3,0,4,0,0,221,5,0,"Y"
"35",659,"Cluster_1453","evm.TU.chromosome_7.2214",0.311062396500694,0.194877712361022,145,-20.85,"2 10","406 427",8,"100.00%","100.00%",35,0,40,0,0,31,14,26,77,31,16,6,130,29,20,27,19,0,3,"Y"
"36",668,"Cluster_508","evm.TU.chromosome_9.1053",-0.151480634453272,0.535882425681058,175,-22.32,"2 21","53 75",20,"85.00%","85.00%",475,694,13,8,93,66,113,5,239,75,18,159,393,248,67,69,65,0,9,"Y"
"37",670,"Cluster_4425","evm.TU.chromosome_10.3273",0.293135081034239,0.223231452011082,146,-20.25,"2 20","350 373",20,"65.00%","70.00%",192,18,0,7,0,222,0,112,37,430,224,16,386,183,0,0,467,80,9,"Y"
"38",672,"Cluster_1663","evm.TU.chromosome_3.322",0.294296221657336,0.221318057487356,160,-20.73,"2 13","313 334",11,"100.00%","100.00%",713,49,461,3,14,364,102,84,749,537,468,64,141,238,33,671,473,79,38,"Y"
"39",695,"Cluster_3406","evm.TU.chromosome_12.2609",0.41568690689545,0.0767206957249395,160,-20.83,"2 18","570 592",17,"82.35%","82.35%",29240,31523,30502,2307,6217,31062,16516,15315,34490,35145,20974,24798,25105,26339,9097,27127,28908,6740,3512,"Y"
"40",704,"Cluster_1453","evm.TU.chromosome_3.1831",-0.118304034702069,0.629545542344293,160,-20.03,"2 21","743 764",19,"68.42%","78.95%",19,0,23,4,2,5,4,8,9,4,9,0,1,224,7,15,9,0,15,"Y"
"41",731,"Cluster_1192","evm.TU.chromosome_12.2957",0.0800059264726296,0.744738609743052,145,-20.01,"2 10","725 746",8,"100.00%","100.00%",138,352,120,4,189,223,640,113,136,200,188,340,139,147,31,106,180,23,0,"Y"
"42",747,"Cluster_9205","evm.TU.chromosome_12.2038",0.331329371610889,0.165839519066669,163,-20.36,"2 20","410 431",18,"72.22%","83.33%",2,373,10,0,20,75,492,11,0,4,34,49,0,16,0,13,0,0,0,"Y"
"43",750,"Cluster_5061","evm.TU.chromosome_7.1450",-0.261233918103489,0.280014756574203,171,-20.69,"2 20","1 19",18,"83.33%","83.33%",225,336,178,171,102,236,161,135,159,192,203,192,622,121,11,366,227,38,48,"Y"
"44",770,"Cluster_492","evm.TU.chromosome_6.1813",-0.343959972007714,0.149320781169924,167,-20.07,"2 20","219 240",18,"77.78%","83.33%",109,194,45,39,35,82,147,12,141,120,89,74,62,74,7,106,45,10,6,"Y"
"45",799,"Cluster_4425","evm.TU.chromosome_10.1317",-0.0349761752121958,0.886961406871448,142,-21.75,"2 20","568 596",25,"60.00%","64.00%",383,241,145,31,94,354,243,123,225,509,208,125,374,246,37,376,342,49,11,"Y"
"46",810,"Cluster_4640","evm.TU.chromosome_7.88",-0.146648940291336,0.549116207325614,163,-20.17,"2 18","729 749",16,"87.50%","87.50%",8,34,33,0,7,2894,49,1224,22,10,25,19,3,59,0,0,0,7,10,"Y"
"47",817,"Cluster_4831","evm.TU.chromosome_14.5787",-0.140313053955428,0.566688379799611,162,-22.87,"2 20","799 821",19,"78.95%","78.95%",0,102,23,0,24,16,555,23,10,124,67,237,15,107,0,123,50,0,0,"Y"
"48",837,"Cluster_9000","evm.TU.chromosome_12.3130",0.00880683127485049,0.971455859046998,161,-22.51,"2 14","486 507",12,"91.67%","100.00%",12334,2446,3488,1026,403,4322,5223,3578,13474,9266,1509,4656,9659,9848,1023,4747,14533,2782,484,"Y"
"49",847,"Cluster_4831","evm.TU.chromosome_9.250",0.146517752738476,0.549477554536224,166,-20.52,"2 21","190 210",19,"78.95%","84.21%",38,517,36,0,24,610,182,720,198,79,230,229,90,192,12,79,130,10,8,"Y"
"50",903,"Cluster_5061","evm.TU.chromosome_7.2820",0.244265758510103,0.313540978754315,171,-22.38,"2 21","595 617",20,"80.00%","85.00%",26,202,13,0,51,58,118,23,0,75,62,71,62,27,0,54,32,0,0,"Y"
"51",909,"Cluster_9000","evm.TU.chromosome_14.831",0.0279196220572599,0.909667263548422,157,-20.65,"2 19","793 815",18,"72.22%","83.33%",469,2766,68,9,1864,381,1273,22,249,296,345,1233,109,175,78,229,416,46,25,"Y"
"52",912,"Cluster_3331","evm.TU.chromosome_5.1754",0.55914218681515,0.0128150197292002,149,-22.7,"2 19","748 773",21,"61.90%","76.19%",265,1651,196,0,383,397,826,81,215,150,211,948,274,199,83,211,143,11,3,"Y"
"53",913,"Cluster_3337","evm.TU.chromosome_5.1754",-0.440450729437671,0.0591136582954602,149,-22.7,"2 19","748 773",21,"61.90%","76.19%",265,1651,196,0,383,397,826,81,215,150,211,948,274,199,83,211,143,11,3,"Y"
"54",914,"Cluster_3338","evm.TU.chromosome_5.1754",-0.445046704821506,0.0562130574018707,149,-22.7,"2 19","748 773",21,"61.90%","76.19%",265,1651,196,0,383,397,826,81,215,150,211,948,274,199,83,211,143,11,3,"Y"
"55",915,"Cluster_2097","evm.TU.chromosome_5.513",0.487277975514022,0.0343374914896553,179,-28.1,"2 21","167 190",21,"80.95%","90.48%",4179,18635,1237,305,5845,4975,7908,428,4283,3496,4329,13534,5313,3802,1140,3997,3013,377,926,"Y"
"56",931,"Cluster_508","evm.TU.chromosome_4.1628",-0.32027094054564,0.181291905548844,157,-20.79,"2 17","580 601",16,"87.50%","87.50%",2,123,130,4,73,73,192,3,7,47,199,51,43,246,56,66,43,0,4,"Y"
"57",932,"Cluster_1192","evm.TU.chromosome_4.1628",-0.0276419334161393,0.910562267204737,152,-21.78,"2 13","8 29",11,"81.82%","100.00%",2,123,130,4,73,73,192,3,7,47,199,51,43,246,56,66,43,0,4,"Y"
"58",933,"Cluster_3889","evm.TU.chromosome_4.1628",-0.126317280978402,0.606345961651908,160,-24.89,"2 20","891 909",18,"77.78%","83.33%",2,123,130,4,73,73,192,3,7,47,199,51,43,246,56,66,43,0,4,"Y"
"59",939,"Cluster_4425","evm.TU.chromosome_4.452",0.231729311824429,0.339784204261023,158,-26.12,"2 21","517 542",23,"73.91%","73.91%",341,2414,346,52,1126,1013,2307,269,469,1059,579,1674,392,340,127,463,581,134,93,"Y"
"60",945,"Cluster_2003","evm.TU.chromosome_4.1368",-0.192959508860656,0.42866908601855,154,-21.63,"2 15","675 696",13,"84.62%","84.62%",4,0,6,0,0,20,2,63,4,4,0,2,16,5,0,0,14,0,0,"Y"
"61",946,"Cluster_3037","evm.TU.chromosome_4.1369",-0.42400860271263,0.0704196566266524,146,-22.35,"2 20","408 435",25,"60.00%","68.00%",580,2032,210,44,196,838,1695,190,364,325,311,898,389,359,59,300,395,36,42,"Y"
"62",980,"Cluster_9000","evm.TU.chromosome_4.559",0.355972181679248,0.134702970566909,169,-20.16,"2 20","461 484",20,"80.00%","90.00%",137,510,89,8,133,315,472,129,149,263,120,407,72,87,24,151,114,53,56,"Y"
"63",990,"Cluster_3331","evm.TU.chromosome_5.1840",-0.0707396587559314,0.773519717081329,149,-21.61,"2 20","122 145",20,"65.00%","80.00%",0,0,0,0,0,214,27,375,0,0,0,0,0,21,11,0,0,6,0,"Y"
"64",991,"Cluster_3337","evm.TU.chromosome_5.1840",0.355541998683018,0.135208412520864,149,-21.61,"2 20","122 145",20,"65.00%","80.00%",0,0,0,0,0,214,27,375,0,0,0,0,0,21,11,0,0,6,0,"Y"
"65",992,"Cluster_3338","evm.TU.chromosome_5.1840",0.38945758640681,0.0993142977316182,149,-21.61,"2 20","122 145",20,"65.00%","80.00%",0,0,0,0,0,214,27,375,0,0,0,0,0,21,11,0,0,6,0,"Y"
"66",1022,"Cluster_4646","evm.TU.chromosome_7.1288",-0.36056269147683,0.129391758142176,156,-20.2,"2 20","399 418",18,"72.22%","83.33%",249,289,18,15,27,7,62,4,28,75,14,55,49,254,36,53,341,19,0,"Y"
"67",1032,"Cluster_998","evm.TU.chromosome_6.2794",0.328770498338339,0.169332203184284,162,-20.96,"2 20","754 776",20,"75.00%","80.00%",13,4,4,0,0,124,11,229,0,0,0,0,16,12,0,0,0,0,0,"Y"
"68",1041,"Cluster_4646","evm.TU.chromosome_12.3227",-0.0440795089985425,0.857796090173092,174,-26.74,"2 20","198 220",19,"78.95%","94.74%",15499,6837,31971,2496,973,8159,16083,31017,19802,16466,12959,11280,9588,17311,1356,15683,16847,3328,1478,"Y"
"69",1042,"Cluster_2972","evm.TU.chromosome_12.3221",0.0521741871311529,0.832008501944505,155,-23.16,"2 12","892 913",10,"100.00%","100.00%",128,252,125,7,24,180,85,284,173,117,133,85,183,123,109,76,62,26,32,"Y"
"70",1044,"Cluster_3889","evm.TU.chromosome_3.1068",0.238859280106292,0.324705939345809,159,-20.08,"2 20","121 141",18,"72.22%","77.78%",2560,1944,1252,142,361,1089,1088,222,1969,3759,780,1054,2183,1604,157,2010,1429,212,135,"Y"
"71",1069,"Cluster_3293","evm.TU.chromosome_9.1182",-0.202362158233182,0.406063864013815,159,-20.63,"2 20","867 887",18,"72.22%","77.78%",347,33,344,70,12,137,123,11,316,329,419,75,373,130,124,973,167,10,6,"Y"
"72",1104,"Cluster_8986","evm.TU.chromosome_9.2166",-0.327625969563051,0.170910500241634,151,-20.43,"2 21","865 883",19,"73.68%","78.95%",477,164,622,39,45,292,323,140,324,425,177,59,173,237,50,283,326,121,27,"Y"
"73",1105,"Cluster_5061","evm.TU.chromosome_9.2169",-0.355590604741628,0.135151236429834,164,-20.29,"2 21","177 200",22,"81.82%","81.82%",974,230,240,6,63,502,147,50,551,797,258,84,433,596,49,526,509,66,25,"Y"
"74",1106,"Cluster_1452","evm.TU.chromosome_10.1344",-0.200220801806513,0.411154185813521,165,-24.3,"2 19","559 582",19,"78.95%","84.21%",3022,3990,18088,923,1119,10634,970,15155,3673,3268,7050,5172,4690,8952,807,9805,3202,390,760,"Y"
"75",1133,"Cluster_137","evm.TU.chromosome_13.3310",-0.0378055540718302,0.877879979609803,154,-23.21,"2 21","827 855",26,"69.23%","69.23%",97,22,130,14,0,156,24,61,281,152,89,12,73,105,0,0,82,51,57,"Y"
"76",1140,"Cluster_1192","evm.TU.chromosome_11.534",-0.0662245355923341,0.787649461543253,160,-26.39,"2 21","480 501",19,"57.89%","89.47%",1327,319,1793,297,136,634,414,2027,1508,1125,975,649,1307,863,43,582,870,413,195,"Y"
"77",1150,"Cluster_5061","evm.TU.chromosome_13.1272",0.214442282752205,0.377996180901799,176,-22.34,"2 18","121 143",17,"94.12%","94.12%",973,4149,354,53,455,1830,2127,203,1098,833,662,2055,1646,727,207,907,1079,91,65,"Y"
"78",1164,"Cluster_1452","evm.TU.chromosome_8.2205",0.0114845860802491,0.96278194586738,158,-22.16,"2 21","620 640",19,"73.68%","78.95%",264,129,478,19,29,379,114,225,292,224,121,136,230,416,80,221,525,118,54,"Y"
"79",1179,"Cluster_2003","evm.TU.chromosome_6.759",0.169053976938668,0.489020221554395,166,-23.86,"2 21","780 800",19,"78.95%","84.21%",981,65,123,0,10,435,187,42,688,296,197,96,685,460,140,551,575,44,66,"Y"
"80",1180,"Cluster_4425","evm.TU.chromosome_6.757",-0.222414762858797,0.360084583246578,147,-24.14,"2 21","574 600",24,"62.50%","66.67%",310,44,212,0,24,721,44,0,113,0,160,0,27,0,22,2,17,0,0,"Y"
"81",1189,"Cluster_3331","evm.TU.chromosome_14.6208",-0.171005152580091,0.48394420351456,147,-20.24,"2 17","178 201",17,"70.59%","76.47%",139,4,143,0,0,77,36,35,46,137,34,13,32,50,0,53,25,37,4,"Y"
"82",1190,"Cluster_3337","evm.TU.chromosome_14.6208",0.162349551227628,0.506658288683506,147,-20.24,"2 17","178 201",17,"70.59%","76.47%",139,4,143,0,0,77,36,35,46,137,34,13,32,50,0,53,25,37,4,"Y"
"83",1191,"Cluster_3338","evm.TU.chromosome_14.6208",0.146847905016049,0.548568375865792,147,-20.24,"2 17","178 201",17,"70.59%","76.47%",139,4,143,0,0,77,36,35,46,137,34,13,32,50,0,53,25,37,4,"Y"
"84",1216,"Cluster_1411","evm.TU.chromosome_13.2149",-0.144158400228983,0.555994343259059,168,-23.8,"2 21","465 486",19,"73.68%","84.21%",809,54,0,0,0,20,25,0,29,33,9,0,115,35,0,20,83,16,34,"Y"
"85",1263,"Cluster_3037","evm.TU.chromosome_13.2488",-0.341494948459656,0.152451212176866,165,-20.68,"2 20","915 934",18,"83.33%","83.33%",302,3689,559,53,2132,177,1200,40,327,399,1238,1584,356,241,499,67,229,13,0,"Y"
"86",1282,"Cluster_9205","evm.TU.chromosome_14.5774",-0.0321931585541967,0.895907208476901,158,-20.85,"2 21","634 654",19,"73.68%","78.95%",291,0,255,3,0,120,15,32,343,208,108,25,52,201,22,192,109,17,9,"Y"
"87",1283,"Cluster_2972","evm.TU.chromosome_14.5489",-0.00680817422597972,0.977932057472894,167,-23.18,"2 21","892 914",20,"80.00%","80.00%",8797,7989,4975,358,1448,4931,6012,1397,13827,10896,6114,6781,13541,11277,1136,23579,11030,1267,951,"Y"
"88",1284,"Cluster_3406","evm.TU.chromosome_14.5489",-0.293974052772018,0.221847872247546,151,-20.05,"2 21","932 956",22,"59.09%","77.27%",8797,7989,4975,358,1448,4931,6012,1397,13827,10896,6114,6781,13541,11277,1136,23579,11030,1267,951,"Y"
"89",1290,"Cluster_8986","evm.TU.chromosome_12.3587",0.653876430696345,0.00239199445244772,164,-22.26,"2 19","224 244",17,"82.35%","88.24%",1898,5963,1064,56,1466,2613,3499,525,1907,2459,1746,3170,1637,2317,471,1897,1477,173,160,"Y"
"90",1303,"Cluster_4696","evm.TU.chromosome_7.2558",-0.0632137115267801,0.797107321243983,161,-22.06,"2 14","240 261",12,"91.67%","100.00%",515,230,295,7,84,401,289,285,178,249,227,267,445,255,45,301,161,51,61,"Y"
"91",1317,"Cluster_1453","evm.TU.chromosome_13.4161",0.15520481080721,0.525782823057394,154,-20.97,"2 21","433 450",19,"78.95%","78.95%",60,22,245,0,10,179,10,67,95,279,101,18,109,72,61,126,113,58,5,"Y"
"92",1318,"Cluster_4425","evm.TU.chromosome_13.4166",-0.275704654572297,0.253246712238153,161,-24.09,"2 19","558 584",22,"72.73%","77.27%",93,46,95,0,1,382,68,76,80,70,183,34,54,315,5,116,52,1,10,"Y"
"93",1319,"Cluster_4806","evm.TU.chromosome_13.4166",-0.0413962326372265,0.866376147413344,165,-21.35,"2 20","663 687",21,"76.19%","85.71%",93,46,95,0,1,382,68,76,80,70,183,34,54,315,5,116,52,1,10,"Y"
"94",1362,"Cluster_4044","evm.TU.chromosome_7.266",0.00661003299307105,0.978574167926085,175,-21.41,"2 21","709 731",20,"85.00%","85.00%",299,198,62,0,27,1742,151,820,215,202,127,116,187,279,47,136,175,12,0,"Y"
"95",1382,"Cluster_1772","evm.TU.chromosome_14.5312",0.477945047847621,0.0384795974335558,151,-20.55,"2 21","544 569",23,"65.22%","69.57%",54,251,68,0,91,104,387,19,48,80,130,139,210,35,31,14,104,0,0,"Y"
"96",1389,"Cluster_1453","evm.TU.chromosome_5.1708",-0.296297002496897,0.218046170971026,157,-24.41,"2 20","553 578",22,"68.18%","81.82%",270,613,138,30,447,411,354,101,213,337,400,770,300,210,122,269,341,18,14,"Y"
"97",1414,"Cluster_3889","evm.TU.chromosome_6.2148",-0.0341841395520657,0.889506061316517,158,-22.01,"2 19","503 523",17,"76.47%","76.47%",14,6,156,7,1,23,9,11,0,20,22,5,29,4,0,3,46,9,6,"Y"
"98",1431,"Cluster_4425","evm.TU.chromosome_1.1641",-0.4329197497648,0.0641084563175094,146,-21.63,"2 20","302 319",18,"66.67%","77.78%",2475,1869,1299,110,329,2049,1332,482,2872,3126,1380,2336,1369,1885,326,2551,1854,282,368,"Y"
"99",1513,"Cluster_996","evm.TU.chromosome_6.1434",-0.406824012364499,0.0838803703843572,166,-20.12,"2 20","841 863",20,"80.00%","80.00%",41,0,0,63,0,181,0,0,18,0,321,0,43,342,23,14,13,0,0,"Y"
"100",1516,"Cluster_2151","evm.TU.chromosome_14.5159",-0.212240569823285,0.383029001742976,147,-21.53,"2 19","938 957",17,"70.59%","76.47%",162,194,278,16,11,310,53,38,281,345,94,41,193,310,22,233,84,25,25,"Y"
"101",1531,"Cluster_8986","evm.TU.chromosome_10.2297",-0.346056584986683,0.146693499935275,176,-20.52,"2 21","941 962",19,"84.21%","84.21%",152,0,0,0,0,7,14,0,41,59,0,7,47,35,4,55,77,6,15,"Y"
"102",1560,"Cluster_1473","evm.TU.chromosome_9.2739",0.0788015426461727,0.748462050910303,166,-24.04,"2 21","161 186",23,"73.91%","82.61%",4285,1555,8205,1016,544,2924,3126,3247,3256,4151,1796,711,1268,2708,862,2469,4205,1320,141,"Y"
"103",1592,"Cluster_8986","evm.TU.chromosome_11.2336",0.443136940529954,0.0574049798932981,174,-21.77,"2 21","129 149",19,"84.21%","89.47%",296,1448,329,38,267,708,1369,165,699,731,337,1093,369,415,67,461,300,23,43,"Y"
"104",1609,"Cluster_1452","evm.TU.chromosome_10.16",0.10150927222814,0.679239692488818,169,-24.76,"2 18","83 104",16,"87.50%","87.50%",336,1250,134,0,202,260,475,59,321,419,216,609,177,236,25,270,156,28,24,"Y"
"105",1628,"Cluster_2003","evm.TU.chromosome_4.211",0.291537213514513,0.225882033872665,148,-20.75,"2 21","726 747",19,"57.89%","73.68%",95,11,263,8,0,405,40,10,79,314,109,11,139,98,74,327,175,30,0,"Y"
"106",1631,"Cluster_2097","evm.TU.chromosome_3.81",-0.341467925998284,0.152485778372228,174,-22.17,"2 19","673 694",17,"82.35%","94.12%",39,18,21,4,0,6,10,2,85,30,12,13,30,83,2,20,48,9,11,"Y"
"107",1656,"Cluster_6059","evm.TU.chromosome_5.2302",-0.3805856836323,0.10794811609793,162,-20.38,"2 15","867 888",13,"84.62%","100.00%",39966,17697,26201,5990,4795,20168,19553,26292,25878,26212,14921,17307,30109,26733,6825,27726,28124,9557,2176,"Y"
"108",1659,"Cluster_3331","evm.TU.chromosome_1.1077",-0.344633867602555,0.148472787844937,155,-20.14,"2 21","49 72",21,"71.43%","71.43%",1896,678,237,26,18,289,269,432,510,663,250,53,2487,1003,233,319,691,97,313,"Y"
"109",1660,"Cluster_3337","evm.TU.chromosome_1.1077",0.293920941581337,0.22193529408549,155,-20.14,"2 21","49 72",21,"71.43%","71.43%",1896,678,237,26,18,289,269,432,510,663,250,53,2487,1003,233,319,691,97,313,"Y"
"110",1661,"Cluster_3338","evm.TU.chromosome_1.1077",0.307684192475535,0.200027271151999,155,-20.14,"2 21","49 72",21,"71.43%","71.43%",1896,678,237,26,18,289,269,432,510,663,250,53,2487,1003,233,319,691,97,313,"Y"
"111",1672,"Cluster_3293","evm.TU.chromosome_10.346",-0.401181879518241,0.0886869004428797,166,-23.15,"2 20","131 152",19,"73.68%","89.47%",293,967,158,20,141,270,448,43,222,285,254,516,303,374,71,257,344,18,21,"Y"
