"","miRNA","mRNA","PCC.cor","p_value","adjusted_p_value","score","energy","start","end","subject_start_end","total_bp_shared","query_similar","subject_similar","interaction_length","binding_type"
"13","Cluster_2097","evm.TU.chromosome_8.384",0.292436198319685,0.707563801680315,0.973936799682784,161,-21.89,2,19,"21080 21102",18,"77.78%","83.33%",17,"CDS"
"14","Cluster_2097","evm.TU.chromosome_8.384",0.292436198319685,0.707563801680315,0.973936799682784,167,-20.28,2,16,"31903 31924",14,"92.86%","92.86%",14,"CDS"
"15","Cluster_3331","evm.TU.chromosome_8.384",-0.45109647686209,0.54890352313791,0.956986799752716,160,-23.97,2,21,"22343 22364",19,"68.42%","78.95%",19,"CDS"
"16","Cluster_3337","evm.TU.chromosome_8.384",0.671384376545669,0.328615623454331,0.924604859064779,160,-23.97,2,21,"22343 22364",19,"68.42%","78.95%",19,"CDS"
"17","Cluster_3338","evm.TU.chromosome_8.384",0.671384376545669,0.328615623454331,0.924604859064779,160,-23.97,2,21,"22343 22364",19,"68.42%","78.95%",19,"CDS"
"18","Cluster_4696","evm.TU.chromosome_8.384",0.538986579531407,0.461013420468593,0.94556039591934,165,-23.77,2,20,"13775 13795",18,"77.78%","88.89%",18,"CDS"
"19","Cluster_9000","evm.TU.chromosome_8.384",-0.808418569372296,0.191581430627704,0.906082978637668,163,-20.03,2,21,"23620 23642",20,"70.00%","85.00%",19,"CDS"
"20","Cluster_2097","evm.TU.chromosome_8.2624",0.12167243533393,0.87832756466607,0.989552945469842,163,-21.19,2,21,"216 238",20,"70.00%","85.00%",19,"CDS"
"21","Cluster_4646","evm.TU.chromosome_8.2627",0.960066515328208,0.0399334846717916,0.876124813393388,158,-21.68,2,20,"797 820",20,"70.00%","80.00%",18,"CDS"
"22","Cluster_4640","evm.TU.chromosome_5.2396",-0.245109474024316,0.754890525975684,0.978911417627921,181,-26.47,2,18,"1519 1540",16,"93.75%","100.00%",16,"CDS"
"23","Cluster_3331","evm.TU.chromosome_5.2393",-0.900782594230635,0.0992174057693652,0.897154182915706,169,-21.95,2,19,"373 395",18,"83.33%","88.89%",17,"3'UTR"
"24","Cluster_3337","evm.TU.chromosome_5.2393",0.969131323205775,0.0308686767942254,0.87172503161993,169,-21.95,2,19,"373 395",18,"83.33%","88.89%",17,"3'UTR"
"25","Cluster_3338","evm.TU.chromosome_5.2393",0.969131323205775,0.0308686767942254,0.87172503161993,169,-21.95,2,19,"373 395",18,"83.33%","88.89%",17,"3'UTR"
"26","Cluster_3406","evm.TU.chromosome_5.2393",0.537289651166261,0.462710348833739,0.94571521979968,154,-24.57,2,21,"1153 1173",19,"68.42%","78.95%",19,"CDS"
"27","Cluster_2097","evm.TU.chromosome_10.192",0.0873452583265673,0.912654741673433,0.993198645177488,153,-24.38,2,21,"143 171",26,"69.23%","73.08%",19,"CDS"
"28","Cluster_1452","evm.TU.chromosome_10.194",-0.259052880910112,0.740947119089888,0.977202099540538,157,-21.53,2,21,"978 1000",21,"76.19%","76.19%",19,"CDS"
"29","Cluster_2073","evm.TU.chromosome_10.194",-0.549568814918134,0.450431185081866,0.944893566928626,158,-21.35,2,20,"220 242",19,"63.16%","89.47%",18,"CDS"
"30","Cluster_1452","evm.TU.chromosome_8.969",0.795085176638435,0.204914823361564,0.906247607922751,149,-20.95,2,18,"405 426",16,"68.75%","75.00%",16,"CDS"
"31","Cluster_1452","evm.TU.chromosome_8.964",-0.702030384598721,0.297969615401279,0.91911938194618,151,-21.99,2,21,"386 411",23,"65.22%","69.57%",19,"CDS"
"32","Cluster_3889","evm.TU.chromosome_8.964",-0.11317647096886,0.88682352903114,0.990444408552647,166,-24.23,2,19,"596 616",17,"76.47%","88.24%",17,"CDS"
"33","Cluster_860","evm.TU.chromosome_8.962",0.812004148106292,0.187995851893708,0.905494633515401,152,-20.58,2,21,"238 259",19,"63.16%","73.68%",19,"CDS"
"34","Cluster_492","evm.TU.chromosome_9.2637",-0.685959903124066,0.314040096875933,0.921942199891745,167,-21.76,2,20,"1948 1969",18,"72.22%","88.89%",18,"CDS"
"35","Cluster_4646","evm.TU.chromosome_9.2637",-0.526490783598263,0.473509216401737,0.946916754673972,151,-21.74,2,21,"3163 3188",23,"60.87%","73.91%",19,"CDS"
"36","Cluster_3331","evm.TU.chromosome_6.1096",-0.419968697282068,0.580031302717932,0.960172594939831,159,-22.51,2,21,"139 161",20,"70.00%","80.00%",19,"CDS"
"37","Cluster_3337","evm.TU.chromosome_6.1096",0.70891441876293,0.29108558123707,0.91824683264548,159,-22.51,2,21,"139 161",20,"70.00%","80.00%",19,"CDS"
"38","Cluster_3338","evm.TU.chromosome_6.1096",0.70891441876293,0.29108558123707,0.91824683264548,159,-22.51,2,21,"139 161",20,"70.00%","80.00%",19,"CDS"
"39","Cluster_3406","evm.TU.chromosome_8.382",0.940927496473564,0.0590725035264355,0.882771094584315,149,-22.17,2,17,"3045 3066",16,"75.00%","87.50%",15,"CDS"
"40","Cluster_4044","evm.TU.chromosome_8.382",-0.0224616303086344,0.977538369691366,0.999454293849437,170,-22.36,2,20,"3739 3761",19,"78.95%","89.47%",18,"CDS"
"41","Cluster_4425","evm.TU.chromosome_8.382",0.176206504391831,0.823793495608169,0.985325015779305,154,-20.24,2,20,"3696 3718",19,"68.42%","78.95%",18,"CDS"
"42","Cluster_1453","evm.TU.chromosome_11.3101",0.957972774292376,0.0420272257076236,0.876980974522737,147,-20.57,2,21,"1244 1268",22,"63.64%","68.18%",19,"CDS"
"43","Cluster_9082","evm.TU.chromosome_11.3102",-0.643296599493677,0.356703400506323,0.930192927695532,164,-20.14,2,19,"1784 1804",17,"82.35%","88.24%",17,"CDS"
"44","Cluster_9082","evm.TU.chromosome_11.3102",-0.643296599493677,0.356703400506323,0.930192927695532,164,-20.14,2,19,"392 412",17,"82.35%","88.24%",17,"CDS"
"45","Cluster_1453","evm.TU.chromosome_13.1603",0.868222859734316,0.131777140265684,0.898703571176249,166,-20.44,2,20,"712 734",19,"73.68%","89.47%",18,"3'UTR"
"46","Cluster_1473","evm.TU.chromosome_13.1605",0.743035350165288,0.256964649834712,0.915422789175048,157,-22.5,2,21,"37 59",21,"71.43%","80.95%",19,"CDS"
"47","Cluster_3889","evm.TU.chromosome_14.1867",-0.87669871498588,0.12330128501412,0.898703571176249,162,-20.61,2,19,"2231 2251",17,"76.47%","82.35%",17,"CDS"
"48","Cluster_1453","evm.TU.chromosome_12.2251",0.8887841271991,0.1112158728009,0.898703571176249,159,-22.7,2,21,"831 853",20,"70.00%","80.00%",19,"CDS"
"49","Cluster_998","evm.TU.chromosome_12.2256",-0.940128211899747,0.0598717881002525,0.882982522357041,166,-23.38,2,20,"1598 1619",19,"73.68%","89.47%",18,"CDS"
"50","Cluster_492","evm.TU.chromosome_12.2255",-0.155558035389568,0.844441964610432,0.986994588985748,163,-22.67,2,21,"1659 1681",20,"70.00%","85.00%",19,"CDS"
"51","Cluster_492","evm.TU.chromosome_6.709",0.956858967535122,0.0431410324648779,0.877386744076596,164,-22.72,2,20,"1204 1223",18,"77.78%","88.89%",18,"CDS"
"52","Cluster_1192","evm.TU.chromosome_3.1852",0.907102581049772,0.0928974189502277,0.893976394386286,159,-20.28,2,21,"649 671",20,"70.00%","80.00%",19,"CDS"
"53","Cluster_3331","evm.TU.chromosome_3.1852",-0.423398170557613,0.576601829442387,0.959675012230367,162,-20.83,2,20,"298 320",19,"73.68%","84.21%",18,"CDS"
"54","Cluster_3337","evm.TU.chromosome_3.1852",0.443695827623573,0.556304172376427,0.957545614864059,162,-20.83,2,20,"298 320",19,"73.68%","84.21%",18,"CDS"
"55","Cluster_3338","evm.TU.chromosome_3.1852",0.443695827623573,0.556304172376427,0.957545614864059,162,-20.83,2,20,"298 320",19,"73.68%","84.21%",18,"CDS"
"56","Cluster_4831","evm.TU.chromosome_3.1851",-0.677402921037616,0.322597078962384,0.923551404800093,163,-21.62,2,16,"434 455",14,"85.71%","92.86%",14,"CDS"
"57","Cluster_1663","evm.TU.chromosome_14.5968_evm.TU.chromosome_14.5971",0.356966017687916,0.643033982312084,0.967711748254213,172,-21.8,2,20,"671 692",19,"89.47%","89.47%",18,"3'UTR"
"58","Cluster_137","evm.TU.chromosome_5.1576",-0.991851190176985,0.00814880982301494,0.84511111836894,152,-20.25,2,17,"822 843",15,"73.33%","80.00%",15,"CDS"
"59","Cluster_2097","evm.TU.chromosome_5.1575",-0.539456535178502,0.460543464821498,0.94546835662311,174,-23.58,2,21,"1122 1142",19,"84.21%","89.47%",19,"CDS"
"60","Cluster_3331","evm.TU.chromosome_5.1575",0.85776226460939,0.14223773539061,0.898703571176249,151,-23.28,2,21,"698 720",20,"70.00%","70.00%",19,"3'UTR"
"61","Cluster_3337","evm.TU.chromosome_5.1575",-0.743858141209808,0.256141858790192,0.915422789175048,151,-23.28,2,21,"698 720",20,"70.00%","70.00%",19,"3'UTR"
"62","Cluster_3338","evm.TU.chromosome_5.1575",-0.743858141209808,0.256141858790192,0.915422789175048,151,-23.28,2,21,"698 720",20,"70.00%","70.00%",19,"3'UTR"
"63","Cluster_1192","evm.TU.chromosome_3.1278",-0.679470446963055,0.320529553036945,0.923291305603803,165,-21.58,2,18,"858 879",16,"81.25%","87.50%",16,"3'UTR"
"64","Cluster_4425","evm.TU.chromosome_3.1277",-0.60329917163885,0.39670082836115,0.937260163344583,158,-22.6,2,21,"1143 1163",19,"73.68%","78.95%",19,"CDS"
"65","Cluster_4831","evm.TU.chromosome_3.1276",-0.773372684816169,0.226627315183831,0.910149157071485,150,-20.57,2,21,"670 690",19,"68.42%","73.68%",19,"CDS"
"66","Cluster_2972","evm.TU.chromosome_6.2010",-0.498180867564434,0.501819132435566,0.950546495472453,171,-21.58,2,21,"715 738",21,"80.95%","80.95%",19,"3'UTR"
"67","Cluster_2972","evm.TU.chromosome_6.2014",0.742818248050202,0.257181751949798,0.915422789175048,168,-25.96,2,21,"844 862",19,"84.21%","84.21%",19,"3'UTR"
"68","Cluster_4754","evm.TU.chromosome_7.2063",0.933706658331591,0.0662933416684086,0.882982522357041,162,-22.8,2,21,"376 396",19,"78.95%","78.95%",19,"CDS"
"69","Cluster_8986","evm.TU.chromosome_7.2062",-0.251905471174488,0.748094528825513,0.978014857832021,156,-20.18,2,21,"299 318",19,"78.95%","78.95%",19,"3'UTR"
"70","Cluster_492","evm.TU.chromosome_7.2061",0.187647186849491,0.812352813150509,0.984049669507688,171,-26.77,2,21,"487 509",20,"75.00%","90.00%",19,"CDS"
"71","Cluster_1473","evm.TU.chromosome_7.2065",-0.427780746022448,0.572219253977552,0.958979592850915,166,-24.48,2,15,"426 447",13,"92.31%","100.00%",13,"CDS"
"72","Cluster_9000","evm.TU.chromosome_5.2179",-0.711346998666309,0.288653001333691,0.917694871417096,166,-20.87,2,19,"279 300",17,"76.47%","88.24%",17,"3'UTR"
"73","Cluster_4044","evm.TU.chromosome_5.2175",0.508628581372432,0.491371418627568,0.94886216908148,170,-24.58,2,15,"401 422",13,"100.00%","100.00%",13,"CDS"
"74","Cluster_137","evm.TU.chromosome_5.2173",-0.0816855148011472,0.918314485198853,0.993889150131528,169,-23.6,2,20,"309 329",18,"83.33%","88.89%",18,"CDS"
"75","Cluster_1453","evm.TU.chromosome_2.1945",-0.40102189157116,0.59897810842884,0.962423861271073,149,-23.16,2,20,"993 1020",24,"66.67%","70.83%",18,"CDS"
"76","Cluster_4646","evm.TU.chromosome_2.1945",-0.368753896621566,0.631246103378434,0.966444568104719,158,-20.52,2,17,"72 92",15,"86.67%","86.67%",15,"3'UTR"
"77","Cluster_4425","evm.TU.chromosome_3.1503",-0.566634912882703,0.433365087117297,0.942488119997529,154,-20.9,2,21,"1319 1339",19,"63.16%","84.21%",19,"CDS"
"78","Cluster_4831","evm.TU.chromosome_3.1503",0.850248468074299,0.149751531925701,0.898703571176249,160,-26.21,2,20,"1011 1030",18,"72.22%","88.89%",18,"CDS"
"79","Cluster_4831","evm.TU.chromosome_3.1502",0.95008824226513,0.0499117577348695,0.879793700539312,159,-22.63,2,16,"981 1002",14,"78.57%","92.86%",14,"CDS"
"80","Cluster_4425","evm.TU.chromosome_12.1197",-0.435585286318035,0.564414713681965,0.957758736191298,157,-20.03,2,18,"1912 1933",16,"75.00%","81.25%",16,"CDS"
"81","Cluster_3406","evm.TU.chromosome_12.1193",0.247716414468764,0.752283585531236,0.978754532310375,155,-20.47,2,21,"42 60",19,"73.68%","84.21%",19,"CDS"
"82","Cluster_1453","evm.TU.chromosome_12.1192",0.154393069222372,0.845606930777628,0.987151088152187,163,-24.8,2,20,"4392 4413",18,"72.22%","83.33%",18,"CDS"
"83","Cluster_4806","evm.TU.chromosome_12.1199",-0.585784731521572,0.414215268478428,0.940402254906099,170,-22.94,2,20,"681 703",19,"84.21%","84.21%",18,"CDS"
"84","Cluster_3293","evm.TU.chromosome_9.966",0.412545297284003,0.587454702715997,0.961161530454366,162,-20.63,2,19,"1148 1168",17,"76.47%","82.35%",17,"CDS"
"85","Cluster_998","evm.TU.chromosome_9.965",0.826943925685532,0.173056074314468,0.903617208372721,153,-21.72,2,20,"620 639",18,"66.67%","83.33%",18,"CDS"
"86","Cluster_1192","evm.TU.chromosome_9.965",-0.144142289799486,0.855857710200514,0.988196691872015,166,-23.35,2,19,"150 171",17,"76.47%","88.24%",17,"CDS"
"87","Cluster_1453","evm.TU.chromosome_9.965",0.432429589499795,0.567570410500205,0.958177631454884,157,-22.24,2,18,"958 979",16,"62.50%","93.75%",16,"CDS"
"88","Cluster_508","evm.TU.chromosome_9.964",0.551619916853202,0.448380083146798,0.944592585651283,167,-26.21,2,20,"3804 3825",18,"72.22%","88.89%",18,"CDS"
"89","Cluster_3293","evm.TU.chromosome_9.963",0.5298699022657,0.4701300977343,0.946645102083525,154,-20.01,2,19,"3707 3727",17,"70.59%","76.47%",17,"CDS"
"90","Cluster_1192","evm.TU.chromosome_9.961",-0.956231824797974,0.0437681752020258,0.877712167340013,162,-20.74,2,21,"40 63",21,"76.19%","80.95%",19,"3'UTR"
"91","Cluster_1473","evm.TU.chromosome_9.969",0.110959218813761,0.889040781186239,0.990724442006402,168,-24.8,2,21,"158 179",19,"73.68%","84.21%",19,"3'UTR"
"92","Cluster_4831","evm.TU.chromosome_12.4018",-0.932135656340776,0.0678643436592237,0.883620279315878,165,-23.11,2,21,"51 72",20,"80.00%","85.00%",19,"CDS"
"93","Cluster_492","evm.TU.chromosome_12.4017",-0.727953474860611,0.272046525139389,0.915636567012551,156,-20.18,2,17,"109 130",15,"80.00%","80.00%",15,"CDS"
"94","Cluster_4696","evm.TU.chromosome_10.3126",-0.98269618739555,0.01730381260445,0.863051068317364,162,-21.37,2,20,"471 494",20,"75.00%","80.00%",18,"CDS"
"95","Cluster_4425","evm.TU.chromosome_10.3127",0.419240549405673,0.580759450594327,0.960307371006044,161,-22.27,2,19,"3318 3340",18,"77.78%","83.33%",17,"CDS"
"96","Cluster_9000","evm.TU.chromosome_10.3127",-0.356473969729198,0.643526030270802,0.967711748254213,163,-22.59,2,21,"2299 2323",22,"72.73%","77.27%",19,"CDS"
"97","Cluster_4425","evm.TU.chromosome_10.3120",0.866085525715776,0.133914474284224,0.898703571176249,153,-23.57,2,18,"2419 2437",16,"81.25%","81.25%",16,"CDS"
"98","Cluster_9205","evm.TU.chromosome_10.3120",-0.550347710347112,0.449652289652888,0.944714520397306,163,-21.1,2,21,"49 71",20,"75.00%","80.00%",19,"CDS"
"99","Cluster_998","evm.TU.chromosome_10.3121",0.50489769353489,0.49510230646511,0.949250568172301,155,-20.23,2,19,"166 186",18,"77.78%","83.33%",17,"3'UTR"
"100","Cluster_4425","evm.TU.chromosome_10.3123",0.662280517145007,0.337719482854993,0.926455712546421,159,-22.8,2,20,"509 530",18,"66.67%","83.33%",18,"3'UTR"
"101","Cluster_9000","evm.TU.chromosome_10.3123",0.912332209561615,0.0876677904383851,0.891820111322947,160,-20.17,2,21,"2617 2636",19,"78.95%","84.21%",19,"CDS"
"102","Cluster_3889","evm.TU.chromosome_10.3128",-0.635825900290895,0.364174099709105,0.931738413029456,149,-21.35,2,20,"257 283",24,"66.67%","70.83%",18,"CDS"
"103","Cluster_1453","evm.TU.chromosome_10.3129",-0.979264831217466,0.0207351687825338,0.867888065145488,147,-20.94,2,21,"270 292",20,"60.00%","75.00%",19,"CDS"
"104","Cluster_492","evm.TU.chromosome_4.1067",0.802962813482092,0.197037186517908,0.906229497308454,161,-20.51,2,21,"9978 9997",19,"78.95%","78.95%",19,"CDS"
"105","Cluster_3406","evm.TU.chromosome_4.1067",0.348210071773813,0.651789928226187,0.968379445677871,157,-20.98,2,20,"1182 1202",18,"77.78%","77.78%",18,"CDS"
"106","Cluster_4806","evm.TU.chromosome_4.1067",0.215939660036132,0.784060339963867,0.981608694437956,171,-21.05,2,21,"9759 9781",20,"80.00%","85.00%",19,"CDS"
"107","Cluster_5061","evm.TU.chromosome_4.1067",-0.633642257976847,0.366357742023153,0.932201148578407,154,-20.33,2,21,"7978 7998",19,"68.42%","78.95%",19,"CDS"
"108","Cluster_492","evm.TU.chromosome_4.1063",0.789002288416629,0.210997711583371,0.907435220266033,163,-22.15,2,21,"2158 2180",20,"75.00%","80.00%",19,"CDS"
"109","Cluster_2097","evm.TU.chromosome_4.1063",0.657560255038589,0.342439744961411,0.927212918992428,158,-22.14,2,21,"1318 1344",24,"66.67%","79.17%",19,"CDS"
"110","Cluster_4425","evm.TU.chromosome_4.1062",-0.611122147840586,0.388877852159414,0.935782676124429,150,-20.08,2,21,"650 670",19,"68.42%","73.68%",19,"3'UTR"
"111","Cluster_4425","evm.TU.chromosome_1.1444",0.0102828654711469,0.989717134528853,0.999879864053375,157,-21.03,2,21,"947 968",20,"75.00%","80.00%",19,"3'UTR"
"112","Cluster_1453","evm.TU.chromosome_4.1068",-0.483823377731139,0.516176622268861,0.952231948970064,155,-22.67,2,21,"609 631",20,"65.00%","80.00%",19,"CDS"
"113","Cluster_9082","evm.TU.chromosome_11.1334",0.762790766281476,0.237209233718524,0.913144922216535,155,-20.52,2,20,"614 635",18,"72.22%","72.22%",18,"CDS"
"114","Cluster_9000","evm.TU.chromosome_11.1335",0.389972391050527,0.610027608949472,0.963725734828755,155,-22.42,2,21,"577 599",20,"65.00%","80.00%",19,"CDS"
"115","Cluster_492","evm.TU.chromosome_13.3454",0.126705010960065,0.873294989039935,0.989028821306736,152,-22.82,2,20,"1197 1224",24,"70.83%","75.00%",18,"CDS"
"116","Cluster_4754","evm.TU.chromosome_13.3457",-0.286066420752993,0.713933579247007,0.97457459768,162,-20.09,2,21,"238 261",21,"76.19%","80.95%",19,"CDS"
"117","Cluster_4640","evm.TU.chromosome_13.3453",-0.220795921007763,0.779204078992237,0.981154785628495,168,-25.01,2,21,"1395 1416",19,"73.68%","84.21%",19,"CDS"
"118","Cluster_508","evm.TU.chromosome_14.4914",-0.424416448230928,0.575583551769072,0.959594026888759,162,-20.03,2,21,"87 111",22,"68.18%","86.36%",19,"3'UTR"
"119","Cluster_2073","evm.TU.chromosome_7.2842",0.989013896337774,0.0109861036622255,0.850369391695723,171,-22.24,2,21,"189 213",22,"72.73%","86.36%",19,"CDS"
"120","Cluster_1155","evm.TU.chromosome_6.803",0.862844604699861,0.137155395300139,0.898703571176249,156,-21.83,2,19,"2241 2267",22,"72.73%","77.27%",17,"CDS"
"121","Cluster_1192","evm.TU.chromosome_6.803",-0.534543388624586,0.465456611375414,0.946263969042954,156,-21.94,2,19,"2007 2027",17,"76.47%","82.35%",17,"CDS"
"122","Cluster_1452","evm.TU.chromosome_6.803",-0.292756227962022,0.707243772037978,0.973905857948589,164,-23.38,2,21,"3387 3408",19,"73.68%","78.95%",19,"CDS"
"123","Cluster_9000","evm.TU.chromosome_6.803",-0.410497702243716,0.589502297756284,0.961166457918944,163,-20.56,2,18,"3217 3237",16,"87.50%","87.50%",16,"CDS"
"124","Cluster_9082","evm.TU.chromosome_6.803",-0.601794965957839,0.398205034042161,0.937514127314369,166,-23.51,2,21,"1982 2005",21,"76.19%","85.71%",19,"CDS"
"125","Cluster_1155","evm.TU.chromosome_12.2757",-0.856372861014784,0.143627138985216,0.898703571176249,166,-20.98,2,20,"766 788",19,"78.95%","84.21%",18,"CDS"
"126","Cluster_4831","evm.TU.chromosome_12.2757",0.0161404950481529,0.983859504951847,0.999723276316598,154,-22.12,2,21,"192 212",19,"68.42%","78.95%",19,"CDS"
"127","Cluster_1452","evm.TU.chromosome_1.10",0.823171842380248,0.176828157619752,0.904582859771347,158,-20.28,2,21,"138 158",19,"73.68%","78.95%",19,"CDS"
"128","Cluster_3293","evm.TU.chromosome_1.14",0.529516401897436,0.470483598102564,0.946645102083525,166,-20.31,2,20,"2262 2284",20,"75.00%","85.00%",18,"CDS"
"129","Cluster_4831","evm.TU.chromosome_1.14",-0.86650130508533,0.13349869491467,0.898703571176249,149,-22.23,2,20,"3471 3499",25,"64.00%","72.00%",18,"CDS"
"130","Cluster_1453","evm.TU.chromosome_1.15",0.0425256500871108,0.957474349912889,0.998008556828295,166,-22.93,2,21,"3131 3151",19,"73.68%","89.47%",19,"CDS"
"131","Cluster_3423","evm.TU.chromosome_1.15",0.499814295825164,0.500185704174836,0.950266576154332,169,-20.5,2,19,"3856 3878",18,"83.33%","88.89%",17,"CDS"
"132","Cluster_247","evm.TU.chromosome_7.1570",0.99968122188277,0.000318778117229568,0.48183482181364,165,-20.86,2,19,"30 52",18,"83.33%","83.33%",17,"CDS"
"133","Cluster_3293","evm.TU.chromosome_13.2490",-0.456177095049321,0.543822904950679,0.956011731083787,157,-20.55,2,19,"388 409",18,"72.22%","83.33%",17,"3'UTR"
"134","Cluster_1192","evm.TU.chromosome_13.2496",0.91716112057608,0.0828388794239199,0.889737381302144,158,-26.45,2,20,"82 110",25,"68.00%","72.00%",18,"3'UTR"
"135","Cluster_5061","evm.TU.chromosome_13.2498",-0.0670712454010174,0.932928754598983,0.99569883810201,180,-26.29,2,21,"1180 1201",19,"84.21%","89.47%",19,"CDS"
"136","Cluster_4425","evm.TU.chromosome_2.863",0.549025507252127,0.450974492747873,0.944996111601431,162,-23.17,2,21,"993 1013",19,"78.95%","78.95%",19,"CDS"
"137","Cluster_1453","evm.TU.chromosome_2.864",-0.603360458006353,0.396639541993647,0.937256150127435,151,-21.34,2,21,"345 370",23,"65.22%","69.57%",19,"3'UTR"
"138","Cluster_2003","evm.TU.chromosome_11.5",-0.300877000518465,0.699122999481535,0.972779660399028,153,-21.05,2,18,"439 460",16,"75.00%","75.00%",16,"CDS"
"139","Cluster_1453","evm.TU.chromosome_10.1434",-0.0691232054952808,0.930876794504719,0.995461367114526,163,-22.55,2,20,"805 826",18,"77.78%","77.78%",18,"CDS"
"140","Cluster_1452","evm.TU.chromosome_10.1435",0.687863422365408,0.312136577634592,0.92161226703784,166,-22.82,2,20,"684 706",19,"73.68%","89.47%",18,"3'UTR"
"141","Cluster_1453","evm.TU.chromosome_10.1435",-0.541241305305146,0.458758694694854,0.945212596014849,163,-26.2,2,21,"174 196",20,"70.00%","85.00%",19,"CDS"
"142","Cluster_3037","evm.TU.chromosome_10.1436",0.668715685052594,0.331284314947406,0.925042289703418,164,-22.03,2,17,"358 378",15,"86.67%","86.67%",15,"CDS"
"143","Cluster_1453","evm.TU.chromosome_10.1430",-0.962022815275738,0.0379771847242623,0.875021446329662,150,-20.65,2,20,"244 269",22,"59.09%","77.27%",18,"CDS"
"144","Cluster_4696","evm.TU.chromosome_10.1432",-0.638437788441857,0.361562211558143,0.931121998966062,166,-22.61,2,20,"228 250",19,"73.68%","89.47%",18,"CDS"
"145","Cluster_4754","evm.TU.chromosome_10.1432",-0.87012469631144,0.12987530368856,0.898703571176249,170,-26.81,2,21,"744 768",22,"81.82%","81.82%",19,"CDS"
"146","Cluster_1453","evm.TU.chromosome_11.1222",-0.381732084093602,0.618267915906398,0.964856026305617,172,-26.19,2,17,"585 606",15,"86.67%","100.00%",15,"CDS"
"147","Cluster_860","evm.TU.chromosome_11.1223",-0.87096767118071,0.12903232881929,0.898703571176249,171,-22.68,2,21,"1760 1782",20,"80.00%","85.00%",19,"CDS"
"148","Cluster_1192","evm.TU.chromosome_11.1223",0.206503029642861,0.793496970357139,0.982601290157862,160,-23.22,2,21,"1615 1634",19,"78.95%","84.21%",19,"CDS"
"149","Cluster_1411","evm.TU.chromosome_11.1223",-0.839880800717082,0.160119199282918,0.899634343899457,162,-22.74,2,21,"2480 2500",19,"73.68%","84.21%",19,"CDS"
"150","Cluster_2151","evm.TU.chromosome_9.2348",-0.448331090134997,0.551668909865003,0.957241144941406,152,-20.22,2,21,"528 549",19,"68.42%","68.42%",19,"3'UTR"
"151","Cluster_2151","evm.TU.chromosome_9.2344",0.991686226313435,0.00831377368656496,0.845787712975031,148,-21.32,2,21,"817 838",19,"63.16%","68.42%",19,"3'UTR"
"152","Cluster_3730","evm.TU.chromosome_9.2344",0.476520013714981,0.523479986285019,0.952959268986562,169,-21.67,2,20,"347 367",18,"83.33%","88.89%",18,"CDS"
"153","Cluster_3406","evm.TU.chromosome_4.877",-0.428097506633028,0.571902493366972,0.958912747696547,153,-24.44,2,21,"1033 1054",20,"70.00%","80.00%",19,"CDS"
"154","Cluster_4831","evm.TU.chromosome_4.877",-0.365714648607629,0.634285351392371,0.966918915691414,160,-21.46,2,20,"1701 1723",20,"80.00%","80.00%",18,"CDS"
