"","X","mirna_FC","mrna_FC","mirna","mrna","value","score","energy","subj_identity","query_identity","pvalue","comparison","pattern"
"38","chromosome_4_131810.4",-2.00521570133694,6.82115469868798,"chromosome_4_131810","evm.TU.chromosome_3.1666",8.82637040002492,146,-14.73,"90.91%","90.91%",0.03554,"TP0_v_TP7_amb","inverse regulation"
"39","chromosome_4_131796.4",-2.00521570133694,6.82115469868798,"chromosome_4_131796","evm.TU.chromosome_3.1666",8.82637040002492,146,-14.73,"90.91%","90.91%",0.03554,"TP0_v_TP7_amb","inverse regulation"
"40","chromosome_4_131847.4",-2.00284823762422,6.82115469868798,"chromosome_4_131847","evm.TU.chromosome_3.1666",8.8240029363122,146,-14.73,"90.91%","90.91%",0.03574,"TP0_v_TP7_amb","inverse regulation"
"41","chromosome_4_131807.4",-2.00284823762422,6.82115469868798,"chromosome_4_131807","evm.TU.chromosome_3.1666",8.8240029363122,146,-14.73,"90.91%","90.91%",0.03574,"TP0_v_TP7_amb","inverse regulation"
"42","chromosome_6_209591.3",-1.99184328656089,6.82115469868798,"chromosome_6_209591","evm.TU.chromosome_3.1666",8.81299798524887,147,-18.26,"68.75%","81.25%",0.03598,"TP0_v_TP7_amb","inverse regulation"
"43","chromosome_5_173097.5",4.61670653493775,-4.09219111300794,"chromosome_5_173097","evm.TU.chromosome_2.1058",8.70889764794569,141,-13.06,"90.00%","90.00%",0.03829,"TP0_v_TP7_amb","negative regulation"
"44","chromosome_4_131850.5",-2.00521570133694,8.15259279405172,"chromosome_4_131850","evm.TU.chromosome_2.769",10.1578084953887,140,-14.81,"100.00%","100.00%",0.01354,"TP0_v_TP7_amb","inverse regulation"
"45","chromosome_4_131836.5",-2.00521570133694,8.15259279405172,"chromosome_4_131836","evm.TU.chromosome_2.769",10.1578084953887,140,-14.81,"100.00%","100.00%",0.01354,"TP0_v_TP7_amb","inverse regulation"
"46","chromosome_4_131810.5",-2.00521570133694,8.15259279405172,"chromosome_4_131810","evm.TU.chromosome_2.769",10.1578084953887,140,-14.81,"100.00%","100.00%",0.01354,"TP0_v_TP7_amb","inverse regulation"
"47","chromosome_4_131796.5",-2.00521570133694,8.15259279405172,"chromosome_4_131796","evm.TU.chromosome_2.769",10.1578084953887,140,-14.81,"100.00%","100.00%",0.01354,"TP0_v_TP7_amb","inverse regulation"
"48","chromosome_4_131847.5",-2.00284823762422,8.15259279405172,"chromosome_4_131847","evm.TU.chromosome_2.769",10.1554410316759,140,-14.81,"100.00%","100.00%",0.0136500000000001,"TP0_v_TP7_amb","inverse regulation"
"49","chromosome_4_131807.5",-2.00284823762422,8.15259279405172,"chromosome_4_131807","evm.TU.chromosome_2.769",10.1554410316759,140,-14.81,"100.00%","100.00%",0.0136500000000001,"TP0_v_TP7_amb","inverse regulation"
"50","chromosome_4_135958.2",-2.60602252547484,8.15259279405172,"chromosome_4_135958","evm.TU.chromosome_2.769",10.7586153195266,146,-13.51,"65.22%","69.57%",0.00946000000000002,"TP0_v_TP7_amb","inverse regulation"
"51","chromosome_11_419903.2",2.20775375250569,-6.8899211194853,"chromosome_11_419903","evm.TU.chromosome_2.762",9.09767487199099,162,-15.45,"84.62%","100.00%",0.02764,"TP0_v_TP7_amb","negative regulation"
"52","chromosome_14_688567.4",3.29279731403218,-7.29234229844855,"chromosome_14_688567","evm.TU.chromosome_12.2940",10.5851396124807,154,-10.43,"64.71%","82.35%",0.00993999999999995,"TP0_v_TP7_amb","negative regulation"
"53","chromosome_14_688567.5",3.29279731403218,-7.29234229844855,"chromosome_14_688567","evm.TU.chromosome_12.2940",10.5851396124807,155,-14.74,"69.57%","73.91%",0.00993999999999995,"TP0_v_TP7_amb","negative regulation"
"54","chromosome_14_688567.6",3.29279731403218,-5.79079183427805,"chromosome_14_688567","evm.TU.chromosome_14.6624",9.08358914831023,163,-14.25,"73.91%","78.26%",0.02772,"TP0_v_TP7_amb","negative regulation"
"55","chromosome_7_251368.3",2.24494682999106,-7.89693689223624,"chromosome_7_251368","evm.TU.chromosome_14.6219",10.1418837222273,142,-10.64,"73.33%","73.33%",0.01389,"TP0_v_TP7_amb","negative regulation"
"56","chromosome_4_131850.6",-2.00521570133694,6.43056145028199,"chromosome_4_131850","evm.TU.chromosome_3.1348",8.43577715161893,153,-17.8,"70.00%","75.00%",0.0445,"TP0_v_TP7_amb","inverse regulation"
"57","chromosome_4_131836.6",-2.00521570133694,6.43056145028199,"chromosome_4_131836","evm.TU.chromosome_3.1348",8.43577715161893,153,-17.8,"70.00%","75.00%",0.0445,"TP0_v_TP7_amb","inverse regulation"
"58","chromosome_4_131810.6",-2.00521570133694,6.43056145028199,"chromosome_4_131810","evm.TU.chromosome_3.1348",8.43577715161893,153,-17.8,"70.00%","75.00%",0.0445,"TP0_v_TP7_amb","inverse regulation"
"59","chromosome_4_131796.6",-2.00521570133694,6.43056145028199,"chromosome_4_131796","evm.TU.chromosome_3.1348",8.43577715161893,153,-17.8,"70.00%","75.00%",0.0445,"TP0_v_TP7_amb","inverse regulation"
"60","chromosome_4_131847.6",-2.00284823762422,6.43056145028199,"chromosome_4_131847","evm.TU.chromosome_3.1348",8.43340968790621,153,-17.8,"70.00%","75.00%",0.04482,"TP0_v_TP7_amb","inverse regulation"
"61","chromosome_4_131807.6",-2.00284823762422,6.43056145028199,"chromosome_4_131807","evm.TU.chromosome_3.1348",8.43340968790621,153,-17.8,"70.00%","75.00%",0.04482,"TP0_v_TP7_amb","inverse regulation"
"62","chromosome_9_343049.2",-1.90153146876983,6.43056145028199,"chromosome_9_343049","evm.TU.chromosome_3.1348",8.33209291905182,143,-11.19,"60.00%","70.00%",0.04765,"TP0_v_TP7_amb","inverse regulation"
"63","chromosome_9_343055.2",-1.90153146876983,6.43056145028199,"chromosome_9_343055","evm.TU.chromosome_3.1348",8.33209291905182,143,-11.19,"60.00%","70.00%",0.04765,"TP0_v_TP7_amb","inverse regulation"
"64","chromosome_14_688567.7",3.29279731403218,-8.70766850759073,"chromosome_14_688567","evm.TU.chromosome_13.1842",12.0004658216229,165,-16.94,"65.00%","85.00%",0.00517000000000001,"TP0_v_TP7_amb","negative regulation"
"65","chromosome_11_419903.5",2.20775375250569,-8.70766850759073,"chromosome_11_419903","evm.TU.chromosome_13.1842",10.9154222600964,164,-11.55,"80.00%","93.33%",0.00914999999999999,"TP0_v_TP7_amb","negative regulation"
"66","chromosome_5_155769.1",-2.26845651222468,7.27831391038355,"chromosome_5_155769","evm.TU.chromosome_12.1784",9.54677042260823,155,-11.2,"70.00%","75.00%",0.02085,"TP0_v_TP7_amb","inverse regulation"
"67","chromosome_4_135958.3",-2.60602252547484,7.27831391038355,"chromosome_4_135958","evm.TU.chromosome_12.1784",9.88433643585839,151,-16.91,"91.67%","91.67%",0.01651,"TP0_v_TP7_amb","inverse regulation"
"68","chromosome_4_135958.4",-2.60602252547484,8.05977346701374,"chromosome_4_135958","evm.TU.chromosome_13.3761",10.6657959924886,147,-13.52,"72.22%","77.78%",0.00963999999999998,"TP0_v_TP7_amb","inverse regulation"
"69","chromosome_4_135958.5",-2.60602252547484,8.05977346701374,"chromosome_4_135958","evm.TU.chromosome_13.3761",10.6657959924886,151,-15.07,"75.00%","80.00%",0.00963999999999998,"TP0_v_TP7_amb","inverse regulation"
"70","chromosome_3_79553",-3.22436808125309,6.54208686178711,"chromosome_3_79553","evm.TU.chromosome_12.3776",9.7664549430402,145,-10.44,"78.57%","78.57%",0.01047,"TP0_v_TP5_amb","inverse regulation"
"71","chromosome_12_481048",-2.33674498469137,6.54208686178711,"chromosome_12_481048","evm.TU.chromosome_12.3776",8.87883184647848,148,-10.31,"60.00%","86.67%",0.0151,"TP0_v_TP5_amb","inverse regulation"
"72","chromosome_5_168528",3.17559214349715,-5.44649701842999,"chromosome_5_168528","evm.TU.chromosome_13.1047",8.62208916192714,151,-11.63,"65.00%","75.00%",0.0179,"TP0_v_TP5_amb","negative regulation"
"73","chromosome_5_147390",2.58347217780817,-5.44649701842999,"chromosome_5_147390","evm.TU.chromosome_13.1047",8.02996919623816,146,-11.66,"73.33%","80.00%",0.03002,"TP0_v_TP5_amb","negative regulation"
"74","chromosome_5_147456",2.58347217780817,-5.44649701842999,"chromosome_5_147456","evm.TU.chromosome_13.1047",8.02996919623816,146,-11.66,"73.33%","80.00%",0.03002,"TP0_v_TP5_amb","negative regulation"
"75","chromosome_5_168528.1",3.17559214349715,-5.92563938408728,"chromosome_5_168528","evm.TU.chromosome_10.1241",9.10123152758443,159,-20.02,"73.91%","73.91%",0.01336,"TP0_v_TP5_amb","negative regulation"
"76","chromosome_5_168528.2",3.17559214349715,-6.07436528067062,"chromosome_5_168528","evm.TU.chromosome_12.3640",9.24995742416777,155,-14.87,"70.00%","75.00%",0.01226,"TP0_v_TP5_amb","negative regulation"
"77","chromosome_5_168528.3",3.17559214349715,-5.39410845394669,"chromosome_5_168528","evm.TU.chromosome_12.1869",8.56970059744384,146,-14.05,"88.89%","100.00%",0.01822,"TP0_v_TP5_amb","negative regulation"
"78","chromosome_5_168528.4",3.17559214349715,-5.36230542628964,"chromosome_5_168528","evm.TU.chromosome_13.2897",8.53789756978679,145,-11.53,"100.00%","100.00%",0.01847,"TP0_v_TP5_amb","negative regulation"
"79","chromosome_5_147390.1",2.58347217780817,-6.23383986149575,"chromosome_5_147390","evm.TU.chromosome_4.1816",8.81731203930392,148,-10.17,"70.59%","76.47%",0.01571,"TP0_v_TP5_amb","negative regulation"
"80","chromosome_5_147456.1",2.58347217780817,-6.23383986149575,"chromosome_5_147456","evm.TU.chromosome_4.1816",8.81731203930392,148,-10.17,"70.59%","76.47%",0.01571,"TP0_v_TP5_amb","negative regulation"
"81","chromosome_10_400118",-1.33662171967117,-9.7441388734026,"chromosome_10_400118","evm.TU.chromosome_6.1434",8.40751715373143,150,-14.21,"100.00%","100.00%",0.02115,"TP0_v_TP5_amb","coregulation decrease"
"82","chromosome_4_135958",-1.94475184018536,-9.7441388734026,"chromosome_4_135958","evm.TU.chromosome_6.1434",7.79938703321724,148,-13.15,"63.16%","78.95%",0.03676,"TP0_v_TP5_amb","coregulation decrease"
"83","chromosome_4_135958.1",-1.94475184018536,6.36071098476241,"chromosome_4_135958","evm.TU.chromosome_7.28",8.30546282494777,153,-14.25,"72.22%","77.78%",0.0229,"TP0_v_TP5_amb","inverse regulation"
"84","chromosome_5_168528.5",3.17559214349715,-4.71237693974311,"chromosome_5_168528","evm.TU.chromosome_13.4157",7.88796908324026,146,-11.98,"73.68%","73.68%",0.03311,"TP0_v_TP5_amb","negative regulation"
"85","chromosome_4_135958.2",-1.94475184018536,5.5535872804586,"chromosome_4_135958","evm.TU.chromosome_13.1515",7.49833912064396,160,-16.26,"78.95%","84.21%",0.04457,"TP0_v_TP5_amb","inverse regulation"
"86","chromosome_4_135958.3",-1.94475184018536,5.5535872804586,"chromosome_4_135958","evm.TU.chromosome_13.1515",7.49833912064396,171,-15.46,"83.33%","83.33%",0.04457,"TP0_v_TP5_amb","inverse regulation"
"87","chromosome_5_168528.6",3.17559214349715,-7.27561660961394,"chromosome_5_168528","evm.TU.chromosome_6.1006",10.4512087531111,146,-13.23,"68.18%","68.18%",0.00812000000000002,"TP0_v_TP5_amb","negative regulation"
"88","chromosome_4_135958.4",-1.94475184018536,5.99456123564599,"chromosome_4_135958","evm.TU.chromosome_8.2064",7.93931307583135,156,-17.16,"70.59%","88.24%",0.03176,"TP0_v_TP5_amb","inverse regulation"
"89","chromosome_4_135958.5",-1.94475184018536,5.99456123564599,"chromosome_4_135958","evm.TU.chromosome_8.2064",7.93931307583135,169,-21.22,"83.33%","88.89%",0.03176,"TP0_v_TP5_amb","inverse regulation"
"90","chromosome_5_168528.7",3.17559214349715,-4.30668304810001,"chromosome_5_168528","evm.TU.chromosome_6.84",7.48227519159716,147,-11.45,"71.43%","78.57%",0.04489,"TP0_v_TP5_amb","negative regulation"
"91","chromosome_5_168528.8",3.17559214349715,-4.22438747858225,"chromosome_5_168528","evm.TU.chromosome_4.2495",7.3999796220794,164,-17.73,"82.35%","88.24%",0.047,"TP0_v_TP5_amb","negative regulation"
"92","chromosome_5_168528.9",3.17559214349715,-8.26384423388228,"chromosome_5_168528","evm.TU.chromosome_14.6219",11.4394363773794,156,-20.4,"66.67%","76.19%",0.00585000000000002,"TP0_v_TP5_amb","negative regulation"
"93","chromosome_5_168528.10",3.17559214349715,-4.38908752539636,"chromosome_5_168528","evm.TU.chromosome_10.41",7.56467966889351,148,-11.44,"81.82%","90.91%",0.04301,"TP0_v_TP5_amb","negative regulation"
"94","chromosome_5_168528.11",3.17559214349715,-5.29341414172083,"chromosome_5_168528","evm.TU.chromosome_12.1865",8.46900628521798,150,-11.8,"64.71%","76.47%",0.0202599999999999,"TP0_v_TP5_amb","negative regulation"
"95","chromosome_4_131850.1",-1.26929856081406,7.08569400614229,"chromosome_4_131850","evm.TU.chromosome_12.3088",8.35499256695635,148,-13.63,"84.62%","84.62%",0.0224,"TP0_v_TP5_amb","inverse regulation"
"96","chromosome_4_131836.1",-1.26929856081406,7.08569400614229,"chromosome_4_131836","evm.TU.chromosome_12.3088",8.35499256695635,148,-13.63,"84.62%","84.62%",0.0224,"TP0_v_TP5_amb","inverse regulation"
"97","chromosome_4_131810.1",-1.26929856081406,7.08569400614229,"chromosome_4_131810","evm.TU.chromosome_12.3088",8.35499256695635,148,-13.63,"84.62%","84.62%",0.0224,"TP0_v_TP5_amb","inverse regulation"
"98","chromosome_4_131796.1",-1.26929856081406,7.08569400614229,"chromosome_4_131796","evm.TU.chromosome_12.3088",8.35499256695635,148,-13.63,"84.62%","84.62%",0.0224,"TP0_v_TP5_amb","inverse regulation"
"99","chromosome_4_131847.1",-1.2645621432378,7.08569400614229,"chromosome_4_131847","evm.TU.chromosome_12.3088",8.35025614938009,148,-13.63,"84.62%","84.62%",0.0226499999999999,"TP0_v_TP5_amb","inverse regulation"
"100","chromosome_4_131807.1",-1.2645621432378,7.08569400614229,"chromosome_4_131807","evm.TU.chromosome_12.3088",8.35025614938009,148,-13.63,"84.62%","84.62%",0.0226499999999999,"TP0_v_TP5_amb","inverse regulation"
"101","chromosome_3_79553.1",-3.22436808125309,7.08569400614229,"chromosome_3_79553","evm.TU.chromosome_12.3088",10.3100620873954,153,-13.41,"75.00%","75.00%",0.00887000000000004,"TP0_v_TP5_amb","inverse regulation"
"102","chromosome_12_481048.1",-2.33674498469137,7.08569400614229,"chromosome_12_481048","evm.TU.chromosome_12.3088",9.42243899083366,162,-16.22,"86.67%","93.33%",0.01125,"TP0_v_TP5_amb","inverse regulation"
"103","chromosome_12_481048.2",-2.33674498469137,7.08569400614229,"chromosome_12_481048","evm.TU.chromosome_12.3088",9.42243899083366,166,-17.84,"82.35%","82.35%",0.01125,"TP0_v_TP5_amb","inverse regulation"
"104","chromosome_4_135958.6",-1.94475184018536,7.08569400614229,"chromosome_4_135958","evm.TU.chromosome_12.3088",9.03044584632765,149,-14.94,"70.00%","75.00%",0.01387,"TP0_v_TP5_amb","inverse regulation"
"105","chromosome_4_131850.2",-1.26929856081406,-9.4313605090283,"chromosome_4_131850","evm.TU.chromosome_13.1842",8.16206194821424,140,-14.71,"100.00%","100.00%",0.0264,"TP0_v_TP5_amb","coregulation decrease"
"106","chromosome_4_131850.3",-1.26929856081406,-9.4313605090283,"chromosome_4_131850","evm.TU.chromosome_13.1842",8.16206194821424,148,-16.65,"81.82%","90.91%",0.0264,"TP0_v_TP5_amb","coregulation decrease"
"107","chromosome_4_131836.2",-1.26929856081406,-9.4313605090283,"chromosome_4_131836","evm.TU.chromosome_13.1842",8.16206194821424,140,-14.71,"100.00%","100.00%",0.0264,"TP0_v_TP5_amb","coregulation decrease"
"108","chromosome_4_131836.3",-1.26929856081406,-9.4313605090283,"chromosome_4_131836","evm.TU.chromosome_13.1842",8.16206194821424,148,-16.65,"81.82%","90.91%",0.0264,"TP0_v_TP5_amb","coregulation decrease"
"109","chromosome_4_131810.2",-1.26929856081406,-9.4313605090283,"chromosome_4_131810","evm.TU.chromosome_13.1842",8.16206194821424,140,-14.71,"100.00%","100.00%",0.0264,"TP0_v_TP5_amb","coregulation decrease"
"110","chromosome_4_131810.3",-1.26929856081406,-9.4313605090283,"chromosome_4_131810","evm.TU.chromosome_13.1842",8.16206194821424,148,-16.65,"81.82%","90.91%",0.0264,"TP0_v_TP5_amb","coregulation decrease"
"111","chromosome_4_131796.2",-1.26929856081406,-9.4313605090283,"chromosome_4_131796","evm.TU.chromosome_13.1842",8.16206194821424,140,-14.71,"100.00%","100.00%",0.0264,"TP0_v_TP5_amb","coregulation decrease"
"112","chromosome_4_131796.3",-1.26929856081406,-9.4313605090283,"chromosome_4_131796","evm.TU.chromosome_13.1842",8.16206194821424,148,-16.65,"81.82%","90.91%",0.0264,"TP0_v_TP5_amb","coregulation decrease"
"113","chromosome_4_131847.2",-1.2645621432378,-9.4313605090283,"chromosome_4_131847","evm.TU.chromosome_13.1842",8.1667983657905,140,-14.71,"100.00%","100.00%",0.02519,"TP0_v_TP5_amb","coregulation decrease"
"114","chromosome_4_131847.3",-1.2645621432378,-9.4313605090283,"chromosome_4_131847","evm.TU.chromosome_13.1842",8.1667983657905,148,-16.65,"81.82%","90.91%",0.02519,"TP0_v_TP5_amb","coregulation decrease"
"115","chromosome_4_131807.2",-1.2645621432378,-9.4313605090283,"chromosome_4_131807","evm.TU.chromosome_13.1842",8.1667983657905,140,-14.71,"100.00%","100.00%",0.02519,"TP0_v_TP5_amb","coregulation decrease"
"116","chromosome_4_131807.3",-1.2645621432378,-9.4313605090283,"chromosome_4_131807","evm.TU.chromosome_13.1842",8.1667983657905,148,-16.65,"81.82%","90.91%",0.02519,"TP0_v_TP5_amb","coregulation decrease"
"117","chromosome_3_79553.2",-3.22436808125309,4.96964744285824,"chromosome_3_79553","evm.TU.chromosome_12.3432",8.19401552411133,141,-12.02,"75.00%","75.00%",0.02462,"TP0_v_TP5_amb","inverse regulation"
"118","chromosome_4_131850.4",-1.26929856081406,6.09195707506919,"chromosome_4_131850","evm.TU.chromosome_10.1377",7.36125563588325,141,-12.03,"75.00%","75.00%",0.04839,"TP0_v_TP5_amb","inverse regulation"
"119","chromosome_4_131850.5",-1.26929856081406,6.09195707506919,"chromosome_4_131850","evm.TU.chromosome_10.1377",7.36125563588325,148,-10.72,"81.82%","90.91%",0.04839,"TP0_v_TP5_amb","inverse regulation"
"120","chromosome_4_131836.4",-1.26929856081406,6.09195707506919,"chromosome_4_131836","evm.TU.chromosome_10.1377",7.36125563588325,141,-12.03,"75.00%","75.00%",0.04839,"TP0_v_TP5_amb","inverse regulation"
"121","chromosome_4_131836.5",-1.26929856081406,6.09195707506919,"chromosome_4_131836","evm.TU.chromosome_10.1377",7.36125563588325,148,-10.72,"81.82%","90.91%",0.04839,"TP0_v_TP5_amb","inverse regulation"
"122","chromosome_4_131810.4",-1.26929856081406,6.09195707506919,"chromosome_4_131810","evm.TU.chromosome_10.1377",7.36125563588325,141,-12.03,"75.00%","75.00%",0.04839,"TP0_v_TP5_amb","inverse regulation"
"123","chromosome_4_131810.5",-1.26929856081406,6.09195707506919,"chromosome_4_131810","evm.TU.chromosome_10.1377",7.36125563588325,148,-10.72,"81.82%","90.91%",0.04839,"TP0_v_TP5_amb","inverse regulation"
