"","miRNA","mRNA","PCC.cor","p_value","adjusted_p_value","score","energy","start","end","subject_start_end","total_bp_shared","query_similar","subject_similar","interaction_length","binding_type"
"20","Cluster_2097","evm.TU.chromosome_8.2624",0.145507525237961,0.854492474762039,0.967657513380908,163,-21.19,2,21,"216 238",20,"70.00%","85.00%",19,"CDS"
"21","Cluster_4646","evm.TU.chromosome_8.2627",0.601654602390696,0.398345397609304,0.860964796224553,158,-21.68,2,20,"797 820",20,"70.00%","80.00%",18,"CDS"
"22","Cluster_4640","evm.TU.chromosome_5.2396",-0.537286743145083,0.462713256854917,0.871348739830204,181,-26.47,2,18,"1519 1540",16,"93.75%","100.00%",16,"CDS"
"23","Cluster_3331","evm.TU.chromosome_5.2393",-0.842033706977347,0.157966293022653,0.83275037842913,169,-21.95,2,19,"373 395",18,"83.33%","88.89%",17,"3'UTR"
"24","Cluster_3337","evm.TU.chromosome_5.2393",-0.851955617072523,0.148044382927477,0.83275037842913,169,-21.95,2,19,"373 395",18,"83.33%","88.89%",17,"3'UTR"
"25","Cluster_3338","evm.TU.chromosome_5.2393",-0.864628927538091,0.135371072461909,0.83275037842913,169,-21.95,2,19,"373 395",18,"83.33%","88.89%",17,"3'UTR"
"26","Cluster_3406","evm.TU.chromosome_5.2393",0.821393146891487,0.178606853108513,0.83275037842913,154,-24.57,2,21,"1153 1173",19,"68.42%","78.95%",19,"CDS"
"27","Cluster_2097","evm.TU.chromosome_10.192",0.657910481647102,0.342089518352898,0.847983316890617,153,-24.38,2,21,"143 171",26,"69.23%","73.08%",19,"CDS"
"28","Cluster_1452","evm.TU.chromosome_10.194",0.852605012198437,0.147394987801563,0.83275037842913,157,-21.53,2,21,"978 1000",21,"76.19%","76.19%",19,"CDS"
"29","Cluster_2073","evm.TU.chromosome_10.194",-0.991529743948461,0.00847025605153908,0.83275037842913,158,-21.35,2,20,"220 242",19,"63.16%","89.47%",18,"CDS"
"30","Cluster_1452","evm.TU.chromosome_8.969",0.639019819367111,0.360980180632889,0.851539136172113,149,-20.95,2,18,"405 426",16,"68.75%","75.00%",16,"CDS"
"31","Cluster_1452","evm.TU.chromosome_8.964",0.950135625861364,0.0498643741386359,0.83275037842913,151,-21.99,2,21,"386 411",23,"65.22%","69.57%",19,"CDS"
"32","Cluster_3889","evm.TU.chromosome_8.964",0.642277675396705,0.357722324603295,0.851539136172113,166,-24.23,2,19,"596 616",17,"76.47%","88.24%",17,"CDS"
"33","Cluster_860","evm.TU.chromosome_8.962",-0.140159025516996,0.859840974483004,0.968419320933589,152,-20.58,2,21,"238 259",19,"63.16%","73.68%",19,"CDS"
"34","Cluster_492","evm.TU.chromosome_9.2637",-0.353459594690773,0.646540405309227,0.912407522981985,167,-21.76,2,20,"1948 1969",18,"72.22%","88.89%",18,"CDS"
"35","Cluster_4646","evm.TU.chromosome_9.2637",0.591298224270292,0.408701775729708,0.862232567310622,151,-21.74,2,21,"3163 3188",23,"60.87%","73.91%",19,"CDS"
"36","Cluster_3331","evm.TU.chromosome_6.1096",-0.331258674201698,0.668741325798302,0.919842418572606,159,-22.51,2,21,"139 161",20,"70.00%","80.00%",19,"CDS"
"37","Cluster_3337","evm.TU.chromosome_6.1096",-0.335552335090461,0.664447664909539,0.918343965059517,159,-22.51,2,21,"139 161",20,"70.00%","80.00%",19,"CDS"
"38","Cluster_3338","evm.TU.chromosome_6.1096",-0.310966007682607,0.689033992317393,0.925165810696649,159,-22.51,2,21,"139 161",20,"70.00%","80.00%",19,"CDS"
"39","Cluster_3406","evm.TU.chromosome_8.382",0.370212734595036,0.629787265404964,0.908828104573039,149,-22.17,2,17,"3045 3066",16,"75.00%","87.50%",15,"CDS"
"40","Cluster_4044","evm.TU.chromosome_8.382",0.925019250533677,0.0749807494663228,0.83275037842913,170,-22.36,2,20,"3739 3761",19,"78.95%","89.47%",18,"CDS"
"41","Cluster_4425","evm.TU.chromosome_8.382",-0.843037014306296,0.156962985693704,0.83275037842913,154,-20.24,2,20,"3696 3718",19,"68.42%","78.95%",18,"CDS"
"42","Cluster_1453","evm.TU.chromosome_11.3101",0.564074590195105,0.435925409804895,0.866446004496193,147,-20.57,2,21,"1244 1268",22,"63.64%","68.18%",19,"CDS"
"43","Cluster_9082","evm.TU.chromosome_11.3102",0.362660282018496,0.637339717981504,0.910255956743713,164,-20.14,2,19,"1784 1804",17,"82.35%","88.24%",17,"CDS"
"44","Cluster_9082","evm.TU.chromosome_11.3102",0.362660282018496,0.637339717981504,0.910255956743713,164,-20.14,2,19,"392 412",17,"82.35%","88.24%",17,"CDS"
"45","Cluster_1453","evm.TU.chromosome_13.1603",0.535562120613552,0.464437879386448,0.871906500292396,166,-20.44,2,20,"712 734",19,"73.68%","89.47%",18,"3'UTR"
"46","Cluster_1473","evm.TU.chromosome_13.1605",0.461346934546127,0.538653065453872,0.88993296966646,157,-22.5,2,21,"37 59",21,"71.43%","80.95%",19,"CDS"
"47","Cluster_3889","evm.TU.chromosome_14.1867",-0.387346693614534,0.612653306385466,0.903656698977333,162,-20.61,2,19,"2231 2251",17,"76.47%","82.35%",17,"CDS"
"48","Cluster_1453","evm.TU.chromosome_12.2251",-0.488344756242371,0.511655243757629,0.885337966944576,159,-22.7,2,21,"831 853",20,"70.00%","80.00%",19,"CDS"
"49","Cluster_998","evm.TU.chromosome_12.2256",0.201263706411611,0.798736293588389,0.955208770794214,166,-23.38,2,20,"1598 1619",19,"73.68%","89.47%",18,"CDS"
"50","Cluster_492","evm.TU.chromosome_12.2255",-0.147598996312097,0.852401003687903,0.967459255731085,163,-22.67,2,21,"1659 1681",20,"70.00%","85.00%",19,"CDS"
"51","Cluster_492","evm.TU.chromosome_6.709",0.20654532037416,0.79345467962584,0.953637664355128,164,-22.72,2,20,"1204 1223",18,"77.78%","88.89%",18,"CDS"
"52","Cluster_1192","evm.TU.chromosome_3.1852",0.758109459832467,0.241890540167533,0.83275037842913,159,-20.28,2,21,"649 671",20,"70.00%","80.00%",19,"CDS"
"53","Cluster_3331","evm.TU.chromosome_3.1852",-0.184939757225916,0.815060242774084,0.959502402051203,162,-20.83,2,20,"298 320",19,"73.68%","84.21%",18,"CDS"
"54","Cluster_3337","evm.TU.chromosome_3.1852",-0.201694036022611,0.798305963977389,0.955067067468994,162,-20.83,2,20,"298 320",19,"73.68%","84.21%",18,"CDS"
"55","Cluster_3338","evm.TU.chromosome_3.1852",-0.226343515950272,0.773656484049728,0.948796504563254,162,-20.83,2,20,"298 320",19,"73.68%","84.21%",18,"CDS"
"56","Cluster_4831","evm.TU.chromosome_3.1851",0.513838642485427,0.486161357514573,0.878613392321361,163,-21.62,2,16,"434 455",14,"85.71%","92.86%",14,"CDS"
"57","Cluster_1663","evm.TU.chromosome_14.5968_evm.TU.chromosome_14.5971",0.642895778107688,0.357104221892312,0.851481695359842,172,-21.8,2,20,"671 692",19,"89.47%","89.47%",18,"3'UTR"
"58","Cluster_137","evm.TU.chromosome_5.1576",-0.221369739280382,0.778630260719618,0.949734184289648,152,-20.25,2,17,"822 843",15,"73.33%","80.00%",15,"CDS"
"59","Cluster_2097","evm.TU.chromosome_5.1575",-0.181822475194127,0.818177524805873,0.959914171297572,174,-23.58,2,21,"1122 1142",19,"84.21%","89.47%",19,"CDS"
"60","Cluster_3331","evm.TU.chromosome_5.1575",-0.994204596275049,0.00579540372495102,0.83275037842913,151,-23.28,2,21,"698 720",20,"70.00%","70.00%",19,"3'UTR"
"61","Cluster_3337","evm.TU.chromosome_5.1575",-0.997156938584628,0.00284306141537163,0.83275037842913,151,-23.28,2,21,"698 720",20,"70.00%","70.00%",19,"3'UTR"
"62","Cluster_3338","evm.TU.chromosome_5.1575",-0.997092310492856,0.00290768950714405,0.83275037842913,151,-23.28,2,21,"698 720",20,"70.00%","70.00%",19,"3'UTR"
"63","Cluster_4640","evm.TU.chromosome_2.457",-0.723561059043335,0.276438940956665,0.837819688856531,165,-21.46,2,20,"37 61",21,"80.95%","80.95%",18,"CDS"
"64","Cluster_1192","evm.TU.chromosome_3.1278",0.900273201319629,0.0997267986803713,0.83275037842913,165,-21.58,2,18,"858 879",16,"81.25%","87.50%",16,"3'UTR"
"65","Cluster_4425","evm.TU.chromosome_3.1277",-0.275809633290714,0.724190366709286,0.936047539160836,158,-22.6,2,21,"1143 1163",19,"73.68%","78.95%",19,"CDS"
"66","Cluster_4831","evm.TU.chromosome_3.1276",0.804547834834396,0.195452165165604,0.83275037842913,150,-20.57,2,21,"670 690",19,"68.42%","73.68%",19,"CDS"
"67","Cluster_2972","evm.TU.chromosome_6.2010",0.775086805420163,0.224913194579837,0.83275037842913,171,-21.58,2,21,"715 738",21,"80.95%","80.95%",19,"3'UTR"
"68","Cluster_2972","evm.TU.chromosome_6.2014",-0.836167585807532,0.163832414192468,0.83275037842913,168,-25.96,2,21,"844 862",19,"84.21%","84.21%",19,"3'UTR"
"69","Cluster_8986","evm.TU.chromosome_7.2062",-0.548038840172532,0.451961159827468,0.868266096729759,156,-20.18,2,21,"299 318",19,"78.95%","78.95%",19,"3'UTR"
"70","Cluster_492","evm.TU.chromosome_7.2061",-0.446159201634022,0.553840798365978,0.88993296966646,171,-26.77,2,21,"487 509",20,"75.00%","90.00%",19,"CDS"
"71","Cluster_1473","evm.TU.chromosome_7.2065",-0.177225804102079,0.822774195897921,0.960678032305719,166,-24.48,2,15,"426 447",13,"92.31%","100.00%",13,"CDS"
"72","Cluster_9000","evm.TU.chromosome_5.2179",0.276603709099802,0.723396290900198,0.936047539160836,166,-20.87,2,19,"279 300",17,"76.47%","88.24%",17,"3'UTR"
"73","Cluster_4044","evm.TU.chromosome_5.2175",0.926709102865412,0.0732908971345878,0.83275037842913,170,-24.58,2,15,"401 422",13,"100.00%","100.00%",13,"CDS"
"74","Cluster_137","evm.TU.chromosome_5.2173",-0.379190179068402,0.620809820931598,0.90557638189873,169,-23.6,2,20,"309 329",18,"83.33%","88.89%",18,"CDS"
"75","Cluster_1453","evm.TU.chromosome_2.1945",0.914909832994563,0.0850901670054368,0.83275037842913,149,-23.16,2,20,"993 1020",24,"66.67%","70.83%",18,"CDS"
"76","Cluster_4646","evm.TU.chromosome_2.1945",0.448516568522316,0.551483431477684,0.88993296966646,158,-20.52,2,17,"72 92",15,"86.67%","86.67%",15,"3'UTR"
"77","Cluster_4425","evm.TU.chromosome_3.1503",-0.577483639251525,0.422516360748475,0.864178381246496,154,-20.9,2,21,"1319 1339",19,"63.16%","84.21%",19,"CDS"
"78","Cluster_4831","evm.TU.chromosome_3.1503",-0.316704324475162,0.683295675524838,0.923302092842405,160,-26.21,2,20,"1011 1030",18,"72.22%","88.89%",18,"CDS"
"79","Cluster_4831","evm.TU.chromosome_3.1502",0.857598537480111,0.142401462519889,0.83275037842913,159,-22.63,2,16,"981 1002",14,"78.57%","92.86%",14,"CDS"
"80","Cluster_4425","evm.TU.chromosome_12.1197",0.669782694728073,0.330217305271927,0.845250622129963,157,-20.03,2,18,"1912 1933",16,"75.00%","81.25%",16,"CDS"
"81","Cluster_3406","evm.TU.chromosome_12.1193",-0.611115281520553,0.388884718479447,0.858618346556002,155,-20.47,2,21,"42 60",19,"73.68%","84.21%",19,"CDS"
"82","Cluster_1453","evm.TU.chromosome_12.1192",0.506617362170563,0.493382637829437,0.879732140414631,163,-24.8,2,20,"4392 4413",18,"72.22%","83.33%",18,"CDS"
"83","Cluster_4806","evm.TU.chromosome_12.1199",0.943275730926165,0.0567242690738352,0.83275037842913,170,-22.94,2,20,"681 703",19,"84.21%","84.21%",18,"CDS"
"84","Cluster_3293","evm.TU.chromosome_9.966",0.877746157025798,0.122253842974202,0.83275037842913,162,-20.63,2,19,"1148 1168",17,"76.47%","82.35%",17,"CDS"
"85","Cluster_998","evm.TU.chromosome_9.965",-0.788319674565396,0.211680325434604,0.83275037842913,153,-21.72,2,20,"620 639",18,"66.67%","83.33%",18,"CDS"
"86","Cluster_1192","evm.TU.chromosome_9.965",-0.0225241863954183,0.977475813604582,0.99519785999584,166,-23.35,2,19,"150 171",17,"76.47%","88.24%",17,"CDS"
"87","Cluster_1453","evm.TU.chromosome_9.965",0.664306311502337,0.335693688497663,0.845667149244614,157,-22.24,2,18,"958 979",16,"62.50%","93.75%",16,"CDS"
"88","Cluster_508","evm.TU.chromosome_9.964",-0.414643831740616,0.585356168259384,0.896820021524392,167,-26.21,2,20,"3804 3825",18,"72.22%","88.89%",18,"CDS"
"89","Cluster_3293","evm.TU.chromosome_9.963",-0.28419980937896,0.71580019062104,0.934180069571744,154,-20.01,2,19,"3707 3727",17,"70.59%","76.47%",17,"CDS"
"90","Cluster_1192","evm.TU.chromosome_9.961",0.128712355051506,0.871287644948494,0.971414563534827,162,-20.74,2,21,"40 63",21,"76.19%","80.95%",19,"3'UTR"
"91","Cluster_1473","evm.TU.chromosome_9.969",-0.580905234337783,0.419094765662217,0.863982754319149,168,-24.8,2,21,"158 179",19,"73.68%","84.21%",19,"3'UTR"
"92","Cluster_4831","evm.TU.chromosome_12.4018",0.72604752570361,0.27395247429639,0.837661972817968,165,-23.11,2,21,"51 72",20,"80.00%","85.00%",19,"CDS"
"93","Cluster_492","evm.TU.chromosome_12.4017",-0.833401487003254,0.166598512996745,0.83275037842913,156,-20.18,2,17,"109 130",15,"80.00%","80.00%",15,"CDS"
"94","Cluster_4696","evm.TU.chromosome_10.3126",0.519238257659023,0.480761742340977,0.87661629130715,162,-21.37,2,20,"471 494",20,"75.00%","80.00%",18,"CDS"
"95","Cluster_4425","evm.TU.chromosome_10.3127",-0.614482488531277,0.385517511468723,0.857185494355172,161,-22.27,2,19,"3318 3340",18,"77.78%","83.33%",17,"CDS"
"96","Cluster_9000","evm.TU.chromosome_10.3127",-0.867588831876623,0.132411168123377,0.83275037842913,163,-22.59,2,21,"2299 2323",22,"72.73%","77.27%",19,"CDS"
"97","Cluster_4425","evm.TU.chromosome_10.3120",-0.129221266310883,0.870778733689117,0.971248667209972,153,-23.57,2,18,"2419 2437",16,"81.25%","81.25%",16,"CDS"
"98","Cluster_9205","evm.TU.chromosome_10.3120",0.414335626506596,0.585664373493404,0.896820021524392,163,-21.1,2,21,"49 71",20,"75.00%","80.00%",19,"CDS"
"99","Cluster_998","evm.TU.chromosome_10.3121",0.721247348061856,0.278752651938144,0.838096391217235,155,-20.23,2,19,"166 186",18,"77.78%","83.33%",17,"3'UTR"
"100","Cluster_4425","evm.TU.chromosome_10.3123",-0.326995745331648,0.673004254668352,0.921387328148702,159,-22.8,2,20,"509 530",18,"66.67%","83.33%",18,"3'UTR"
"101","Cluster_9000","evm.TU.chromosome_10.3123",-0.302265787544591,0.697734212455409,0.928251060317071,160,-20.17,2,21,"2617 2636",19,"78.95%","84.21%",19,"CDS"
"102","Cluster_3889","evm.TU.chromosome_10.3128",0.571407590368708,0.428592409631292,0.865332536882315,149,-21.35,2,20,"257 283",24,"66.67%","70.83%",18,"CDS"
"103","Cluster_1453","evm.TU.chromosome_10.3129",0.679467052314481,0.320532947685519,0.842930958584572,147,-20.94,2,21,"270 292",20,"60.00%","75.00%",19,"CDS"
"104","Cluster_492","evm.TU.chromosome_4.1067",-0.0823115084543178,0.917688491545682,0.981623088309814,161,-20.51,2,21,"9978 9997",19,"78.95%","78.95%",19,"CDS"
"105","Cluster_3406","evm.TU.chromosome_4.1067",0.229917765674334,0.770082234325666,0.947786871311615,157,-20.98,2,20,"1182 1202",18,"77.78%","77.78%",18,"CDS"
"106","Cluster_4806","evm.TU.chromosome_4.1067",0.660917787824531,0.339082212175469,0.846771258977321,171,-21.05,2,21,"9759 9781",20,"80.00%","85.00%",19,"CDS"
"107","Cluster_5061","evm.TU.chromosome_4.1067",-0.902741343836098,0.0972586561639017,0.83275037842913,154,-20.33,2,21,"7978 7998",19,"68.42%","78.95%",19,"CDS"
"108","Cluster_492","evm.TU.chromosome_4.1063",-0.339152169412786,0.660847830587214,0.91704745293843,163,-22.15,2,21,"2158 2180",20,"75.00%","80.00%",19,"CDS"
"109","Cluster_2097","evm.TU.chromosome_4.1063",-0.0483871881106569,0.951612811889343,0.989669388386136,158,-22.14,2,21,"1318 1344",24,"66.67%","79.17%",19,"CDS"
"110","Cluster_4425","evm.TU.chromosome_4.1062",-0.582445580835187,0.417554419164813,0.863606823782685,150,-20.08,2,21,"650 670",19,"68.42%","73.68%",19,"3'UTR"
"111","Cluster_4425","evm.TU.chromosome_1.1444",-0.712204017446306,0.287795982553694,0.839818057378769,157,-21.03,2,21,"947 968",20,"75.00%","80.00%",19,"3'UTR"
"112","Cluster_1453","evm.TU.chromosome_4.1068",0.755260268170142,0.244739731829858,0.832806364693645,155,-22.67,2,21,"609 631",20,"65.00%","80.00%",19,"CDS"
"113","Cluster_9082","evm.TU.chromosome_11.1334",-0.825899591971725,0.174100408028274,0.83275037842913,155,-20.52,2,20,"614 635",18,"72.22%","72.22%",18,"CDS"
"114","Cluster_9000","evm.TU.chromosome_11.1335",-0.14012295146414,0.85987704853586,0.968427166785007,155,-22.42,2,21,"577 599",20,"65.00%","80.00%",19,"CDS"
"115","Cluster_492","evm.TU.chromosome_13.3454",-0.196519159940365,0.803480840059635,0.956640101803912,152,-22.82,2,20,"1197 1224",24,"70.83%","75.00%",18,"CDS"
"116","Cluster_4754","evm.TU.chromosome_13.3457",0.878407597453698,0.121592402546302,0.83275037842913,162,-20.09,2,21,"238 261",21,"76.19%","80.95%",19,"CDS"
"117","Cluster_4640","evm.TU.chromosome_13.3453",-0.0153368045439407,0.984663195456059,0.996852957653453,168,-25.01,2,21,"1395 1416",19,"73.68%","84.21%",19,"CDS"
"118","Cluster_508","evm.TU.chromosome_14.4914",-0.716249050620986,0.283750949379014,0.838829597363865,162,-20.03,2,21,"87 111",22,"68.18%","86.36%",19,"3'UTR"
"119","Cluster_2073","evm.TU.chromosome_7.2842",0.535424677317965,0.464575322682035,0.871959902345214,171,-22.24,2,21,"189 213",22,"72.73%","86.36%",19,"CDS"
"120","Cluster_1155","evm.TU.chromosome_6.803",0.889460742045797,0.110539257954203,0.83275037842913,156,-21.83,2,19,"2241 2267",22,"72.73%","77.27%",17,"CDS"
"121","Cluster_1192","evm.TU.chromosome_6.803",0.952182638914666,0.0478173610853343,0.83275037842913,156,-21.94,2,19,"2007 2027",17,"76.47%","82.35%",17,"CDS"
"122","Cluster_1452","evm.TU.chromosome_6.803",-0.679264565230052,0.320735434769948,0.842930958584572,164,-23.38,2,21,"3387 3408",19,"73.68%","78.95%",19,"CDS"
"123","Cluster_9000","evm.TU.chromosome_6.803",0.946862026656468,0.053137973343532,0.83275037842913,163,-20.56,2,18,"3217 3237",16,"87.50%","87.50%",16,"CDS"
"124","Cluster_9082","evm.TU.chromosome_6.803",0.448848333677232,0.551151666322768,0.88993296966646,166,-23.51,2,21,"1982 2005",21,"76.19%","85.71%",19,"CDS"
"125","Cluster_1155","evm.TU.chromosome_12.2757",-0.210143212086235,0.789856787913765,0.952891357112494,166,-20.98,2,20,"766 788",19,"78.95%","84.21%",18,"CDS"
"126","Cluster_4831","evm.TU.chromosome_12.2757",0.88214886823208,0.11785113176792,0.83275037842913,154,-22.12,2,21,"192 212",19,"68.42%","78.95%",19,"CDS"
"127","Cluster_3293","evm.TU.chromosome_1.14",0.449208035623258,0.550791964376742,0.88993296966646,166,-20.31,2,20,"2262 2284",20,"75.00%","85.00%",18,"CDS"
"128","Cluster_4831","evm.TU.chromosome_1.14",0.269182290424338,0.730817709575662,0.938098661958673,149,-22.23,2,20,"3471 3499",25,"64.00%","72.00%",18,"CDS"
"129","Cluster_1453","evm.TU.chromosome_1.15",0.554083379755726,0.445916620244274,0.867554012133397,166,-22.93,2,21,"3131 3151",19,"73.68%","89.47%",19,"CDS"
"130","Cluster_3423","evm.TU.chromosome_1.15",-0.873812064699671,0.126187935300329,0.83275037842913,169,-20.5,2,19,"3856 3878",18,"83.33%","88.89%",17,"CDS"
"131","Cluster_247","evm.TU.chromosome_7.1570",0.860461288227001,0.139538711772999,0.83275037842913,165,-20.86,2,19,"30 52",18,"83.33%","83.33%",17,"CDS"
"132","Cluster_3293","evm.TU.chromosome_13.2490",-0.691147323483134,0.308852676516866,0.841700861658627,157,-20.55,2,19,"388 409",18,"72.22%","83.33%",17,"3'UTR"
"133","Cluster_1192","evm.TU.chromosome_13.2496",-0.528715899104062,0.471284100895938,0.873725513619342,158,-26.45,2,20,"82 110",25,"68.00%","72.00%",18,"3'UTR"
"134","Cluster_5061","evm.TU.chromosome_13.2498",-0.671016514962974,0.328983485037026,0.844898217167113,180,-26.29,2,21,"1180 1201",19,"84.21%","89.47%",19,"CDS"
"135","Cluster_4425","evm.TU.chromosome_2.863",-0.0703031235855253,0.929696876414475,0.984623483921582,162,-23.17,2,21,"993 1013",19,"78.95%","78.95%",19,"CDS"
"136","Cluster_1453","evm.TU.chromosome_2.864",0.251182716985649,0.748817283014351,0.942277560828439,151,-21.34,2,21,"345 370",23,"65.22%","69.57%",19,"3'UTR"
"137","Cluster_1453","evm.TU.chromosome_10.1434",0.700208870001605,0.299791129998395,0.840968445782542,163,-22.55,2,20,"805 826",18,"77.78%","77.78%",18,"CDS"
"138","Cluster_1452","evm.TU.chromosome_10.1435",0.777319557432004,0.222680442567996,0.83275037842913,166,-22.82,2,20,"684 706",19,"73.68%","89.47%",18,"3'UTR"
"139","Cluster_1453","evm.TU.chromosome_10.1435",0.983537909495677,0.0164620905043233,0.83275037842913,163,-26.2,2,21,"174 196",20,"70.00%","85.00%",19,"CDS"
"140","Cluster_3037","evm.TU.chromosome_10.1436",0.522454202293999,0.477545797706001,0.875428574776335,164,-22.03,2,17,"358 378",15,"86.67%","86.67%",15,"CDS"
"141","Cluster_1453","evm.TU.chromosome_10.1430",0.790946791099166,0.209053208900834,0.83275037842913,150,-20.65,2,20,"244 269",22,"59.09%","77.27%",18,"CDS"
"142","Cluster_4696","evm.TU.chromosome_10.1432",-0.295882837020477,0.704117162979523,0.93032235374531,166,-22.61,2,20,"228 250",19,"73.68%","89.47%",18,"CDS"
"143","Cluster_4754","evm.TU.chromosome_10.1432",0.237910549433261,0.762089450566739,0.945891937196689,170,-26.81,2,21,"744 768",22,"81.82%","81.82%",19,"CDS"
"144","Cluster_1453","evm.TU.chromosome_11.1222",0.414602695654296,0.585397304345703,0.896820021524392,172,-26.19,2,17,"585 606",15,"86.67%","100.00%",15,"CDS"
"145","Cluster_860","evm.TU.chromosome_11.1223",-0.990310550836658,0.009689449163342,0.83275037842913,171,-22.68,2,21,"1760 1782",20,"80.00%","85.00%",19,"CDS"
"146","Cluster_1192","evm.TU.chromosome_11.1223",-0.556671861441622,0.443328138558378,0.867506740403483,160,-23.22,2,21,"1615 1634",19,"78.95%","84.21%",19,"CDS"
"147","Cluster_1411","evm.TU.chromosome_11.1223",-0.584336604042509,0.415663395957491,0.863091647451858,162,-22.74,2,21,"2480 2500",19,"73.68%","84.21%",19,"CDS"
"148","Cluster_2151","evm.TU.chromosome_9.2348",-0.938651288913066,0.0613487110869341,0.83275037842913,152,-20.22,2,21,"528 549",19,"68.42%","68.42%",19,"3'UTR"
"149","Cluster_2151","evm.TU.chromosome_9.2344",-0.989666188346642,0.0103338116533584,0.83275037842913,148,-21.32,2,21,"817 838",19,"63.16%","68.42%",19,"3'UTR"
"150","Cluster_3730","evm.TU.chromosome_9.2344",-0.640213477955931,0.359786522044069,0.851539136172113,169,-21.67,2,20,"347 367",18,"83.33%","88.89%",18,"CDS"
"151","Cluster_3406","evm.TU.chromosome_4.877",0.131022406250066,0.868977593749934,0.970815746935116,153,-24.44,2,21,"1033 1054",20,"70.00%","80.00%",19,"CDS"
"152","Cluster_4831","evm.TU.chromosome_4.877",0.24792314222254,0.75207685777746,0.943268253979758,160,-21.46,2,20,"1701 1723",20,"80.00%","80.00%",18,"CDS"
"153","Cluster_9000","evm.TU.chromosome_4.878",-0.240084617003502,0.759915382996498,0.945352053468939,173,-25.39,2,21,"3757 3778",20,"85.00%","90.00%",19,"CDS"
"154","Cluster_1452","evm.TU.chromosome_4.879",0.961242999580099,0.0387570004199015,0.83275037842913,153,-24.13,2,21,"1792 1815",22,"68.18%","77.27%",19,"CDS"
