Date,colony_id,Chamber.Channel,Chamber ,Run,Temp.Cat,Treatment,Chamber.Vol.L,Surface.Area.cm2,Notes
20210429,BK-26,7,5,13,12.33,Heat,0.615,NA,NA
20210429,AST-1080,3,1,14,13.6,Heat,0.606,1.812,NA
20210429,AST-1689,5,2,14,13.6,Heat,0.596,2.675,NA
20210429,AST-2731,7,3,14,13.8,Heat,0.61,3.216,NA
20210429,AST-1249,6,4,14,13.2,Heat,0.608,3.337,NA
20210429,BK-27,8,5,14,13.1,Heat,0.615,NA,NA
20210429,AST-1443,5,5,15,10.26,Ambient,0.59,6.545,NA
20210429,AST-2016,7,1,15,10.3,Ambient,0.606,2.901,NA
20210429,AST-1077,3,3,15,10.39,Ambient,0.596,1.543,NA
20210429,AST-1434,6,2,15,10.32,Ambient,0.59,1.974,NA
20210429,BK-28,8,4,15,10.34,Ambient,0.615,NA,NA
20210429,AST-1719,3,3,16,10.67,Ambient,0.595,2.692,NA
20210429,AST-1432,7,1,16,10.79,Ambient,0.6,3.125,NA
20210429,AST-1126,6,2,16,10.63,Ambient,0.6,1.799,NA
20210429,AST-2867,5,5,16,10.63,Ambient,0.595,3.449,NA
20210429,BK-29,8,4,16,10.62,Ambient,0.615,NA,NA
20210527,AST-1109,3,1,17,14.06,Ambient,0.584,2.051,NA
20210527,AST-1568,2,2,17,14.06,Ambient,0.598,1.046,NA
20210527,AST-2060,7,3,17,14.06,Ambient,0.594,1.521,NA
20210527,AST-2880,6,4,17,14.06,Ambient,0.598,5.208,NA
20210527,BK-30,5,5,17,14.06,Ambient,0.6,NA,NA
20210527,AST-1174,6,1,18,14.06,Ambient,0.604,0.456,NA
20210527,AST-1343,3,2,18,14.06,Ambient,0.574,17.451,NA
20210527,AST-1474,7,3,18,14.06,Ambient,0.6,6.434,NA
20210527,AST-1194,5,4,18,14.06,Ambient,0.594,3.402,NA
20210527,BK-31,2,5,18,14.06,Ambient,0.604,NA,NA
20210527,BK-32,3,1,19,17.18,Heat,0.61,NA,NA
20210527,AST-1694,5,2,19,17.18,Heat,0.606,8.252,NA
20210527,AST-1499,7,3,19,17.18,Heat,0.606,2.506,NA
20210527,AST-2669,6,4,19,17.18,Heat,0.61,2.724,NA
20210527,AST-1826,2,5,19,17.18,Heat,0.598,11.655,NA
20210527,AST-1754,5,1,20,17.18,Heat,0.605,1.266,NA
20210527,AST-1152,6,2,20,17.18,Heat,0.596,2.387,NA
20210527,BK-33,2,3,20,17.18,Heat,0.6,NA,NA
20210527,AST-2728,3,4,20,17.18,Heat,0.602,6.11,NA
20210527,AST-2521,2,5,20,17.18,Heat,0.605,2.055,NA
20210624,AST-1692,3,3,21,16.33,Ambient,0.621,0.364,Did not take temp; temp is average of first and last value from PR file
20210624,AST-1412,8,8,21,16.35,Ambient,0.62,1.255,Did not take temp; temp is average of first and last value from PR file
20210624,AST-1458,4,4,21,16,Ambient,0.615,5.33,Did not take temp; temp is average of first and last value from PR file
20210624,AST-2360,7,7,21,16.33,Ambient,0.625,3.469,Did not take temp; temp is average of first and last value from PR file
20210624,BK-35,5,5,21,16.19,Ambient,0.619,NA,Did not take temp; temp is average of first and last value from PR file
20210624,AST-2375,8,8,22,15.04,Ambient,0.61,1.995,Did not take temp; temp is average of first and last value from PR file
20210624,AST-2000,7,7,22,14.93,Ambient,0.605,5.645,Did not take temp; temp is average of first and last value from PR file
20210624,AST-1617,5,5,22,15.46,Ambient,0.628,0.74,Did not take temp; temp is average of first and last value from PR file
20210624,AST-1087,4,4,22,14.94,Ambient,0.608,11.134,Did not take temp; temp is average of first and last value from PR file
20210624,BK-36,2,2,22,15.6,Ambient,0.63,NA,Did not take temp; temp is average of first and last value from PR file
20210624,AST-1498,4,4,23,19.61,Heat,0.625,1.613,Did not take temp; temp is average of first and last value from PR file
20210624,AST-2563,5,5,23,19.71,Heat,0.605,5.757,Did not take temp; temp is average of first and last value from PR file
20210624,AST-1416,2,2,23,20.04,Heat,0.615,2.071,Did not take temp; temp is average of first and last value from PR file
20210624,AST-2512,8,8,23,20.08,Heat,0.63,1.299,Did not take temp; temp is average of first and last value from PR file
20210624,BK-37,7,7,23,20,Heat,0.63,NA,Did not take temp; temp is average of first and last value from PR file
20210624,AST-1578,4,4,24,19.58,Heat,0.62,5.531,Did not take temp; temp is average of first and last value from PR file
20210624,AST-2404,8,8,24,20.04,Heat,0.61,2.17,Did not take temp; temp is average of first and last value from PR file
20210624,AST-1562,2,2,24,20.05,Heat,0.6,7.724,Did not take temp; temp is average of first and last value from PR file
20210624,AST-2412,7,7,24,20.27,Heat,0.615,4.334,Did not take temp; temp is average of first and last value from PR file
20210624,BK-38,5,5,24,20.21,Heat,0.635,NA,Did not take temp; temp is average of first and last value from PR file
20210722,AST-1167,7,7,25,19.21,Ambient,0.615,5.294,Spilled some water while taking volume
20210722,AST-1290,8,8,25,19.21,Ambient,0.625,6.603,NA
20210722,AST-2208,4,4,25,19.21,Ambient,0.61,2.144,Spilled some water while taking volume
20210722,AST-1255,5,5,25,19.21,Ambient,0.625,5.825,NA
20210722,BK-41,2,2,25,19.21,Ambient,0.64,NA,NA
20210722,AST-1189,2,2,26,19.75,Ambient,0.63,0.659,NA
20210722,AST-1748,8,8,26,19.75,Ambient,0.62,33.4,NA
20210722,AST-2168,5,5,26,19.75,Ambient,0.63,3.735,NA
20210722,AST-1145,4,4,26,19.75,Ambient,0.63,0.949,NA
20210722,BK-42,7,7,26,19.75,Ambient,0.645,NA,NA
20210722,AST-2870,4,4,27,22.78,Heat,0.63,3.256,NA
20210722,AST-1540,7,7,27,22.78,Heat,0.635,1.693,NA
20210722,AST-2044,2,2,27,22.78,Heat,0.61,1.407,NA
20210722,AST-1117,5,5,27,22.78,Heat,0.62,1.263,NA
20210722,BK-43,8,8,27,22.78,Heat,0.635,NA,NA
20210722,AST-2079,5,5,28,24,Heat,0.61,2.403,NA
20210722,AST-1742,4,4,28,24,Heat,0.625,4.615,NA
20210722,AST-1074,2,2,28,24,Heat,0.62,3.437,NA
20210722,AST-1698,7,7,28,24,Heat,0.625,0.917,NA
20210722,BK-44,8,8,28,24,Heat,0.64,NA,NA
20210819,AST-2523,2,2,29,20.35,Ambient,0.61,1.03,NA
20210819,AST-3002,4,4,29,20.35,Ambient,0.6,10.246,NA
20210819,AST-1739,5,5,29,20.35,Ambient,0.62,13.743,NA
20210819,AST-2302,7,7,29,20.35,Ambient,0.635,4.153,NA
20210819,BK-47,8,8,29,20.35,Ambient,0.64,NA,NA
20210819,AST-1159,8,8,30,20.78,Ambient,0.625,6.942,NA
20210819,AST-1105,7,7,30,20.78,Ambient,0.625,3.973,NA
20210819,AST-1560,5,5,30,20.78,Ambient,0.635,1.149,NA
20210819,AST-1091,4,4,30,20.78,Ambient,0.615,3.335,NA
20210819,BK-48,2,2,30,20.78,Ambient,0.64,NA,NA
20210819,AST-1647,4,4,31,23.74,Heat,0.61,14.396,NA
20210819,AST-2755,5,5,31,23.74,Heat,0.635,1.43,NA
20210819,AST-1486,8,8,31,23.74,Heat,0.62,8.847,NA
20210819,AST-1041,2,2,31,23.74,Heat,0.625,3.734,NA
20210819,BK-49,7,7,31,23.74,Heat,0.63,NA,NA
20210819,AST-2007,8,8,32,24.5,Heat,0.625,5.155,NA
20210819,AST-1065,7,7,32,24.5,Heat,0.635,0.777,NA
20210819,AST-2729,5,5,32,24.5,Heat,0.63,3.795,NA
20210819,AST-2211,4,4,32,24.5,Heat,0.625,3.961,NA
20210819,BK-50,2,2,32,24.5,Heat,0.64,NA,NA
