"","mRNA","GO","Term","Annotated","Significant","Expected","Fisher","ontology","sig.prop"
"103","evm.TU.chromosome_9.120","GO:0031012","extracellular matrix",564,5,0.6,0.0245,"Cellular Components",0.00886524822695036
"104","evm.TU.chromosome_9.120","GO:0005576","extracellular region",3164,11,3.37,0.0107,"Cellular Components",0.00347661188369153
"105","evm.TU.chromosome_9.2201","GO:0005584","collagen type I trimer",12,3,0.01,2.2e-07,"Cellular Components",0.25
"106","evm.TU.chromosome_9.2201","GO:0070062","extracellular exosome",960,5,1.02,0.0027,"Cellular Components",0.00520833333333333
"107","evm.TU.chromosome_9.2201","GO:0031012","extracellular matrix",564,5,0.6,0.0245,"Cellular Components",0.00886524822695036
"108","evm.TU.chromosome_9.2201","GO:0005576","extracellular region",3164,11,3.37,0.0107,"Cellular Components",0.00347661188369153
"109","evm.TU.chromosome_12.372","GO:0009279","cell outer membrane",10,1,0.01,0.0106,"Cellular Components",0.1
"110","evm.TU.chromosome_12.372","GO:0005576","extracellular region",3164,11,3.37,0.0107,"Cellular Components",0.00347661188369153
"111","evm.TU.chromosome_13.3854","GO:0070062","extracellular exosome",960,5,1.02,0.0027,"Cellular Components",0.00520833333333333
"112","evm.TU.chromosome_13.3854","GO:0031012","extracellular matrix",564,5,0.6,0.0245,"Cellular Components",0.00886524822695036
"113","evm.TU.chromosome_13.3854","GO:0005576","extracellular region",3164,11,3.37,0.0107,"Cellular Components",0.00347661188369153
"114","evm.TU.chromosome_14.624","GO:0005576","extracellular region",3164,11,3.37,0.0107,"Cellular Components",0.00347661188369153
"115","evm.TU.chromosome_14.624","GO:0005576","extracellular region",3164,11,3.37,0.0107,"Cellular Components",0.00347661188369153
"116","evm.TU.chromosome_1.1534","GO:0047837","D-xylose 1-dehydrogenase (NADP+) activity",3,1,0.03,0.0259,"Molecular Functions",0.333333333333333
"117","evm.TU.chromosome_1.1534","GO:0047115","trans-1,2-dihydrobenzene-1,2-diol dehydrogenase act...",3,1,0.03,0.0259,"Molecular Functions",0.333333333333333
"118","evm.TU.chromosome_2.771","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"119","evm.TU.chromosome_2.771","GO:0048273","mitogen-activated protein kinase p38 binding",3,1,0.03,0.0259,"Molecular Functions",0.333333333333333
"120","evm.TU.chromosome_2.771","GO:0051525","NFAT protein binding",1,1,0.01,0.0087,"Molecular Functions",1
"121","evm.TU.chromosome_2.771","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"122","evm.TU.chromosome_2.644","GO:0051879","Hsp90 protein binding",20,2,0.17,0.0129,"Molecular Functions",0.1
"123","evm.TU.chromosome_2.644","GO:0008017","microtubule binding",145,4,1.26,0.0382,"Molecular Functions",0.0275862068965517
"124","evm.TU.chromosome_2.644","GO:0051787","misfolded protein binding",4,1,0.03,0.0344,"Molecular Functions",0.25
"125","evm.TU.chromosome_2.644","GO:0048156","tau protein binding",7,2,0.06,0.0015,"Molecular Functions",0.285714285714286
"126","evm.TU.chromosome_2.644","GO:0042903","tubulin deacetylase activity",1,1,0.01,0.0087,"Molecular Functions",1
"127","evm.TU.chromosome_2.644","GO:0031625","ubiquitin protein ligase binding",324,7,2.82,0.0237,"Molecular Functions",0.0216049382716049
"128","evm.TU.chromosome_3.2012","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"129","evm.TU.chromosome_3.2012","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"130","evm.TU.chromosome_3.1928","GO:0052909","18S rRNA (adenine(1779)-N(6)/adenine(1780)-N(6))-di...",2,1,0.02,0.0174,"Molecular Functions",0.5
"131","evm.TU.chromosome_4.1254","GO:0051879","Hsp90 protein binding",20,2,0.17,0.0129,"Molecular Functions",0.1
"132","evm.TU.chromosome_4.2503","GO:0004586","ornithine decarboxylase activity",1,1,0.01,0.0087,"Molecular Functions",1
"133","evm.TU.chromosome_4.29","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"134","evm.TU.chromosome_4.29","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"135","evm.TU.chromosome_4.627","GO:0000386","second spliceosomal transesterification activity",2,1,0.02,0.0174,"Molecular Functions",0.5
"136","evm.TU.chromosome_4.627","GO:0030620","U2 snRNA binding",3,1,0.03,0.0259,"Molecular Functions",0.333333333333333
"137","evm.TU.chromosome_4.627","GO:0030623","U5 snRNA binding",1,1,0.01,0.0087,"Molecular Functions",1
"138","evm.TU.chromosome_4.627","GO:0030623","U5 snRNA binding",1,1,0.01,0.0087,"Molecular Functions",1
"139","evm.TU.chromosome_5.1754","GO:0001046","core promoter sequence-specific DNA binding",39,2,0.34,0.0453,"Molecular Functions",0.0512820512820513
"140","evm.TU.chromosome_5.1840","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"141","evm.TU.chromosome_5.1840","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"142","evm.TU.chromosome_5.1067","GO:0050038","L-xylulose reductase (NADPH) activity",2,1,0.02,0.0174,"Molecular Functions",0.5
"143","evm.TU.chromosome_5.1665","GO:0016300","tRNA (uridine) methyltransferase activity",4,1,0.03,0.0344,"Molecular Functions",0.25
"144","evm.TU.chromosome_5.372","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"145","evm.TU.chromosome_5.372","GO:0004386","helicase activity",274,7,2.39,0.0075,"Molecular Functions",0.0255474452554745
"146","evm.TU.chromosome_5.372","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"147","evm.TU.chromosome_6.1115","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"148","evm.TU.chromosome_6.1115","GO:0036033","mediator complex binding",4,1,0.03,0.0344,"Molecular Functions",0.25
"149","evm.TU.chromosome_6.2473","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"150","evm.TU.chromosome_6.2473","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"151","evm.TU.chromosome_6.2907","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"152","evm.TU.chromosome_6.2907","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"153","evm.TU.chromosome_6.2924","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"154","evm.TU.chromosome_6.2924","GO:0004819","glutamine-tRNA ligase activity",2,1,0.02,0.0174,"Molecular Functions",0.5
"155","evm.TU.chromosome_6.2924","GO:0004823","leucine-tRNA ligase activity",1,1,0.01,0.0087,"Molecular Functions",1
"156","evm.TU.chromosome_6.2924","GO:0004832","valine-tRNA ligase activity",2,1,0.02,0.0174,"Molecular Functions",0.5
"157","evm.TU.chromosome_6.2924","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"158","evm.TU.chromosome_6.2924","GO:0004819","glutamine-tRNA ligase activity",2,1,0.02,0.0174,"Molecular Functions",0.5
"159","evm.TU.chromosome_6.2924","GO:0004823","leucine-tRNA ligase activity",1,1,0.01,0.0087,"Molecular Functions",1
"160","evm.TU.chromosome_6.640","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"161","evm.TU.chromosome_6.640","GO:0005133","type II interferon receptor binding",2,1,0.02,0.0174,"Molecular Functions",0.5
"162","evm.TU.chromosome_6.640","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"163","evm.TU.chromosome_6.2326","GO:0043423","3-phosphoinositide-dependent protein kinase binding",1,1,0.01,0.0087,"Molecular Functions",1
"164","evm.TU.chromosome_6.2326","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"165","evm.TU.chromosome_6.2326","GO:0031625","ubiquitin protein ligase binding",324,7,2.82,0.0237,"Molecular Functions",0.0216049382716049
"166","evm.TU.chromosome_6.2326","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"167","evm.TU.chromosome_6.941","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"168","evm.TU.chromosome_6.941","GO:0031625","ubiquitin protein ligase binding",324,7,2.82,0.0237,"Molecular Functions",0.0216049382716049
"169","evm.TU.chromosome_6.941","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"170","evm.TU.chromosome_7.299","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"171","evm.TU.chromosome_7.299","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"172","evm.TU.chromosome_7.854","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"173","evm.TU.chromosome_7.2451","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"174","evm.TU.chromosome_7.365","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"175","evm.TU.chromosome_7.365","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"176","evm.TU.chromosome_8.1515","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"177","evm.TU.chromosome_8.2734","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"178","evm.TU.chromosome_8.2734","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"179","evm.TU.chromosome_8.1187","GO:0008449","N-acetylglucosamine-6-sulfatase activity",2,1,0.02,0.0174,"Molecular Functions",0.5
"180","evm.TU.chromosome_8.2061","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"181","evm.TU.chromosome_8.2061","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"182","evm.TU.chromosome_9.1523","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"183","evm.TU.chromosome_9.2817","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"184","evm.TU.chromosome_9.2817","GO:0008017","microtubule binding",145,4,1.26,0.0382,"Molecular Functions",0.0275862068965517
"185","evm.TU.chromosome_9.2817","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"186","evm.TU.chromosome_9.2817","GO:0008017","microtubule binding",145,4,1.26,0.0382,"Molecular Functions",0.0275862068965517
"187","evm.TU.chromosome_9.2736","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"188","evm.TU.chromosome_9.2736","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"189","evm.TU.chromosome_9.1516","GO:0008265","molybdenum cofactor sulfurtransferase activity",1,1,0.01,0.0087,"Molecular Functions",1
"190","evm.TU.chromosome_9.1516","GO:0008265","molybdenum cofactor sulfurtransferase activity",1,1,0.01,0.0087,"Molecular Functions",1
"191","evm.TU.chromosome_9.2357","GO:0000016","lactase activity",3,1,0.03,0.0259,"Molecular Functions",0.333333333333333
"192","evm.TU.chromosome_9.1549","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"193","evm.TU.chromosome_9.1549","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"194","evm.TU.chromosome_9.1549","GO:0004386","helicase activity",274,7,2.39,0.0075,"Molecular Functions",0.0255474452554745
"195","evm.TU.chromosome_9.1771","GO:0004579","dolichyl-diphosphooligosaccharide-protein glycotran...",5,1,0.04,0.0428,"Molecular Functions",0.2
"196","evm.TU.chromosome_9.1771","GO:0004579","dolichyl-diphosphooligosaccharide-protein glycotran...",5,1,0.04,0.0428,"Molecular Functions",0.2
"197","evm.TU.chromosome_9.249","GO:0015232","heme transmembrane transporter activity",2,1,0.02,0.0174,"Molecular Functions",0.5
"198","evm.TU.chromosome_9.249","GO:0015232","heme transmembrane transporter activity",2,1,0.02,0.0174,"Molecular Functions",0.5
"199","evm.TU.chromosome_10.3018","GO:0050111","mycocerosate synthase activity",4,1,0.03,0.0344,"Molecular Functions",0.25
"200","evm.TU.chromosome_10.3018","GO:0031177","phosphopantetheine binding",13,2,0.11,0.0055,"Molecular Functions",0.153846153846154
"201","evm.TU.chromosome_10.3018","GO:0016788","hydrolase activity, acting on ester bonds",1467,12,12.79,0.0271,"Molecular Functions",0.0081799591002045
"202","evm.TU.chromosome_10.2472","GO:0008017","microtubule binding",145,4,1.26,0.0382,"Molecular Functions",0.0275862068965517
"203","evm.TU.chromosome_10.2472","GO:0008017","microtubule binding",145,4,1.26,0.0382,"Molecular Functions",0.0275862068965517
"204","evm.TU.chromosome_10.2390","GO:0005049","nuclear export signal receptor activity",5,1,0.04,0.0428,"Molecular Functions",0.2
"205","evm.TU.chromosome_10.3030","GO:0016788","hydrolase activity, acting on ester bonds",1467,12,12.79,0.0271,"Molecular Functions",0.0081799591002045
"206","evm.TU.chromosome_10.3030","GO:0031177","phosphopantetheine binding",13,2,0.11,0.0055,"Molecular Functions",0.153846153846154
"207","evm.TU.chromosome_10.3030","GO:0016788","hydrolase activity, acting on ester bonds",1467,12,12.79,0.0271,"Molecular Functions",0.0081799591002045
"208","evm.TU.chromosome_11.2778","GO:0005164","tumor necrosis factor receptor binding",140,4,1.22,0.0343,"Molecular Functions",0.0285714285714286
"209","evm.TU.chromosome_11.2778","GO:0031625","ubiquitin protein ligase binding",324,7,2.82,0.0237,"Molecular Functions",0.0216049382716049
"210","evm.TU.chromosome_11.3053","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"211","evm.TU.chromosome_11.3053","GO:0004386","helicase activity",274,7,2.39,0.0075,"Molecular Functions",0.0255474452554745
