readfile	mapping_type	read_length	count
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1147_R1_001.fastq.gz_1.bam	U	21	117060
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1147_R1_001.fastq.gz_1.bam	U	22	211656
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1147_R1_001.fastq.gz_1.bam	U	23	248254
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1147_R1_001.fastq.gz_1.bam	U	24	140063
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1147_R1_001.fastq.gz_1.bam	U	>24	6420172
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1147_R1_001.fastq.gz_1.bam	P	<21	494276
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1147_R1_001.fastq.gz_1.bam	P	21	143150
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1147_R1_001.fastq.gz_1.bam	P	22	216103
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1147_R1_001.fastq.gz_1.bam	P	23	221674
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1147_R1_001.fastq.gz_1.bam	P	24	172863
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1147_R1_001.fastq.gz_1.bam	P	>24	10521031
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1147_R1_001.fastq.gz_1.bam	R	<21	470776
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1147_R1_001.fastq.gz_1.bam	R	21	159416
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1147_R1_001.fastq.gz_1.bam	R	22	183967
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1147_R1_001.fastq.gz_1.bam	R	23	175825
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1147_R1_001.fastq.gz_1.bam	R	24	192150
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1147_R1_001.fastq.gz_1.bam	R	>24	3546617
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1147_R1_001.fastq.gz_1.bam	H	<21	72951
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1147_R1_001.fastq.gz_1.bam	H	21	13437
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1147_R1_001.fastq.gz_1.bam	H	22	7948
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1147_R1_001.fastq.gz_1.bam	H	23	11924
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1147_R1_001.fastq.gz_1.bam	H	24	23156
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1147_R1_001.fastq.gz_1.bam	H	>24	364478
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1147_R1_001.fastq.gz_1.bam	N	<21	1397028
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1147_R1_001.fastq.gz_1.bam	N	21	617079
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1147_R1_001.fastq.gz_1.bam	N	22	531539
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1147_R1_001.fastq.gz_1.bam	N	23	529224
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1147_R1_001.fastq.gz_1.bam	N	24	589262
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1147_R1_001.fastq.gz_1.bam	N	>24	12157812
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1412_R1_001.fastq.gz_1.bam	U	<21	111833
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1412_R1_001.fastq.gz_1.bam	U	21	17232
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1412_R1_001.fastq.gz_1.bam	U	22	36428
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1412_R1_001.fastq.gz_1.bam	U	23	21806
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1412_R1_001.fastq.gz_1.bam	U	24	15527
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1412_R1_001.fastq.gz_1.bam	U	>24	591911
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1412_R1_001.fastq.gz_1.bam	P	<21	74825
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1412_R1_001.fastq.gz_1.bam	P	21	16309
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1412_R1_001.fastq.gz_1.bam	P	22	19897
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1412_R1_001.fastq.gz_1.bam	P	23	21473
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1412_R1_001.fastq.gz_1.bam	P	24	18953
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1412_R1_001.fastq.gz_1.bam	P	>24	775801
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1412_R1_001.fastq.gz_1.bam	R	<21	117335
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1412_R1_001.fastq.gz_1.bam	R	21	35375
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1412_R1_001.fastq.gz_1.bam	R	22	41423
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1412_R1_001.fastq.gz_1.bam	R	23	40501
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1412_R1_001.fastq.gz_1.bam	R	24	39692
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1412_R1_001.fastq.gz_1.bam	R	>24	746164
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1412_R1_001.fastq.gz_1.bam	H	<21	5692
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1412_R1_001.fastq.gz_1.bam	H	21	808
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1412_R1_001.fastq.gz_1.bam	H	22	562
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1412_R1_001.fastq.gz_1.bam	H	23	1080
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1412_R1_001.fastq.gz_1.bam	H	24	1216
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1412_R1_001.fastq.gz_1.bam	H	>24	26965
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1412_R1_001.fastq.gz_1.bam	N	<21	1023807
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1412_R1_001.fastq.gz_1.bam	N	21	682205
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1412_R1_001.fastq.gz_1.bam	N	22	627022
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1412_R1_001.fastq.gz_1.bam	N	23	552559
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1412_R1_001.fastq.gz_1.bam	N	24	571785
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1412_R1_001.fastq.gz_1.bam	N	>24	10043369
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1560_R1_001.fastq.gz_1.bam	U	<21	130156
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1560_R1_001.fastq.gz_1.bam	U	21	6500
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1560_R1_001.fastq.gz_1.bam	U	22	4756
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1560_R1_001.fastq.gz_1.bam	U	23	3028
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1560_R1_001.fastq.gz_1.bam	U	24	2595
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1560_R1_001.fastq.gz_1.bam	U	>24	43883
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1560_R1_001.fastq.gz_1.bam	P	<21	47607
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1560_R1_001.fastq.gz_1.bam	P	21	4906
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1560_R1_001.fastq.gz_1.bam	P	22	5539
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1560_R1_001.fastq.gz_1.bam	P	23	3686
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1560_R1_001.fastq.gz_1.bam	P	24	2813
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1560_R1_001.fastq.gz_1.bam	P	>24	165774
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1560_R1_001.fastq.gz_1.bam	R	<21	99171
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1560_R1_001.fastq.gz_1.bam	R	21	25896
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1560_R1_001.fastq.gz_1.bam	R	22	25508
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1560_R1_001.fastq.gz_1.bam	R	23	25838
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1560_R1_001.fastq.gz_1.bam	R	24	24354
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1560_R1_001.fastq.gz_1.bam	R	>24	207183
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1560_R1_001.fastq.gz_1.bam	H	<21	1753
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1560_R1_001.fastq.gz_1.bam	H	21	111
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1560_R1_001.fastq.gz_1.bam	H	22	62
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1560_R1_001.fastq.gz_1.bam	H	23	52
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1560_R1_001.fastq.gz_1.bam	H	24	58
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1560_R1_001.fastq.gz_1.bam	H	>24	953
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1560_R1_001.fastq.gz_1.bam	N	<21	1559098
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1560_R1_001.fastq.gz_1.bam	N	21	783861
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1560_R1_001.fastq.gz_1.bam	N	22	1168430
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1560_R1_001.fastq.gz_1.bam	N	23	957641
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1560_R1_001.fastq.gz_1.bam	N	24	791881
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1560_R1_001.fastq.gz_1.bam	N	>24	11733931
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1567_R1_001.fastq.gz_1.bam	U	<21	169934
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1567_R1_001.fastq.gz_1.bam	U	21	20014
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1567_R1_001.fastq.gz_1.bam	U	22	29552
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1567_R1_001.fastq.gz_1.bam	U	23	37071
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1567_R1_001.fastq.gz_1.bam	U	24	17477
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1567_R1_001.fastq.gz_1.bam	U	>24	580332
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1567_R1_001.fastq.gz_1.bam	P	<21	125840
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1567_R1_001.fastq.gz_1.bam	P	21	25710
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1567_R1_001.fastq.gz_1.bam	P	22	35197
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1567_R1_001.fastq.gz_1.bam	P	23	27020
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1567_R1_001.fastq.gz_1.bam	P	24	23893
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1567_R1_001.fastq.gz_1.bam	P	>24	1266627
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1567_R1_001.fastq.gz_1.bam	R	<21	176949
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1567_R1_001.fastq.gz_1.bam	R	21	57715
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1567_R1_001.fastq.gz_1.bam	R	22	63669
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1567_R1_001.fastq.gz_1.bam	R	23	62697
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1567_R1_001.fastq.gz_1.bam	R	24	63052
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1567_R1_001.fastq.gz_1.bam	R	>24	736391
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1567_R1_001.fastq.gz_1.bam	H	<21	6309
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1567_R1_001.fastq.gz_1.bam	H	21	1289
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1567_R1_001.fastq.gz_1.bam	H	22	780
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1567_R1_001.fastq.gz_1.bam	H	23	2376
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1567_R1_001.fastq.gz_1.bam	H	24	2687
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1567_R1_001.fastq.gz_1.bam	H	>24	32153
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1567_R1_001.fastq.gz_1.bam	N	<21	1174561
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1567_R1_001.fastq.gz_1.bam	N	21	564895
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1567_R1_001.fastq.gz_1.bam	N	22	593181
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1567_R1_001.fastq.gz_1.bam	N	23	562762
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1567_R1_001.fastq.gz_1.bam	N	24	577505
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1567_R1_001.fastq.gz_1.bam	N	>24	9573759
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1617_R1_001.fastq.gz_1.bam	U	<21	119825
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1617_R1_001.fastq.gz_1.bam	U	21	31462
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1617_R1_001.fastq.gz_1.bam	U	22	39719
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1617_R1_001.fastq.gz_1.bam	U	23	48113
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1617_R1_001.fastq.gz_1.bam	U	24	42174
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1617_R1_001.fastq.gz_1.bam	U	>24	1828564
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1617_R1_001.fastq.gz_1.bam	P	<21	131365
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1617_R1_001.fastq.gz_1.bam	P	21	49045
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1617_R1_001.fastq.gz_1.bam	P	22	53250
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1617_R1_001.fastq.gz_1.bam	P	23	51312
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1617_R1_001.fastq.gz_1.bam	P	24	63197
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1617_R1_001.fastq.gz_1.bam	P	>24	2482829
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1617_R1_001.fastq.gz_1.bam	R	<21	167651
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1617_R1_001.fastq.gz_1.bam	R	21	61763
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1617_R1_001.fastq.gz_1.bam	R	22	86336
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1617_R1_001.fastq.gz_1.bam	R	23	72784
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1617_R1_001.fastq.gz_1.bam	R	24	79601
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1617_R1_001.fastq.gz_1.bam	R	>24	1425864
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1617_R1_001.fastq.gz_1.bam	H	<21	7905
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1617_R1_001.fastq.gz_1.bam	H	21	1540
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1617_R1_001.fastq.gz_1.bam	H	22	1781
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1617_R1_001.fastq.gz_1.bam	H	23	4304
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1617_R1_001.fastq.gz_1.bam	H	24	5372
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1617_R1_001.fastq.gz_1.bam	H	>24	109318
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1617_R1_001.fastq.gz_1.bam	N	<21	763339
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1617_R1_001.fastq.gz_1.bam	N	21	410674
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1617_R1_001.fastq.gz_1.bam	N	22	288908
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1617_R1_001.fastq.gz_1.bam	N	23	261957
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1617_R1_001.fastq.gz_1.bam	N	24	262850
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1617_R1_001.fastq.gz_1.bam	N	>24	7124915
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1722_R1_001.fastq.gz_1.bam	U	<21	168562
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1722_R1_001.fastq.gz_1.bam	U	21	41547
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1722_R1_001.fastq.gz_1.bam	U	22	76359
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1722_R1_001.fastq.gz_1.bam	U	23	86613
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1722_R1_001.fastq.gz_1.bam	U	24	57719
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1722_R1_001.fastq.gz_1.bam	U	>24	2144226
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1722_R1_001.fastq.gz_1.bam	P	<21	258302
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1722_R1_001.fastq.gz_1.bam	P	21	64341
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1722_R1_001.fastq.gz_1.bam	P	22	92748
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1722_R1_001.fastq.gz_1.bam	P	23	95597
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1722_R1_001.fastq.gz_1.bam	P	24	91881
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1722_R1_001.fastq.gz_1.bam	P	>24	4590869
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1722_R1_001.fastq.gz_1.bam	R	<21	338620
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1722_R1_001.fastq.gz_1.bam	R	21	119024
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1722_R1_001.fastq.gz_1.bam	R	22	148631
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1722_R1_001.fastq.gz_1.bam	R	23	137933
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1722_R1_001.fastq.gz_1.bam	R	24	151433
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1722_R1_001.fastq.gz_1.bam	R	>24	2392582
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1722_R1_001.fastq.gz_1.bam	H	<21	17861
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1722_R1_001.fastq.gz_1.bam	H	21	2953
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1722_R1_001.fastq.gz_1.bam	H	22	2691
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1722_R1_001.fastq.gz_1.bam	H	23	14994
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1722_R1_001.fastq.gz_1.bam	H	24	9117
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1722_R1_001.fastq.gz_1.bam	H	>24	132167
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1722_R1_001.fastq.gz_1.bam	N	<21	345570
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1722_R1_001.fastq.gz_1.bam	N	21	160760
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1722_R1_001.fastq.gz_1.bam	N	22	159835
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1722_R1_001.fastq.gz_1.bam	N	23	151633
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1722_R1_001.fastq.gz_1.bam	N	24	164672
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1722_R1_001.fastq.gz_1.bam	N	>24	4210981
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-2000_R1_001.fastq.gz_1.bam	U	<21	184851
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-2000_R1_001.fastq.gz_1.bam	U	21	37770
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-2000_R1_001.fastq.gz_1.bam	U	22	44824
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-2000_R1_001.fastq.gz_1.bam	U	23	42433
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-2000_R1_001.fastq.gz_1.bam	U	24	38261
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-2000_R1_001.fastq.gz_1.bam	U	>24	1140398
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-2000_R1_001.fastq.gz_1.bam	P	<21	207354
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-2000_R1_001.fastq.gz_1.bam	P	21	36986
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-2000_R1_001.fastq.gz_1.bam	P	22	37106
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-2000_R1_001.fastq.gz_1.bam	P	23	43213
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-2000_R1_001.fastq.gz_1.bam	P	24	44894
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-2000_R1_001.fastq.gz_1.bam	P	>24	2253724
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-2000_R1_001.fastq.gz_1.bam	R	<21	188238
