Coords	Name	MIRNA	AST-1065_R1_001.fastq.gz_1	AST-1147_R1_001.fastq.gz_1	AST-1412_R1_001.fastq.gz_1	AST-1560_R1_001.fastq.gz_1	AST-1567_R1_001.fastq.gz_1	AST-1617_R1_001.fastq.gz_1	AST-1722_R1_001.fastq.gz_1	AST-2000_R1_001.fastq.gz_1	AST-2007_R1_001.fastq.gz_1	AST-2302_R1_001.fastq.gz_1	AST-2360_R1_001.fastq.gz_1	AST-2398_R1_001.fastq.gz_1	AST-2404_R1_001.fastq.gz_1	AST-2412_R1_001.fastq.gz_1	AST-2512_R1_001.fastq.gz_1	AST-2523_R1_001.fastq.gz_1	AST-2563_R1_001.fastq.gz_1	AST-2729_R1_001.fastq.gz_1	AST-2755_R1_001.fastq.gz_1
chromosome_1:901339-901766	Cluster_14	N	0	648	0	3	0	0	3	0	11	0	0	0	3	0	0	4	0	0	0
chromosome_1:905232-905661	Cluster_15	N	767	2640	87	3	45	91	8	388	26	1482	3	8837	0	0	37	27	12	0	1
chromosome_1:1374887-1375307	Cluster_16	N	0	90	2	0	96	1	80	9	56	0	0	28	123	0	0	0	0	0	3
chromosome_1:1422296-1422725	Cluster_17	N	0	5058	11	0	560	0	0	0	75	0	8	0	0	0	0	1	0	1	0
chromosome_1:1488304-1488732	Cluster_18	N	0	132	0	0	1	1	0	0	0	827	0	0	0	2	0	0	0	0	2
chromosome_1:1571277-1571794	Cluster_19	N	0	78	243	0	0	2	2396	164	8	1	6	0	11	60	18	786	2	4	0
chromosome_1:1848834-1849251	Cluster_20	N	37	5	92	7	0	62	0	23	15	320	40	1	188	16	16	335	20	56	59
chromosome_1:1874737-1875165	Cluster_21	N	0	1	15	0	8	4	183	250	13	272	0	1278	2004	11	1	0	129	12	0
chromosome_1:1997538-1997965	Cluster_22	N	0	2	0	0	0	0	428	0	68	0	1	0	0	1	0	0	2	1	9
chromosome_1:2059342-2059770	Cluster_23	N	0	3	0	0	0	0	23	53	61	43	0	0	0	39	2137	1	0	1	4
chromosome_1:2186409-2186874	Cluster_24	N	3	2	0	0	3	1486	369	9	0	771	0	1	836	0	0	2	1	1	1
chromosome_1:2191044-2191473	Cluster_25	N	7	31462	1	2	2	13	2	1	2	1	3	0	3	0	2	310	1	0	363
chromosome_1:2338005-2338549	Cluster_26	N	5	156	19	0	37	20	136	3	21	469	11	29	76	41	0	10	100	4	4
chromosome_1:2349820-2350249	Cluster_27	N	10	12	2	0	0	2	45	7	0	698	0	18	4	0	2	3	0	1	264
chromosome_1:2636808-2637224	Cluster_28	N	1	203	8	24	31	17	1	16	0	0	5	103	2	18	24	3	2	0	3
chromosome_1:2875922-2876340	Cluster_29	N	33	32	36	0	0	1	18	110	129	29	20	2	7	13	16	5	1	0	9
chromosome_1:2984897-2984988	Cluster_30	Y	38	1366	118	12	449	158	613	129	97	294	22	346	105	17	2	88	85	44	140
chromosome_1:3126488-3126906	Cluster_31	N	25	87	75	0	8	0	27	61	238	138	139	0	20	17	15	28	2	0	127
chromosome_1:3154679-3155097	Cluster_32	N	16	34	220	49	66	51	22	79	0	21	51	45	27	49	61	8	28	10	30
chromosome_1:3338360-3338785	Cluster_33	N	2	0	4	0	74	0	386	0	1	4	0	0	134	0	0	0	6	0	0
chromosome_1:3574188-3574614	Cluster_34	N	0	0	0	0	0	0	0	0	1	0	0	544	0	0	0	1	1	0	0
chromosome_1:3843097-3843524	Cluster_35	N	0	1	0	0	0	0	937	0	0	0	0	0	0	0	2	0	0	0	0
chromosome_1:4007201-4007618	Cluster_36	N	387	0	0	0	0	1	0	2	0	1	3	0	5	5	0	0	45	14	0
chromosome_1:4077037-4077465	Cluster_37	N	33	0	15	0	5	148	0	10	1	80	2	5	0	0	50	56	0	0	2
chromosome_1:4390415-4390844	Cluster_38	N	0	1	2	2	1	8	1	0	0	0	0	1	4	1	1	357	2	1	373
chromosome_1:4402984-4403410	Cluster_39	N	41	517	3	0	9	42	226	69	13	13	12	41	54	11	4	68	33	0	109
chromosome_1:4503778-4504199	Cluster_40	N	19	579	16	3	75	26	141	67	13	67	9	132	158	26	12	26	17	9	34
chromosome_1:4611689-4612117	Cluster_41	N	8	319	26	0	10	23	88	10	18	41	2	54	33	9	0	16	12	9	26
chromosome_1:5430488-5430919	Cluster_42	N	31	176	35	1	4	161	68	35	62	158	13	70	493	0	8	23	12	5	113
chromosome_1:5435654-5436081	Cluster_43	N	15	1573	8	0	1	0	57	23	2	278	4	3	56	9	6	23	13	15	54
chromosome_1:5611132-5611701	Cluster_44	N	1	2702	103	23	515	281	45	0	2	1526	0	131	173	187	0	1565	45	0	25
chromosome_1:5629587-5630028	Cluster_45	N	43	1705	1473	0	226	174	174	91	364	36	3	1020	45	6	11	386	276	1	229
chromosome_1:5630341-5630994	Cluster_46	N	6	528	100	0	21	1	200	17	343	71	16	333	0	0	28	179	208	3	177
chromosome_1:5631060-5631471	Cluster_47	N	15	434	91	3	11	1	193	4	41	56	14	194	3	2	9	4	6	2	15
chromosome_1:5631649-5632076	Cluster_48	N	5	545	28	0	5	2	85	5	148	33	5	108	0	4	1	19	7	1	13
chromosome_1:5635112-5635523	Cluster_49	N	3	392	8	0	24	0	116	14	73	87	3	156	1	12	14	24	21	7	21
chromosome_1:5635784-5636185	Cluster_50	N	5	230	16	2	18	0	77	8	258	82	0	29	2	5	10	25	23	2	23
chromosome_1:5763139-5763591	Cluster_51	N	101	788	111	4	98	181	159	53	148	203	21	203	238	41	7	100	89	58	44
chromosome_1:5850171-5850592	Cluster_52	N	0	371	2	0	15	15	41	16	1	60	2	24	0	3	4	6	6	0	10
chromosome_1:6035819-6036247	Cluster_53	N	0	0	0	0	0	535	0	0	0	1	0	0	124	4	0	1	10	1	0
chromosome_1:6368386-6368868	Cluster_54	N	44	279	161	2	14	213	49	208	39	2	6	116	84	69	0	113	131	75	103
chromosome_1:6961691-6962162	Cluster_55	N	608	20822	1835	45	2411	6030	5022	9886	5989	4474	1691	5528	1892	970	833	3276	594	643	2240
chromosome_1:7106985-7107407	Cluster_56	N	13	189	49	4	29	60	40	10	30	96	3	90	132	5	3	15	27	17	9
chromosome_1:7109735-7110163	Cluster_57	N	1	15	16	0	63	0	0	3	531	0	1	18	586	0	0	6	0	4	5
chromosome_1:7147411-7147839	Cluster_58	N	62	95	27	5	5	91	74	30	93	65	8	2	138	21	32	106	4	0	64
chromosome_1:7151079-7151527	Cluster_59	N	250	83	340	0	477	203	419	379	494	640	93	66	413	427	0	56	167	552	125
chromosome_1:7293670-7294275	Cluster_60	N	1	797	3	1	15	12	694	20	1	214	0	11	2	10	5	20	7	1	0
chromosome_1:7603928-7604345	Cluster_61	N	17	25	20	10	29	20	1	37	4	23	19	41	12	14	51	10	18	24	24
chromosome_1:7718501-7718917	Cluster_62	N	123	212	12	0	56	3	6	1	12	23	1	2	0	1	1	7	11	7	12
chromosome_1:7756290-7756716	Cluster_63	N	0	1	0	0	827	0	19	0	0	0	0	0	2	0	5	0	14	4	0
chromosome_1:7756736-7757528	Cluster_64	N	1	4	877	1	1587	2	111	4	1	1	7	5	7563	4	734	4	2101	9	3
chromosome_1:7761661-7762088	Cluster_65	N	0	1	118	1	69	0	48	0	0	0	0	1	314	1	22	306	0	7	0
chromosome_1:7941637-7942089	Cluster_66	N	23	3834	433	5	904	3	1070	80	59	207	25	27	50	54	11	115	28	26	150
chromosome_1:8020758-8021177	Cluster_67	N	17	504	9	4	0	19	33	14	8	37	7	73	3	4	0	24	10	1	4
chromosome_1:8106658-8107075	Cluster_68	N	0	1	0	347	1	0	0	4	0	0	1	0	1	1	2	0	0	0	0
chromosome_1:8315226-8315662	Cluster_69	N	0	394	0	2	0	56	0	0	33	2	1	35	494	16	1	1	64	0	0
chromosome_1:8438693-8439121	Cluster_70	N	0	814	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	2
chromosome_1:8453147-8453575	Cluster_71	N	6	688	13	0	4	10	6	19	5	8	2	20	1	53	1	1	16	0	0
chromosome_1:8547984-8548412	Cluster_72	N	0	412	1	0	23	1	16	23	0	42	2	256	0	12	0	4	34	7	29
chromosome_1:8556102-8556521	Cluster_73	N	2	10	1	0	0	0	7	0	2	0	0	21	537	0	0	0	0	0	1
chromosome_1:8569345-8570976	Cluster_74	N	0	2381	56	2	432	39	1746	250	3	234	9	2430	21	188	4	105	63	0	289
chromosome_1:8571068-8571494	Cluster_75	N	0	110	13	0	11	5	250	20	2	27	6	100	10	8	0	45	32	0	17
chromosome_1:8580991-8581526	Cluster_76	N	0	117	238	0	3	98	414	39	7	24	6	141	6	8	2	450	37	1	14
chromosome_1:8582603-8583033	Cluster_77	N	0	37	19	1	6	99	137	31	4	15	4	92	19	4	0	712	11	0	1
chromosome_1:8584696-8585106	Cluster_78	N	0	118	27	0	2	43	297	64	8	78	11	176	37	23	1	68	31	0	27
chromosome_1:8586651-8587404	Cluster_79	N	0	513	54	0	15	57	1167	119	11	90	23	253	32	41	7	95	45	0	47
chromosome_1:8587561-8587989	Cluster_80	N	0	3	3	0	77	1	1093	2	0	2	3	0	79	0	4	0	3	0	63
chromosome_1:8588153-8588554	Cluster_81	N	0	34	6	0	3	28	272	66	2	10	17	8	15	29	0	19	18	1	11
chromosome_1:8731518-8731934	Cluster_82	N	35	1	23	1	1	73	0	44	24	32	6	1	44	5	15	34	21	10	18
chromosome_1:8901461-8902007	Cluster_83	N	15	515	14	0	1	87	502	16	112	1	2	0	0	0	2	4	3	1	0
chromosome_1:8902640-8904119	Cluster_84	N	83	4809	139	2	2	899	5318	81	701	14	3	6	2	0	1	5	10	2	181
chromosome_1:8904456-8905056	Cluster_85	N	1	1629	2	4	1	4	582	27	108	11	69	3	3	0	1003	15	57	1	44
chromosome_1:8996940-8997365	Cluster_86	N	0	53	1	0	6	0	14	1	40	66	4	5	0	13	0	443	5	0	0
chromosome_1:9180253-9180682	Cluster_87	N	1	0	4	1	1	11	0	0	2	2	3	2	2	2	0	321	0	1	365
chromosome_1:9181450-9181874	Cluster_88	N	68	59	74	2	7	58	42	219	89	55	85	77	99	27	23	33	49	35	37
chromosome_1:9336882-9337300	Cluster_89	N	17	10	18	190	4	1	1	14	11	26	40	12	12	6	14	91	2	32	52
chromosome_1:9472093-9472513	Cluster_90	N	0	418	1	1	12	3	266	40	1	26	0	119	63	0	1	10	30	4	0
chromosome_1:9511965-9512390	Cluster_91	N	0	1	0	0	0	515	52	0	180	239	0	0	0	0	1	2	0	0	3
chromosome_1:9716348-9716822	Cluster_92	N	0	1205	125	0	110	38	334	92	0	861	6	316	420	49	1	164	155	24	40
chromosome_1:9731477-9731905	Cluster_93	N	0	2	12	1	147	0	2	486	349	206	30	0	0	1	0	28	65	4	0
chromosome_1:9872749-9873177	Cluster_94	N	0	10	0	0	128	0	1	0	11	0	1	0	0	8	0	2	17	44	369
chromosome_1:10136199-10136626	Cluster_95	N	31	1710	18	0	0	171	0	2	72	130	1	215	54	1	0	134	1	47	0
chromosome_1:10327424-10327842	Cluster_96	N	1	725	0	0	20	0	65	2	0	0	0	17	1	0	0	0	0	0	2
chromosome_1:10484660-10485252	Cluster_97	N	3	5475	6	2	1	3	567	1	79	586	4	71	180	1	3	62	91	0	1
chromosome_1:10789913-10790341	Cluster_98	N	1	1249	0	0	1	0	3	3	1	0	1	2	0	0	2	0	0	0	3
chromosome_1:10953989-10954418	Cluster_99	N	0	0	83	0	1	0	1158	0	0	0	0	0	0	0	0	0	0	0	0
chromosome_1:10954654-10955082	Cluster_100	N	0	0	0	0	0	0	0	0	89	0	0	303	0	0	0	0	0	0	0
chromosome_1:11150408-11150826	Cluster_101	N	1	0	0	0	0	10	243	0	1	21	0	68	2	0	0	2	4	0	6
chromosome_1:11165958-11166474	Cluster_102	N	16	285	111	0	469	174	67	33	235	102	0	239	44	21	1	0	296	1	71
chromosome_1:11280480-11280908	Cluster_103	N	1	45	0	0	0	20	1	0	0	1	0	987	1	0	0	50	0	0	0
chromosome_1:11352811-11353243	Cluster_104	N	0	125	79	0	0	106	5	17	0	116	1	44	2	3	2	200	210	9	1
chromosome_1:11355964-11356381	Cluster_105	N	17	100	1	0	2	12	114	10	36	12	8	20	22	3	1	9	5	0	55
chromosome_1:11418968-11419386	Cluster_106	N	11	1	3	19	8	6	6	2	8	4	25	6	17	3	10	12	63	1	270
chromosome_1:11737164-11737595	Cluster_107	N	0	4950	0	0	0	13	26	6	0	0	0	0	0	1	0	1	0	0	0
chromosome_1:11906872-11907286	Cluster_108	N	0	32	27	0	85	137	5	24	17	1	7	0	103	1	1	0	29	7	1
chromosome_1:11985312-11985905	Cluster_109	N	64	938	82	4	230	326	49	23	64	259	34	234	372	27	39	208	163	2	12
chromosome_1:12687824-12688253	Cluster_110	N	1	1	1	0	4	0	3	173	1	4	0	1	1121	0	0	5	13	1	3
chromosome_1:13037134-13037772	Cluster_111	N	18	1862	110	7	86	115	240	100	19	267	46	19	4	162	36	225	78	0	61
chromosome_1:13418400-13418817	Cluster_112	N	8	6	11	196	3	7	0	8	7	5	20	4	2	16	11	11	26	23	15
chromosome_1:13557359-13557779	Cluster_113	N	1	4	0	0	3	3	1	1	7	136	3	1	164	2	5	0	20	0	82
chromosome_1:13744077-13744506	Cluster_114	N	2	2071	3	1	1	4	207	21	21	75	0	5	1	2	0	1091	0	7	7
chromosome_1:13760261-13760675	Cluster_115	N	10	198	4	0	16	42	71	3	75	70	22	102	37	22	13	33	36	6	11
chromosome_1:13778334-13778748	Cluster_116	N	13	62	1	0	44	80	21	110	28	31	0	54	11	1	0	11	6	9	14
chromosome_1:14411938-14412361	Cluster_117	N	53	2710	154	8	373	425	445	345	139	533	65	1383	223	72	31	167	129	23	256
chromosome_1:14519047-14519475	Cluster_118	N	0	129	84	0	8	1	387	2	1	0	68	762	6	8	5	486	1	6	10
chromosome_1:14538027-14538454	Cluster_119	N	3	116	6	12	248	84	1054	9	269	9	8	1	1155	22	4	78	47	35	11
chromosome_1:14559533-14559960	Cluster_120	N	0	121	0	0	0	0	21	0	0	0	0	315	0	0	0	0	0	0	0
chromosome_1:14660464-14660888	Cluster_121	N	10	69	0	0	58	5	3	184	80	0	0	97	15	0	2	0	14	0	0
chromosome_1:14699469-14699893	Cluster_122	N	0	88	0	1	20	8	15	0	48	0	0	15	213	0	0	0	0	0	0
chromosome_1:14743931-14744413	Cluster_123	N	51	272	149	2	15	251	47	222	38	1	4	99	72	54	1	141	94	85	94
chromosome_1:14835664-14836080	Cluster_124	N	1	165	12	0	24	1	14	2	73	133	0	1	0	0	1	18	126	16	24
chromosome_1:14925213-14925630	Cluster_125	N	0	330	0	0	0	15	20	0	3	5	0	0	0	0	0	1	1	0	0
chromosome_1:15034868-15035315	Cluster_126	N	19	884	72	0	1	1	0	17	0	119	0	1	0	0	1	0	7	3	0
chromosome_1:15278988-15279417	Cluster_127	N	2	1449	0	0	0	1	0	5	0	0	0	0	0	0	9	0	9	6	0
chromosome_1:15344350-15344773	Cluster_128	N	1	100	1	0	1	14	7	2	4	370	1	5	0	0	0	3	0	0	0
chromosome_1:15409122-15409549	Cluster_129	N	21	158	13	1	0	28	9	10	30	28	4	58	54	9	0	27	3	1	1
chromosome_1:15812069-15812490	Cluster_130	N	0	361	0	0	1	0	0	1	0	2	1	0	1	0	0	0	0	0	0
chromosome_1:16155522-16155949	Cluster_131	N	6	10	2	0	22	26	6	10	18	14	0	1	6	1	4	21	0	2	273
chromosome_1:16181582-16181994	Cluster_132	N	0	401	6	1	87	5	18	8	4	0	5	3	3	3	0	4	6	0	1
chromosome_1:16371187-16371596	Cluster_133	N	0	44	89	0	34	153	188	58	52	0	0	0	100	0	50	0	63	0	18
chromosome_1:16405974-16406496	Cluster_134	N	8	2058	193	0	7	0	65	5	47	58	4	13	609	1	4	25	0	0	0
chromosome_1:16459072-16459556	Cluster_135	N	0	1042	0	0	1	0	4622	0	0	0	0	0	0	0	0	831	0	0	97
chromosome_1:16796301-16796722	Cluster_136	N	0	426	19	0	0	0	0	0	0	1	0	1	0	6	0	1	0	0	0
chromosome_1:16932585-16932677	Cluster_137	Y	16	2593	310	2	92	112	815	154	85	845	23	553	258	20	5	44	69	37	117
chromosome_1:17063573-17064337	Cluster_138	N	6	102	8	0	41	3	556	12	335	196	17	566	32	37	11	138	7	8	4
chromosome_1:17219614-17220042	Cluster_139	N	1	330	1	0	1	0	149	4	0	0	0	102	4	0	0	20	0	2	0
chromosome_1:17220090-17220519	Cluster_140	N	1	531	0	0	1	0	1	0	0	4	0	1	4	0	1	4	0	0	1
chromosome_1:17575489-17575910	Cluster_141	N	7	202	5	0	17	3	27	60	11	62	11	215	47	10	1	12	4	6	41
chromosome_1:17581462-17581869	Cluster_142	N	0	0	1	0	23	1	0	0	1	1	6	0	0	3	1	0	1	1	387
chromosome_1:17581871-17582294	Cluster_143	N	7	54	0	1	15	126	116	0	90	39	4	20	4	34	12	0	6	1	66
chromosome_1:17643792-17644214	Cluster_144	N	0	316	82	4	5	127	121	5	2	0	0	5	3	31	7	108	73	2	2
chromosome_1:17651730-17652147	Cluster_145	N	1	26	4	1	18	11	273	0	0	0	0	7	0	0	0	0	5	3	1
chromosome_1:17779027-17779452	Cluster_146	N	1	475	3	0	0	2	82	0	0	1	1	24	5	1	1	3	0	0	0
chromosome_1:17830815-17831292	Cluster_147	N	305	1003	163	23	69	949	476	802	1128	744	126	146	953	347	62	667	222	157	832
chromosome_1:17832405-17832837	Cluster_148	N	942	3072	698	24	205	622	871	783	999	648	554	568	2126	555	399	973	905	134	1004
chromosome_1:17835234-17835666	Cluster_149	N	845	0	732	31	188	584	838	823	999	626	570	558	2064	575	439	902	858	150	992
chromosome_1:17836121-17836600	Cluster_150	N	200	5238	154	22	69	29	1428	2253	236	261	288	294	93	55	70	212	685	258	108
chromosome_1:17836927-17837357	Cluster_151	N	101	79	50	2	23	68	53	114	161	129	16	76	74	120	51	88	65	20	129
chromosome_1:17837794-17838224	Cluster_152	N	85	75	65	1	20	51	41	103	165	111	25	89	79	85	46	86	69	19	130
chromosome_1:17838612-17839091	Cluster_153	N	294	16259	933	229	356	278	2491	227	692	577	130	282	1215	3	38	474	374	354	638
chromosome_1:17840331-17840809	Cluster_154	N	1409	19591	602	288	1673	13758	3917	2877	27284	1253	723	2015	1864	2154	532	1397	1034	2369	7760
chromosome_1:17906287-17906705	Cluster_155	N	383	4	25	57	4	2	0	21	141	82	11	2	43	22	52	250	49	51	84
chromosome_1:17915398-17915815	Cluster_156	N	26	12	52	7	7	11	0	8	4	6	8	208	15	20	28	13	18	12	23
chromosome_1:17972637-17973104	Cluster_157	N	2	986	0	4	4	11	0	15	6	0	3	17	2	0	1	3	4	5	3843
chromosome_1:17996431-17996864	Cluster_158	N	17	1200	2	0	3	20	116	1	10	159	0	6	3	58	0	21	4	3	0
chromosome_1:18136633-18137057	Cluster_159	N	9	6014	194	1	404	152	149	85	284	330	160	805	56	94	20	136	136	27	404
chromosome_1:18337688-18338111	Cluster_160	N	1	4	2	2	168	3	18	0	1	0	0	52	5	86	0	0	1	190	0
chromosome_1:18342961-18343394	Cluster_161	N	12	9737	62	1	78	5	1	45	1535	86	57	315	3	42	45	485	4	27	804
chromosome_1:18355483-18355900	Cluster_162	N	45	16	26	54	4	22	4	20	10	32	63	7	25	26	20	73	70	12	33
chromosome_1:18580998-18581422	Cluster_163	N	14	64	0	0	105	25	43	8	23	270	11	735	23	0	20	5	30	1	14
chromosome_1:19009310-19009733	Cluster_164	N	12	228	9	0	75	47	47	24	71	31	16	120	0	6	4	37	5	1	61
chromosome_1:19024994-19025412	Cluster_165	N	26	97	41	1	16	29	62	59	100	26	6	37	67	16	5	32	24	13	33
chromosome_1:19135352-19136126	Cluster_166	N	60	411	167	1	38	308	61	289	32	3	34	264	101	68	7	127	125	75	100
chromosome_1:19162931-19163392	Cluster_167	N	272	261	50	0	19	235	43	331	420	157	189	26	344	49	38	41	43	10	30
chromosome_1:19311778-19312205	Cluster_168	N	0	65	4	0	31	82	708	10	0	2	1	20	1	2	1	1	25	39	0
chromosome_1:19912467-19912887	Cluster_169	N	1	212	35	0	25	13	45	22	11	20	1	47	68	0	1	19	3	11	13
chromosome_1:20044891-20045375	Cluster_170	N	4	407	0	0	1	0	1	362	1	0	0	440	0	1	1	0	3	40	0
chromosome_1:20066706-20067132	Cluster_171	N	3	514	0	0	36	24	95	69	23	6	5	8	72	8	27	139	28	0	29
chromosome_1:20335258-20335675	Cluster_172	N	10	55	38	3	0	0	4	9	105	0	64	0	0	21	11	15	0	0	19
chromosome_1:20401026-20401543	Cluster_173	N	3414	8729	1699	444	5876	3743	3861	3252	7355	1371	6272	4760	2670	1785	652	1583	2321	1172	2665
chromosome_1:20694723-20695145	Cluster_174	N	94	20	100	14	35	29	5	67	31	53	21	89	46	55	29	45	44	18	32
chromosome_1:20831081-20832001	Cluster_175	N	21	4109	2	6	5	10	866	6	75	74	15	743	638	2	3	5	5	5	0
chromosome_1:20832366-20832790	Cluster_176	N	8	397	1	0	0	1	102	0	29	1	5	125	76	2	0	1	1	0	0
chromosome_1:20833201-20833618	Cluster_177	N	15	623	1	0	0	11	213	7	61	7	23	93	96	0	0	8	4	3	0
chromosome_1:20970113-20970531	Cluster_178	N	7	16	17	9	709	0	23	6	5	7	10	2	14	10	5	2	17	30	14
chromosome_1:21078836-21079264	Cluster_179	N	0	210	0	0	11	128	113	7	0	58	0	37	19	17	0	31	12	0	5
chromosome_2:19841-23496	Cluster_180	N	145529	615766	125249	48588	142945	235200	521330	202277	354917	126454	340100	294738	135858	93974	66587	99240	119232	49890	94440
chromosome_2:27309-33758	Cluster_181	N	339348	1648567	264853	118579	351014	642434	1039734	623097	870062	237471	850954	747085	322556	194862	147883	232645	272305	119116	207177
chromosome_2:33815-34240	Cluster_182	N	31	80	40	0	52	107	59	160	95	85	44	110	27	21	8	31	8	24	19
chromosome_2:38151-45083	Cluster_183	N	380801	1253955	297235	116764	359892	476560	1166795	503544	656321	398914	670183	587427	326379	213811	142332	240284	259575	144704	204186
chromosome_2:48904-52086	Cluster_184	N	158617	468601	117248	65634	170324	197646	340274	210874	283715	102144	309002	242820	125768	77240	69191	103556	121262	61820	93732
chromosome_2:52244-53634	Cluster_185	N	46824	220437	51625	6095	35825	112677	177351	68122	99986	46782	97323	105210	59123	39867	19952	40601	44936	13070	33183
chromosome_2:79099-79509	Cluster_186	N	15	164	18	12	23	22	24	9	86	135	12	57	20	33	2	20	63	13	59
chromosome_2:83274-83701	Cluster_187	N	16	190	41	1	77	129	91	76	97	15	1	387	166	8	2	159	177	15	216
chromosome_2:84964-85522	Cluster_188	N	15	848	58	8	3	225	129	1	3	0	0	22	3	1	0	72	6	2	56
chromosome_2:85696-86125	Cluster_189	N	35	846	51	8	8	227	151	495	261	110	15	93	50	62	1	146	17	0	87
chromosome_2:86619-87405	Cluster_190	N	263	6179	942	80	2373	1827	5507	781	2142	4342	97	4546	1898	695	34	991	1791	132	935
chromosome_2:89950-90379	Cluster_191	N	0	3	0	0	639	330	137	1	1443	0	0	0	3	0	5	0	0	36	21
chromosome_2:91993-92472	Cluster_192	N	6	65	15	5	85	68	32	70	112	12	0	297	116	4	7	139	159	2	85
chromosome_2:92803-93473	Cluster_193	N	31	306	73	24	145	306	155	109	380	205	8	286	208	69	9	347	150	15	222
chromosome_2:95753-96177	Cluster_194	N	12	0	0	22	175	15	3	9	37	105	45	211	111	49	5	69	16	4	12
chromosome_2:112527-112956	Cluster_195	N	43	862	25	10	5	184	147	489	227	116	11	68	30	51	1	166	20	1	109
chromosome_2:239857-240276	Cluster_196	N	64	176	21	1	41	1	29	7	84	51	38	1	28	137	19	33	1	1	2797
chromosome_2:263062-263488	Cluster_197	N	0	359	3	0	4	239	9	28	1	13	0	57	1	1	0	2	0	0	2
chromosome_2:263551-264040	Cluster_198	N	65	2904	219	1	49	1345	181	144	3	286	118	357	71	37	42	159	102	25	347
chromosome_2:264714-265129	Cluster_199	N	7	273	33	0	14	191	19	4	0	26	6	68	10	2	1	12	9	2	12
chromosome_2:265597-266032	Cluster_200	N	75	2637	208	6	58	1027	190	150	2	284	95	396	70	46	35	136	93	32	388
chromosome_2:268065-268715	Cluster_201	N	9	2269	64	1	23	855	50	31	1	304	19	696	178	2	1	51	26	11	36
chromosome_2:270126-270560	Cluster_202	N	5	722	54	1	18	330	18	17	0	132	14	250	52	7	5	38	21	10	32
chromosome_2:270625-271043	Cluster_203	N	5	318	32	1	14	193	23	5	0	36	5	79	13	1	5	19	21	0	4
chromosome_2:272498-272933	Cluster_204	N	64	2644	225	4	67	1070	173	147	5	262	104	356	66	40	29	137	98	31	343
chromosome_2:274535-275027	Cluster_205	N	8	1269	124	2	68	842	31	19	1	208	17	643	23	8	8	106	40	43	94
chromosome_2:275131-276822	Cluster_206	N	98	4624	237	9	131	1601	807	259	13	303	103	1114	275	84	73	163	215	35	221
chromosome_2:277464-277892	Cluster_207	N	19	522	16	3	13	284	102	51	5	53	12	109	42	24	1	23	21	3	19
chromosome_2:279849-280518	Cluster_208	N	2	876	135	1	72	626	132	103	4	15	20	127	75	15	4	14	22	0	33
chromosome_2:280521-280952	Cluster_209	N	1	547	132	0	30	416	30	51	3	60	20	34	3	5	1	5	15	9	10
chromosome_2:282151-282573	Cluster_210	N	5	757	31	1	15	328	86	14	1	14	9	114	17	4	0	12	11	2	10
